,Names,GPA,Avg Commute Time,Technical Aptitude,Soft Skills,Years of Experience,Leadership Capability,Sex,Age,Arrest Records,origin_Australia,origin_Canada,origin_China,origin_India,origin_Mexico,origin_United States,sport_Club/Intramural,sport_NCAA/Professional,sport_None,Job Performance,Job Tenure,Military Tenure,Name,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Other,Race,hirevue_0.0,hirevue_1.0,hirevue_2.0,referral_0.0,referral_1.0,culturalfit_0.0,culturalfit_1.0,culturalfit_2.0,education_0.0,education_1.0,education_2.0,prestige_0.0,prestige_1.0,prestige_2.0,prestige_3.0,degree_Engineering,degree_Humanities,degree_None,degree_Quantitative,degree_Sciences,linkedin_None,linkedin_Ok,linkedin_Very Good,socmedia_Bad,socmedia_Good,criminal_0.0,criminal_1.0,arrest_0.0,arrest_1.0
16,John Robinson,3.7075080545009635,20.60614376144199,1.6343564066452796,2.6311261837377513,2.1748880387673726,-0.6389587426140836,1.0,32.0,0.0,0,0,1,0,0,0,0,0,1,-2.247143825748949,3.8724937841177454,2.5673392408968327,Patricia Smith,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
17,John Tate,3.1068583707996345,14.140573951925129,1.8936017156908567,3.9011646128893367,8.657525175794568,1.9143355660638273,0.0,21.0,0.0,0,0,1,0,0,0,0,0,1,5.684532362506232,4.049367346230122,2.681951736923949,David Smith,0,0,1,0,0,Caucasian,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
18,Gloria Ferris,3.1291308224097234,20.753627019467164,2.0991452552105745,2.9904382591301597,5.029525578827164,-0.5325206423625718,1.0,31.0,0.0,0,1,0,0,0,0,0,1,0,-1.679612664688516,3.680450313268963,2.5300162172723724,Barbara Jones,1,0,0,0,0,African-American,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
19,Margret Morales,3.0068089214877283,55.2370713386402,1.5244454351592414,3.013711148573343,4.926752798925099,0.3505320076945936,1.0,27.0,0.0,0,0,0,0,0,1,0,0,1,0.7762773454733886,1.3983638466583233,1.3597978718066517,Charlotte Joseph,0,0,1,0,0,Caucasian,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
20,Alex Terry,2.9328130007240345,42.62538856277151,2.165959027030398,2.439166344635035,4.317798884018867,1.0222971124964009,0.0,22.0,0.0,0,0,0,0,0,1,1,0,0,-0.12591251209204865,1.9115949362563724,1.3979958504260228,Howard Gibbons,0,0,1,0,0,Caucasian,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
21,Michelle Clements,3.009096326873035,0.06516737652241744,0.9558818944218299,2.7408412072014543,1.682808487147211,-1.3677706777782543,0.0,25.0,0.0,0,0,0,0,0,1,1,0,0,-2.337711761970425,5.176885856221517,2.90248514370576,Randal Jones,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
22,Lakisha Jefferson,2.5548781119215267,7.8797817422867595,1.6767761992770267,3.4904660933758636,5.162718892116721,0.11348198615153304,1.0,37.0,0.0,0,0,0,0,0,1,0,0,1,2.243237426176932,5.090835083187585,2.857134812136377,Kristina Sailors,0,1,0,0,0,Asian,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
23,Elizabeth Smith,3.859415344519721,35.64151975129039,2.62200802269534,4.101728771642115,7.229159810647525,1.2087306166863216,0.0,27.0,0.0,0,0,0,0,0,1,0,1,0,4.630745166647533,2.5704410908135764,1.8199452630704116,Jeffrey Torrey,0,0,1,0,0,Caucasian,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
24,Christopher Bangs,2.418225718868003,25.51098676488916,0.30944132638293076,2.2929760705348157,5.859335911519819,-0.006452644715749116,1.0,26.0,0.0,0,0,0,0,0,1,0,0,1,-1.9627106225024984,7.829088163851781,4.331742091142844,Lena Rice,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
25,Margarito Diaz,2.557562389296841,20.880025998434185,2.185921634024608,3.0919179534228096,4.618351663412945,-0.5103265262865601,1.0,33.0,0.0,1,0,0,0,0,0,1,0,0,-0.8486498127693833,3.9232991310483625,2.334875500102683,Faye Howard,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
26,Orville Elliott,2.9999447194219258,42.03151386127492,1.7850050771327528,2.311128390889257,3.0272739392330275,-0.10166549679202191,1.0,31.0,0.0,0,0,0,0,0,1,0,0,1,-2.2126342486068156,2.470724757764943,1.756131601177385,Barbara Roberts,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
27,Jessica Santiago,3.566474479783907,26.96846094009717,1.5876566463518946,3.3415992210937273,5.437625858231157,0.37243461412324524,0.0,22.0,0.0,0,0,0,0,0,1,0,1,0,1.4139418296947253,2.4364301415361576,1.7755071405418308,Norbert Alderete,0,0,1,0,0,Caucasian,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
28,Joseph Sherbert,2.546179186039506,37.97642706010316,1.5438053498945894,2.6194444250705127,6.448911277529168,0.7582529554990111,0.0,21.0,0.0,0,0,0,0,0,1,0,0,1,-0.19056811919787298,2.0654243150671996,1.5453472675063775,Micheal Mccool,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
29,Luz Maddux,2.291046693075504,27.052683653999665,1.8156451625707017,2.877960086516221,3.248770007469734,-0.7213001585037558,1.0,23.0,0.0,0,0,0,0,0,1,0,1,0,-1.3041145240094727,3.156451355090244,2.209884180949113,Deborah Snyder,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
30,Shad Lopez,2.714899870112605,17.332702739095875,1.0212597690805194,2.5321992580174753,4.015545300470653,0.003562751874853946,0.0,22.0,0.0,0,0,0,0,0,1,0,0,1,-1.0196957880336535,3.840227683530898,2.3672994920356962,Hector Gansen,0,1,0,0,0,Asian,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
31,Deborah Jones,2.000986237283944,2.544930977895067,2.0723835927349086,1.4283988742693348,-1.639941840301261,-0.5104727354017609,1.0,28.0,0.0,1,0,0,0,0,0,0,0,1,-4.2679121612861435,5.258702000148523,2.972132141513718,Sonja Duplessis,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
32,Roger Wainwright,2.841141165401864,39.629129438203464,1.9714939610228717,2.6474752641963155,3.526643875916955,0.1366657392076606,1.0,31.0,0.0,0,1,0,0,0,0,0,1,0,-0.8414257355787825,1.6132846649529748,1.2031097083324758,Margaret Tan,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
33,Billy Weir,2.9726492470008,37.630652474763316,2.610984563981557,3.150262694422802,3.585758630039754,0.4959981750399146,0.0,22.0,1.0,0,0,0,0,0,1,0,0,1,1.3963062809621614,2.2354854400315807,1.6466062310139473,Ronald Milton,0,1,0,0,0,Asian,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
34,Bill Johnson,2.756912797683182,23.031741059865222,2.2592728492999123,3.3011634404030112,5.254928392785056,-0.5287661860161708,1.0,29.0,0.0,0,0,0,0,0,1,0,0,1,-0.5660442122842977,3.3158738193341133,2.109001178134369,Joan Porada,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0
35,Lois Lopez,2.6326283971639,2.196610833779566,3.1719907979136464,3.354455233129981,5.417508879847425,1.3333242089934412,0.0,26.0,0.0,0,0,0,0,0,1,1,0,0,3.1734782014896075,4.852322675788143,2.8495992259025185,Daniel Chisolm,0,0,1,0,0,Caucasian,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
36,Norma Cabrera,3.171402348710682,4.89803012319344,0.8003226202097233,3.0489868082736398,5.106939461025265,-1.0497472678199236,1.0,33.0,0.0,0,0,0,0,0,1,0,0,1,-2.0703735492875848,5.705299662583981,3.401508127919988,Lillian Kouba,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
37,Kenneth Oliverio,3.095676079838692,41.828146381494236,2.605760783330531,4.094060592630329,5.049323877724506,1.0552582349283106,0.0,26.0,0.0,0,0,0,0,0,1,0,0,1,5.476310974455693,1.2250702707343974,0.9597676743272321,Thomas Cargile,0,1,0,0,0,Asian,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
38,Edward Rehrig,2.9141169526017388,31.601341356709106,1.960711910470106,2.3928758927176217,3.304276942477162,0.7561396756190162,0.0,29.0,1.0,0,0,0,0,0,1,0,0,1,-0.18637139073909864,2.6341081016559684,1.8225212739661192,Timothy Hargrave,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
39,Keith Morrison,2.1913734935639124,18.539970069607556,2.008576429245148,2.4396090493195666,3.440428729599805,-0.8586301403514144,0.0,27.0,0.0,0,0,0,0,0,1,0,0,1,-3.2839662348475116,4.309848798059855,2.6707596351473644,Santiago Green,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1
40,Thomas Ford,2.9560142143700285,23.89465239464074,2.7547792581270705,4.03997658486372,7.823068881948644,0.776051426693551,0.0,27.0,0.0,0,0,0,0,0,1,0,0,1,3.7618973297866627,3.4488616945006223,1.8639488633650032,John Leary,0,0,1,0,0,Caucasian,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
41,David Martin,4.174895654291418,0.9532689347410752,3.2620207315622896,4.443648090940573,3.795747650810462,-0.7044711678669237,0.0,30.0,0.0,0,0,0,0,0,1,1,0,0,2.5351361706537747,5.380759746853528,3.035382118403657,Tracy Garcia,0,0,1,0,0,Caucasian,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
42,Jeri Dryden,3.329189413779237,30.105757463231722,0.7118727801369074,3.2826907151645606,7.904212327013944,0.7817655885494369,1.0,34.0,0.0,0,0,0,0,0,1,0,0,1,1.9592055168399605,3.4950755534231885,2.356534485070038,Danielle Rush,0,0,1,0,0,Caucasian,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
43,Travis Murray,3.14710106058589,3.65289344029496,1.4551033318770044,2.1438097080166103,2.959728724072087,-0.723189118497232,1.0,31.0,0.0,0,0,0,0,0,1,0,0,1,-4.141854189827957,5.013041385883375,3.1088363606497325,Lynette Frazier,0,0,1,0,0,Caucasian,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
44,Jacqueline Turner,3.9512758942443362,17.313506904187694,1.1930820024379867,3.869892683214213,7.223713746156408,0.23968694670175406,1.0,24.0,0.0,0,0,0,0,0,1,1,0,0,2.4863539549823166,4.0356395807683985,2.6009546223683304,Lisa Douglas,0,0,1,0,0,Caucasian,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
45,Ellen Tobon,3.1276743084015584,31.061169206301308,0.8288044953837352,2.400986240152215,3.8256217812471993,-0.7463635541227885,1.0,26.0,1.0,0,0,0,0,0,1,0,0,1,-3.099145570941959,3.1623986002450457,2.1643630441172697,Melissa Brownlow,0,0,1,0,0,Caucasian,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
46,Rose Bennett,2.527055176360074,36.2465223993876,2.373549798507333,2.078158932327822,3.7032865319004964,0.423853149266711,0.0,26.0,0.0,0,0,0,0,0,1,1,0,0,-2.3069121273985274,2.674306134784412,1.7388772812568014,Glenn Norton,0,1,0,0,0,Asian,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0
47,Steven Flores,2.546645273658586,32.27372881274992,-0.7135555441252133,2.8109226186617122,7.060346685255521,-0.43053117322294593,1.0,23.0,1.0,0,0,0,0,0,1,0,0,1,-1.1669825387156356,2.9060741643975274,2.0289523290783196,Jo Livingston,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
48,Stephanie Kester,2.4449628794880716,34.68301299871067,2.687260620525564,3.1590266042384134,3.2870372298569928,0.583079302013352,0.0,32.0,0.0,0,0,0,0,0,1,0,0,1,1.9108811765625242,2.591611163355125,1.8593152526177636,Luis Magera,0,0,1,0,0,Caucasian,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
49,George Fugate,3.170140672301743,37.248811213940996,2.3589583654366475,3.905500729028889,6.400579072867371,0.16416302669458765,0.0,22.0,0.0,0,0,0,0,0,1,1,0,0,2.662451851559021,2.343242173209622,1.7103573866938433,Hershel Pittman,0,0,1,0,0,Caucasian,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
50,Jerry Robert,2.9767333086821153,22.424919927790178,2.5888772548032795,3.5908042517119574,4.892764049814473,0.6321130219745003,0.0,24.0,0.0,0,0,0,0,0,1,0,0,1,2.97431868318332,3.6962770399125437,2.346856074055106,Jonathan Henshaw,0,1,0,0,0,Asian,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0
51,Corey Scully,2.9904404492206376,6.481525520856785,2.1259342362443916,3.501839622660696,3.9494599547887113,-0.37560851406704243,1.0,30.0,0.0,0,0,0,0,0,1,0,0,1,1.0857591267727182,5.032944068801896,2.6396203380704084,Julie Hileman,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
52,Paul Ward,3.474918474250676,41.66574352203877,2.3525310597833466,2.293046837483508,-0.3680756817540196,-0.29842639283588723,1.0,40.0,0.0,0,0,0,0,0,1,0,0,1,-2.1072253142331734,2.1576552938243987,1.757453461172231,Michelle Farruggio,0,0,1,0,0,Caucasian,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
53,Gary Anglin,3.722950849932998,30.781010860165487,1.676114376943318,3.8686677887542795,5.707756334428898,0.09830205380321276,0.0,29.0,0.0,0,0,0,0,0,1,0,0,1,2.7001969250939473,3.025341379793367,2.052793239736053,Charles Dahlberg,0,1,0,0,0,Asian,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0
54,Robert Puglia,3.3282159536696767,33.04995285303054,2.6233380177750827,3.186064034544316,3.6489394328974543,-0.08781140371436603,0.0,28.0,0.0,0,1,0,0,0,0,0,0,1,-0.012525429079012945,2.410256103892829,1.7825628775041886,Garry Woodall,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
55,Mildred Gullixson,3.024754194723026,61.21746879433652,1.6616442583455013,2.5366151522389844,4.803654459790899,0.9927279039695517,0.0,23.0,0.0,0,0,0,0,0,1,1,0,0,0.2504499498814689,0.22949580225723532,0.5766919247426143,Lance Armstrong,0,0,1,0,0,Caucasian,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0
56,Tiffanie Kilgore,3.241615247304556,35.98733134110728,1.6038404095439112,3.0062716766554782,3.0745294497428057,0.22798689783990642,1.0,22.0,0.0,0,0,0,0,0,1,0,0,1,1.0830629763516197,2.686161480216921,1.9787114496044746,Jeanette Hagerman,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
57,George Byers,2.579459834537148,6.070952631462575,1.156789148026697,1.967970029849474,1.7537750621584776,-1.4269189046096984,1.0,31.0,0.0,0,0,0,0,0,1,0,0,1,-5.401872201906144,4.842127351029006,2.7113291877144996,Yolanda Mosley,1,0,0,0,0,African-American,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
58,Joseph Miller,3.0070911597419254,23.322879463941263,1.8322119036759763,2.856214125498344,3.461923679027845,-0.8132435602233429,0.0,24.0,0.0,0,0,0,0,0,1,1,0,0,-1.911672540285499,3.872533718410766,2.546628768224892,Willard Smith,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
59,Cristobal Mcclurg,4.2770587391070665,29.136138080272897,3.9680273180496233,5.273730502642957,7.1013183369389505,0.14372060175793094,0.0,28.0,0.0,0,0,0,0,0,1,1,0,0,5.642312269466842,3.3121624397178833,2.2725746045990816,Eric Hernandez,0,0,1,0,0,Caucasian,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
60,Henry Valenzuela,2.4057331726573485,38.25999998857659,0.8345015984273738,1.4488633426653186,0.08235753595778172,-1.3170579150748536,1.0,25.0,0.0,0,0,0,0,0,1,0,1,0,-6.255605163652495,2.2036250977411855,1.5937841836800701,Melissa Egger,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
61,Sidney Shephard,2.9079747489101933,48.0841023382595,1.5798464284376188,3.1481622733384818,6.354893859577782,0.44078860124760316,1.0,30.0,0.0,0,1,0,0,0,0,0,0,1,0.8566174374207393,1.6900575123971056,1.617455362196542,Vanessa Curry,0,0,1,0,0,Caucasian,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
62,Dorothy Hulbert,3.5484217397514723,27.273472379096923,1.3236639923124258,3.9844090412408013,9.376948152203536,0.857067681401884,0.0,25.0,0.0,0,0,0,0,0,1,0,0,1,3.751722608574879,3.1361700932744645,2.3106312411344656,Jerry Mcadams,0,0,1,0,0,Caucasian,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
63,Lupe Bensch,3.464543188220447,59.695770360841706,2.516452677578079,3.0489529349050994,1.5288170915530515,-1.5179325267986352,1.0,22.0,0.0,0,0,0,0,0,1,1,0,0,-2.7449104087565472,0.6244474364448775,0.7106628882367536,Antonietta Lamarr,0,1,0,0,0,Asian,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
64,Samantha Hyland,3.4082740809485133,11.162308208084152,2.1597710268466876,3.970630958397347,6.37596839849008,1.025170472319878,0.0,30.0,0.0,0,0,0,0,0,1,0,0,1,4.712404558065447,3.794883646487338,2.4283804200165706,Troy Dixon,0,0,1,0,0,Caucasian,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
