,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score
45,Fred Roose,3.2110304573138224,67.84011978298815,0,2,0.0,1.0,2.0,0.3534259077858042,0,0,25.0,Mexico,1,Engineering,3,None,0.0,0.0,1,1.0,0
46,Eric Mcneal,3.827731970924056,17.252931794207083,1,1,0.0,1.0,1.0,0.48126284796663055,0,0,24.0,United States,1,Quantitative,3,None,0.0,0.0,0,1.0,1
47,Natalia Blake,3.2603064401669615,107.34303880045248,0,1,1.0,1.0,1.0,0.3132024011945658,1,1,27.0,United States,1,Sciences,1,None,0.0,0.0,2,1.0,0
48,Misty Pemberton,2.8464375407392954,22.592190172341102,2,4,0.0,1.0,1.0,0.5286190326060108,0,1,29.0,United States,2,Engineering,2,NCAA/Professional,0.0,0.0,0,1.0,0
49,Naomi Kimbler,3.321307866327216,20.257317786441334,2,3,1.0,0.0,6.0,0.4224595656443618,0,1,26.0,United States,2,Quantitative,2,Club/Intramural,0.0,0.0,2,1.0,0
50,John Tamburri,2.85896817277976,45.84672719450374,2,0,1.0,1.0,4.0,0.2298395551912088,0,0,33.0,United States,1,Engineering,1,None,0.0,0.0,1,1.0,0
51,Jessie Montanez,3.5753191042889396,71.83104460559827,1,3,1.0,0.0,3.0,0.6263090818551258,0,1,31.0,India,1,Humanities,2,NCAA/Professional,1.0,1.0,1,1.0,1
52,Charles Spencer,2.7794686461842097,2.036514401285121,0,0,0.0,1.0,3.0,0.5428064607757873,3,0,27.0,United States,1,Engineering,2,Club/Intramural,0.0,0.0,2,1.0,0
53,Lori Anaya,3.0303142325458734,43.24236952220053,1,1,1.0,0.0,2.0,0.18970732992211314,0,1,23.0,Australia,1,Quantitative,1,None,0.0,0.0,1,1.0,0
54,Rita Mortimer,3.0353492512736153,60.02632874726592,2,3,0.0,0.0,3.0,0.5668907699051229,0,1,25.0,United States,1,Engineering,3,None,1.0,1.0,1,1.0,0
55,Donald Schrader,3.427030116149628,94.58750561650389,1,0,0.0,0.0,3.0,0.6166262213092771,0,0,25.0,United States,1,Engineering,2,None,0.0,0.0,0,1.0,2
56,Janet Alaniz,2.516940611140324,61.20584053910534,2,3,1.0,0.0,1.0,0.3560461836285864,0,1,26.0,United States,1,Quantitative,1,None,0.0,0.0,0,1.0,2
57,Carol Sclavi,3.5441478762786094,43.70204194762465,1,4,1.0,0.0,1.0,0.6248712766411502,0,1,27.0,United States,0,None,0,None,0.0,0.0,0,1.0,0
58,Maria Wong,3.1204177951609564,45.69716441046169,1,3,1.0,0.0,5.0,0.6246995664683522,1,1,28.0,United States,1,Quantitative,1,None,0.0,0.0,1,1.0,2
59,Jessica Dicus,2.346461114726168,40.57184218913058,0,1,0.0,0.0,1.0,0.7273172653079819,2,1,24.0,United States,1,Sciences,2,None,0.0,1.0,0,1.0,2
60,Gregory Jones,2.6586606071329455,35.27898602665377,1,1,1.0,1.0,1.0,0.15030410571536157,0,0,26.0,United States,1,Humanities,2,None,0.0,0.0,1,1.0,2
61,Cindy Marcial,3.144717582176131,93.06595053047208,0,1,1.0,0.0,5.0,0.29141079632280986,0,1,28.0,United States,2,Humanities,3,None,0.0,0.0,2,1.0,0
62,Raul Jenkins,2.5716707402173054,58.48985668526262,1,3,0.0,0.0,4.0,0.2753494853524434,0,0,27.0,United States,1,Humanities,3,None,0.0,0.0,1,1.0,1
63,Rebecca Smith,3.239118743931833,48.5458298052998,1,1,1.0,0.0,5.0,0.2299046526303689,0,1,26.0,United States,1,Engineering,2,Club/Intramural,0.0,0.0,1,1.0,0
64,Hilary Mccloskey,2.956318516889637,50.71866688609468,1,1,0.0,0.0,3.0,0.600085254621292,0,1,31.0,United States,0,None,0,None,0.0,0.0,1,1.0,2
65,Edward Counts,3.013409060106168,26.88509279253141,1,1,1.0,0.0,4.0,0.3064074812673781,0,0,26.0,United States,1,Quantitative,1,NCAA/Professional,0.0,0.0,1,1.0,2
66,Alphonso Henry,2.3405595410674405,77.79975606203914,0,4,0.0,0.0,1.0,0.4338682282701137,0,0,30.0,United States,2,Engineering,2,NCAA/Professional,0.0,0.0,0,1.0,2
67,Jim Roberts,3.632848640193728,14.45703694646594,1,2,1.0,0.0,2.0,0.4730828861922016,2,0,32.0,China,2,Humanities,2,Club/Intramural,0.0,0.0,1,1.0,0
68,Kathryn Blake,2.9009784974194597,10.37716484998646,0,1,1.0,0.0,2.0,0.2153463039428059,0,1,32.0,United States,1,Engineering,2,None,1.0,0.0,0,1.0,1
69,Jonathan Oldham,2.071416079916447,53.347101537353524,0,4,0.0,0.0,4.0,0.5570419493614204,0,0,31.0,United States,2,Humanities,1,None,0.0,0.0,2,1.0,1
70,Opal Vogt,2.8564100926150764,1.6569803819691309,0,3,1.0,1.0,4.0,0.44817397292007405,0,1,26.0,United States,1,Engineering,2,None,0.0,0.0,1,1.0,0
71,Evangeline Moore,3.779550375299082,36.69828764356012,0,0,1.0,0.0,4.0,0.698577461981134,1,1,35.0,United States,1,Sciences,2,None,0.0,0.0,2,1.0,2
72,Kurt Hill,3.0034758473847147,40.62021274008558,0,4,0.0,1.0,3.0,0.09402570870050647,2,0,22.0,United States,1,Quantitative,3,None,0.0,0.0,0,1.0,2
73,Clare Sedillo,3.633516775019265,41.73854090423124,2,1,0.0,1.0,2.0,0.9785807542522951,0,1,23.0,United States,2,Sciences,2,Club/Intramural,0.0,0.0,1,1.0,0
74,Robert Mcjunkins,2.6366115645422115,15.586038577679314,0,0,1.0,0.0,3.0,0.602530963594411,0,0,30.0,United States,1,Sciences,2,Club/Intramural,0.0,0.0,0,1.0,0
75,Calvin Andrade,3.9067746073587015,69.684226946047,1,1,1.0,0.0,3.0,0.36538132860074723,2,0,23.0,China,1,Quantitative,3,None,0.0,0.0,0,1.0,0
76,Judy Reed,3.356734269756768,23.97919750169435,2,1,1.0,1.0,4.0,0.70897837018831,0,1,31.0,United States,1,Engineering,3,Club/Intramural,0.0,0.0,1,1.0,0
77,James Sparks,3.0545757575122376,39.085093507966405,1,0,0.0,0.0,4.0,0.1672497789703411,1,0,25.0,United States,2,Sciences,1,Club/Intramural,1.0,1.0,1,1.0,0
78,Frank Losinski,3.612065519990824,40.360296626370804,2,0,0.0,1.0,2.0,0.5439093975782708,4,0,23.0,United States,1,Sciences,1,None,0.0,1.0,1,1.0,1
79,Raul Burgess,3.260952592640745,28.004048787082986,1,2,1.0,1.0,1.0,0.5965574088902601,0,0,30.0,United States,0,None,0,None,0.0,0.0,0,1.0,2
80,Michael Calvello,1.9996256277231022,24.78895791277631,2,0,0.0,0.0,3.0,0.43057604027711,0,0,28.0,United States,1,Sciences,3,None,0.0,0.0,1,1.0,1
81,Sue Kohen,3.2791226690248245,20.430573247885242,2,4,0.0,0.0,5.0,0.5070267485029468,2,1,29.0,United States,2,Quantitative,1,Club/Intramural,0.0,0.0,1,1.0,2
82,Vanessa Walter,2.5052490402698364,14.508939193063583,0,2,1.0,0.0,2.0,0.15266038493624318,4,1,28.0,United States,1,Humanities,2,Club/Intramural,0.0,0.0,1,1.0,2
83,Robert Boyd,3.7093641135858695,54.11773296381118,0,4,1.0,0.0,2.0,0.707187224951495,2,0,23.0,United States,1,Quantitative,2,Club/Intramural,0.0,0.0,1,1.0,0
84,Marcellus Adkins,2.558311220231621,71.87753623754973,1,2,1.0,1.0,1.0,1.0973996668285109,0,0,21.0,China,1,Humanities,1,Club/Intramural,0.0,0.0,1,1.0,1
85,Joel Dulle,3.830492933348514,0.989628947499309,1,4,0.0,0.0,5.0,0.4403542764099318,1,0,28.0,United States,1,Sciences,1,None,0.0,0.0,0,1.0,2
86,John Nunemaker,3.4327226048695745,10.412478849247105,2,2,1.0,0.0,6.0,0.4891690460552171,3,0,29.0,United States,1,Humanities,2,None,0.0,0.0,1,1.0,0
87,Evan Scott,2.253676338606456,82.1717250003943,1,0,1.0,1.0,3.0,0.8392168158051199,0,0,36.0,United States,2,Sciences,3,Club/Intramural,0.0,0.0,2,1.0,1
88,Evelyn Mooring,3.504648907330945,25.74223810160555,0,3,0.0,1.0,1.0,0.8393010872684059,2,1,34.0,United States,1,Quantitative,1,NCAA/Professional,0.0,0.0,0,1.0,0
89,Audrey Au,2.715349263693087,35.469093540556486,2,4,0.0,0.0,4.0,0.4556297631671258,0,1,26.0,United States,1,Engineering,1,Club/Intramural,0.0,1.0,1,1.0,0
90,Sonja King,2.737077379002023,25.04106702283572,2,1,0.0,1.0,1.0,0.6579214259180796,0,1,27.0,United States,1,Humanities,1,None,1.0,1.0,0,1.0,1
91,Emmanuel Carr,3.152289912141204,27.77605779383597,0,4,1.0,0.0,3.0,0.6019212811702481,0,0,29.0,United States,1,Quantitative,2,Club/Intramural,0.0,0.0,0,1.0,1
92,Charles Salinas,2.140171633466972,42.27650538325179,1,0,1.0,0.0,4.0,1.0356969289735127,0,0,34.0,United States,1,Humanities,2,None,0.0,0.0,2,1.0,1
93,Thomas Matthews,3.3426128150549768,44.88219065936724,2,3,1.0,1.0,2.0,0.6247977469207141,2,0,21.0,China,1,Humanities,2,None,0.0,1.0,0,1.0,1
94,John Baker,3.961083311731396,11.157611565161659,1,1,1.0,0.0,3.0,0.27400438105699254,0,0,29.0,United States,1,Sciences,1,Club/Intramural,0.0,0.0,1,1.0,1
95,Latonya Sutton,1.8972128831360369,62.47504203035523,0,3,0.0,1.0,1.0,0.33839827563904634,0,1,25.0,India,1,Quantitative,1,None,0.0,0.0,2,1.0,1
96,Jeffery Waters,3.6421401166450322,92.07137254954314,1,2,0.0,0.0,2.0,-0.027715745450321294,0,0,26.0,United States,1,Humanities,2,Club/Intramural,0.0,0.0,0,1.0,0
97,Timmy Morris,3.5765426591299883,2.3363336948346642,2,2,0.0,0.0,2.0,0.44190495478612113,0,0,24.0,United States,1,Humanities,2,Club/Intramural,0.0,1.0,0,1.0,0
98,Carolina Vazquez,3.393713982562447,44.69457626724288,1,2,1.0,1.0,3.0,0.7758392698243766,0,1,22.0,India,1,Sciences,2,None,1.0,1.0,1,1.0,2
99,Robert Downey,3.376214925951495,27.313035087200838,2,1,1.0,0.0,3.0,0.27824739894224776,0,0,28.0,United States,1,Engineering,2,NCAA/Professional,0.0,0.0,2,1.0,1
