Names,Race,Gender,Sports,Birth Origin,Age,Zip,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Military Tenure,Avg Commute Time,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record
Jeremy Giles,Asian,male,2.0,USA,32.0,94040,5,2.98,0.54,7.5,3.44,2.5,4.0,0.82,2.41,-0.24,-0.29,Engineering,Very Good,Good,1.0,0.0,0.0
Janice Rome,Hispanic,female,1.0,USA,35.0,94564,5,3.1,0.22,6.5,1.7400000000000002,0.0,62.0,-0.44,3.36,2.48,2.64,Quantitative,Ok,Good,1.0,0.0,0.0
Kyle Vazquez,Asian,male,2.0,USA,31.0,94403,5,3.8,0.3,9.0,3.88,0.0,26.0,-0.32,2.59,0.59,0.13,Engineering,None,Good,1.0,0.0,0.0
Hugo Camps,Caucasian,male,2.0,USA,27.0,94618,5,3.6,0.5,6.0,4.23,0.0,51.0,-1.01,0.17,-2.5,-2.49,Engineering,Ok,Good,1.0,0.0,0.0
John Lowery,Caucasian,male,2.0,USA,38.0,94022,5,4.44,0.48,13.0,5.28,0.0,13.0,3.44,1.22,0.02,0.5,Engineering,Very Good,Good,1.0,0.0,0.0
Shannon Peery,Other,female,2.0,USA,30.0,94121,5,1.82,0.72,7.5,2.24,0.0,54.0,-1.85,4.53,3.24,2.15,Engineering,Ok,Good,1.0,0.0,0.0
George Moretto,Caucasian,male,0.0,USA,29.0,94566,5,2.9,0.74,6.0,3.6,0.0,35.0,-1.45,1.9,0.57,0.32,Engineering,Very Good,Good,1.0,0.0,0.0
Leo Steege,Caucasian,male,1.0,USA,27.0,94043,5,2.38,0.56,6.0,2.42,0.0,6.0,-0.88,0.23,-3.0,-2.56,Sciences,None,Good,0.0,0.0,0.0
Eva Mucher,Asian,female,2.0,USA,35.0,94061,5,3.59,0.38,11.0,3.72,0.0,22.0,0.01,1.39,-1.63,-1.73,Engineering,None,Good,1.0,0.0,0.0
Lisa Chalmers,African-American,female,1.0,USA,29.0,95002,5,3.76,0.58,5.0,3.21,0.0,14.0,2.62,2.56,-0.15,0.04,Quantitative,Ok,Good,1.0,0.0,0.0
Zachary Adams,Other,male,2.0,USA,29.0,94019,5,3.0,0.58,7.0,3.28,0.0,46.0,-3.42,1.68,-1.47,-0.74,Engineering,Ok,Bad,1.0,0.0,0.0
Daniel Leak,Asian,male,2.0,USA,34.0,94569,5,3.85,0.28,12.0,4.35,0.0,68.0,0.06,0.91,-0.82,-1.47,Quantitative,Ok,Good,1.0,0.0,0.0
Bryan Simon,Other,male,2.0,USA,30.0,95134,5,2.58,0.62,6.5,3.97,0.0,16.0,2.13,2.47,0.33,0.26,Engineering,Very Good,Good,0.0,0.0,0.0
Judy Brown,Caucasian,female,1.0,USA,31.0,94027,5,3.68,0.48,8.0,4.4,0.0,24.0,0.64,2.47,2.32,1.57,Engineering,Ok,Good,1.0,0.0,0.0
Gregory Reedy,Hispanic,female,1.0,USA,31.0,94587,5,2.58,0.34,9.0,1.48,0.0,30.0,-1.11,3.68,1.41,1.61,Humanities,None,Good,0.0,0.0,0.0
Meagan Sharp,Caucasian,female,1.0,USA,28.0,94301,5,2.98,0.52,4.5,2.77,1.0,17.0,-1.08,1.87,0.01,-1.0,Engineering,Ok,Good,0.0,0.0,0.0
Jane Sanders,Asian,female,1.0,USA,31.0,95134,5,3.19,0.22,11.0,4.09,0.0,16.0,3.17,2.34,-0.71,-1.19,Engineering,Ok,Good,1.0,0.0,0.0
Kent Matteo,Asian,male,1.0,Australia,33.0,95035,5,3.47,0.5,11.0,4.56,0.0,18.0,0.51,3.6,3.04,1.67,Engineering,None,Good,1.0,0.0,0.0
Rhonda Roy,Asian,female,2.0,China,31.0,95035,5,3.42,0.26,7.5,3.97,0.0,18.0,1.06,2.45,-0.05,0.79,Sciences,Very Good,Good,1.0,0.0,0.0
Laura Johnson,Hispanic,female,0.0,USA,29.0,94523,5,3.87,0.48,7.0,3.33,0.0,55.0,-1.42,2.01,0.47,1.04,Humanities,Ok,Good,1.0,0.0,0.0
Latisha Mcvea,Caucasian,female,1.0,USA,30.0,94403,5,2.79,0.48,7.5,4.02,0.0,26.0,0.9,2.43,-0.31,-0.9,Quantitative,Ok,Good,1.0,0.0,0.0
Teresa Johnson,Other,female,1.0,USA,32.0,94061,5,3.25,0.24,8.5,2.47,0.0,22.0,0.03,1.64,-1.85,-1.6,Quantitative,Very Good,Good,0.0,0.0,0.0
Lenore Dorman,Caucasian,female,1.0,USA,33.0,94603,5,3.3,0.48,7.0,3.08,0.0,40.0,-1.44,1.82,0.49,1.01,Quantitative,Very Good,Good,1.0,0.0,0.0
John Crabtree,Caucasian,male,2.0,USA,33.0,94556,5,3.52,0.58,8.5,4.34,0.0,65.0,-1.73,2.34,0.61,1.06,Engineering,Ok,Good,1.0,0.0,0.0
Andrew Stafford,Other,male,0.0,China,29.0,94566,5,2.63,0.3,6.5,2.5,0.0,35.0,-0.0,1.28,-1.25,-1.44,Engineering,Very Good,Good,0.0,0.0,0.0
Gerald Miller,Caucasian,male,2.0,USA,32.0,94709,5,3.4,0.6,6.0,3.86,3.0,59.0,0.59,2.14,1.12,1.1,Humanities,Ok,Good,1.0,0.0,0.0
Sylvia Jean,Caucasian,female,2.0,USA,31.0,94030,5,3.62,0.2,10.0,4.21,0.0,34.0,0.56,0.78,-1.57,-1.96,Engineering,Very Good,Good,1.0,0.0,0.0
Louella Frost,Other,female,1.0,USA,27.0,94038,5,3.4,0.6,7.0,2.27,0.0,57.0,-1.07,2.71,0.98,0.46,Sciences,Very Good,Good,0.0,0.0,0.0
John Mccoy,African-American,male,2.0,USA,29.0,94720,5,3.49,0.4,6.0,3.62,0.0,58.0,0.73,2.75,0.93,0.95,Engineering,None,Good,1.0,0.0,0.0
Adam Kieff,Caucasian,male,2.0,USA,31.0,94598,5,2.95,0.52,9.0,3.59,0.0,67.0,-2.69,3.66,3.39,3.0,Humanities,Ok,Good,1.0,0.0,0.0
Troy Hall,Hispanic,male,0.0,Australia,35.0,94040,5,2.91,0.22,9.0,2.86,0.0,1.0,-0.67,4.51,5.63,3.53,Quantitative,Ok,Good,0.0,0.0,0.0
Marie Carabajal,Asian,female,2.0,USA,35.0,94925,5,3.29,0.54,10.0,4.61,0.0,66.0,-0.07,2.06,0.88,1.96,Sciences,Ok,Good,0.0,0.0,0.0
Thomas Kinchen,Caucasian,male,1.0,Australia,28.0,94588,5,2.87,0.62,5.0,3.57,3.0,36.0,0.96,1.05,-0.02,0.71,Sciences,Very Good,Good,1.0,0.0,1.0
Maria Haight,Other,female,1.0,China,29.0,94089,5,3.12,0.48,9.0,3.1500000000000004,0.0,11.0,2.84,3.71,3.89,4.0,Quantitative,Ok,Good,1.0,0.0,0.0
Harold Rogers,African-American,male,2.0,USA,29.0,94586,5,2.61,0.42,7.0,4.04,1.0,38.0,-1.63,1.76,-0.5,0.01,Engineering,Very Good,Good,1.0,0.0,0.0
John Scott,Caucasian,male,1.0,USA,35.0,94025,5,2.61,0.6,9.0,3.95,0.0,20.0,0.81,0.29,-1.62,-1.55,Engineering,None,Good,1.0,0.0,0.0
Patrick Rooks,Caucasian,male,1.0,USA,26.0,95035,5,3.2,0.5,5.0,3.96,0.0,18.0,0.99,2.9,1.66,0.85,Engineering,Very Good,Good,1.0,1.0,0.0
Rayford Reynolds,Caucasian,male,1.0,USA,26.0,94611,5,3.88,0.58,5.0,4.22,0.0,52.0,-1.72,4.26,3.08,2.36,Engineering,None,Good,1.0,0.0,0.0
Susan Hess,Caucasian,female,2.0,USA,30.0,94089,5,2.77,0.94,6.0,3.97,2.5,11.0,0.4,1.16,-2.69,-2.14,Engineering,Ok,Good,1.0,0.0,0.0
Oren Gardner,Hispanic,male,2.0,USA,32.0,94040,5,3.41,0.32,9.0,4.47,0.0,3.0,-0.89,1.99,-0.87,-0.38,Engineering,Very Good,Good,1.0,0.0,0.0
Fanny Weaver,Caucasian,female,2.0,USA,31.0,94040,5,3.59,0.52,8.0,4.42,0.0,4.0,1.8,1.06,-0.7,0.61,Engineering,Very Good,Good,1.0,0.0,0.0
Fred Knows,Asian,male,1.0,Australia,26.0,94043,5,3.21,0.52,6.0,3.6,0.0,7.0,1.89,2.58,1.29,0.89,Engineering,Very Good,Good,1.0,0.0,0.0
Steven Williams,Asian,male,2.0,USA,30.0,94040,5,3.63,0.22,7.0,3.61,0.0,1.0,-0.5,1.41,-2.85,-2.3,Engineering,Very Good,Good,1.0,0.0,0.0
Sharon Frazier,Caucasian,female,2.0,USA,30.0,95002,5,2.13,0.48,7.0,3.03,0.0,15.0,0.31,1.63,-2.19,-2.72,Engineering,Ok,Good,0.0,0.0,0.0
Michael Fred,Caucasian,male,2.0,Canada,26.0,94533,5,2.42,0.62,3.5,2.57,1.5,79.0,-0.07,2.96,3.23,2.56,Quantitative,Very Good,Good,1.0,0.0,0.0
James Geary,Hispanic,male,2.0,USA,31.0,94040,5,3.27,0.38,7.0,3.99,0.0,4.0,1.12,1.61,0.4,-0.25,Engineering,Very Good,Good,0.0,0.0,0.0
Warren Hall,Caucasian,male,2.0,USA,31.0,94027,5,3.38,0.34,6.5,4.63,3.0,24.0,1.47,3.29,1.01,1.31,Engineering,Ok,Good,0.0,1.0,0.0
Jeanne Werkhoven,Caucasian,female,1.0,USA,29.0,94038,5,2.64,0.14,6.0,2.47,1.0,57.0,-1.41,2.75,1.33,1.26,Engineering,None,Good,1.0,0.0,0.0
Charles Putnam,African-American,male,0.0,USA,28.0,95002,5,3.49,0.22,6.5,3.55,0.0,15.0,1.17,1.98,-0.69,-0.09,Quantitative,Ok,Good,1.0,0.0,0.0
William Fulcher,Caucasian,male,2.0,USA,29.0,94121,5,2.64,0.26,6.5,3.0,1.0,54.0,-1.2,2.51,0.67,0.69,Engineering,Ok,Good,1.0,0.0,0.0
Maria Crabtree,Hispanic,female,2.0,USA,23.0,94019,5,2.58,0.6,0.0,0.92,0.0,46.0,2.16,3.87,3.06,2.43,Engineering,None,Bad,0.0,0.0,0.0
Peter Jackson,African-American,male,2.0,USA,33.0,94301,5,3.38,0.42,8.0,4.3,0.0,17.0,0.54,1.46,-1.22,-1.3,Engineering,None,Good,1.0,0.0,0.0
Margie Plaskett,Caucasian,female,2.0,USA,31.0,94043,5,2.52,0.44,8.0,3.13,0.0,5.0,1.7,2.05,-0.55,-1.34,Engineering,Ok,Good,0.0,0.0,0.0
Jack Anderson,Caucasian,male,2.0,USA,33.0,94043,5,3.36,0.42,8.5,3.68,2.0,6.0,1.2,0.0,-4.02,-4.05,Sciences,Ok,Good,0.0,0.0,0.0
Jorge Taylor,Caucasian,male,1.0,USA,28.0,95620,5,1.8,0.24,5.0,2.21,0.0,106.0,-4.63,2.47,-0.01,-0.32,Engineering,Ok,Good,0.0,0.0,0.0
Willow Bright,Caucasian,female,0.0,USA,32.0,94707,5,2.92,0.22,7.5,2.45,0.0,60.0,-0.48,2.11,-0.39,-0.68,Quantitative,Very Good,Good,0.0,0.0,0.0
Jennifer Morrison,Caucasian,female,2.0,USA,32.0,94945,5,2.77,0.64,8.5,4.23,0.0,77.0,-0.37,2.68,1.66,1.62,Humanities,None,Good,1.0,0.0,0.0
Tyson Hall,Caucasian,male,1.0,USA,29.0,94304,5,3.28,0.52,4.0,3.39,0.0,19.0,-1.72,1.65,0.74,0.43,Quantitative,Very Good,Good,0.0,0.0,0.0
Lorraine White,Caucasian,female,2.0,Canada,29.0,94523,5,3.08,0.58,5.0,3.62,0.0,55.0,-1.93,2.2,-0.68,-0.63,Engineering,None,Good,1.0,1.0,0.0
John Ayers,Caucasian,male,2.0,USA,28.0,94609,5,2.92,0.62,5.0,3.48,0.0,50.0,0.46,1.75,0.73,0.5,Engineering,Very Good,Good,0.0,1.0,0.0
Dorothy Morris,Caucasian,female,0.0,USA,26.0,94569,5,2.48,0.32,5.5,2.16,0.0,68.0,1.05,1.05,-2.04,-1.59,Engineering,Ok,Good,0.0,0.0,0.0
Dylan Donnelly,Caucasian,male,1.0,USA,32.0,94070,5,3.18,0.54,6.0,4.22,0.0,27.0,-1.16,0.0,-3.51,-3.8,Sciences,Ok,Good,1.0,0.0,0.0
Wayne Smith,Caucasian,male,2.0,USA,34.0,95134,5,2.72,0.68,8.5,4.1,3.0,16.0,1.91,1.94,-0.5,-1.33,Engineering,Very Good,Good,0.0,1.0,0.0
Leo Yeung,Caucasian,male,2.0,USA,34.0,94019,5,3.5,0.44,9.0,4.73,0.0,46.0,-1.09,1.61,-2.08,-1.9,Quantitative,Very Good,Good,0.0,0.0,0.0
Mario Brown,Caucasian,male,2.0,USA,27.0,95002,5,3.62,0.5,5.0,3.74,0.0,14.0,1.91,1.53,-1.19,-1.76,Quantitative,Very Good,Good,1.0,0.0,0.0
Carl Gregory,Other,male,2.0,USA,26.0,94591,5,3.49,0.76,5.5,4.16,0.0,74.0,-2.35,2.8,1.52,1.05,Quantitative,Ok,Good,1.0,0.0,0.0
Tina Brink,African-American,female,2.0,USA,33.0,94070,5,3.98,0.2,10.5,3.25,0.0,27.0,-1.71,0.59,-2.15,-2.13,Quantitative,Ok,Good,0.0,0.0,0.0
Thomas Kerns,Hispanic,male,2.0,USA,34.0,95035,5,3.22,0.56,11.0,4.73,0.0,18.0,-3.11,1.54,-0.96,-1.3,Engineering,Very Good,Good,1.0,0.0,0.0
James Gary,Caucasian,male,2.0,USA,34.0,94085,5,3.26,0.7,9.0,4.31,0.0,10.0,-0.27,1.77,-0.5,-0.35,Engineering,Very Good,Good,1.0,0.0,0.0
Sharon Dunlow,African-American,female,1.0,USA,30.0,94578,5,2.62,0.6,6.5,2.2,0.0,39.0,-1.12,1.36,0.43,0.41,Quantitative,Ok,Good,1.0,0.0,0.0
Anna Honaker,Asian,female,1.0,USA,26.0,94301,5,2.8,0.58,2.0,2.33,0.0,17.0,4.31,3.42,1.86,1.74,Engineering,Very Good,Good,0.0,0.0,0.0
Marsha Clemens,Caucasian,female,2.0,USA,30.0,94578,5,3.29,0.38,7.0,3.4,0.0,39.0,-1.53,2.52,2.15,2.66,Quantitative,Very Good,Good,0.0,0.0,0.0
Adolfo Powel,Asian,male,2.0,USA,27.0,94941,5,3.32,0.66,5.5,4.43,0.0,75.0,0.2,1.85,-1.08,-1.33,Engineering,None,Good,0.0,0.0,0.0
Raymond Tate,African-American,male,2.0,USA,31.0,94707,5,3.58,0.4,8.0,4.39,0.0,60.0,-3.67,2.42,1.37,0.38,Engineering,Ok,Good,1.0,0.0,0.0
Serita Curtis,Caucasian,female,2.0,USA,29.0,94014,5,2.71,0.64,6.0,3.35,0.0,43.0,-1.04,0.74,-1.17,-0.1,Engineering,None,Good,1.0,0.0,0.0
Maria Shaffer,African-American,female,1.0,USA,30.0,94025,5,2.45,0.46,6.0,1.5699999999999998,0.0,20.0,1.16,2.81,0.65,0.49,Humanities,Ok,Good,0.0,0.0,0.0
Gina Short,Caucasian,female,2.0,USA,31.0,94560,5,3.09,0.42,6.5,3.74,0.0,29.0,2.83,1.62,0.3,0.6,Quantitative,Ok,Good,1.0,0.0,0.0
Howard Edwards,Caucasian,male,2.0,USA,28.0,94040,5,2.69,0.52,7.5,3.8,0.0,2.0,0.82,2.29,-0.35,-0.27,Humanities,Very Good,Good,1.0,0.0,0.0
Dennis Veltman,African-American,male,0.0,USA,28.0,94043,5,3.7,0.28,5.0,2.88,0.0,6.0,-3.32,3.36,2.89,2.55,Quantitative,Very Good,Good,1.0,0.0,0.0
Daniel Madigan,Caucasian,male,1.0,USA,28.0,94070,5,2.97,0.5,5.5,4.03,0.0,27.0,-2.7,3.18,2.56,2.45,Engineering,Ok,Good,0.0,0.0,0.0
Linda Quintana,Caucasian,female,1.0,Canada,30.0,94525,5,2.58,0.2,5.5,2.91,0.0,64.0,-0.92,1.29,-0.17,-0.28,Quantitative,Very Good,Good,1.0,0.0,0.0
Janet Menard,Caucasian,female,2.0,USA,29.0,94588,5,3.3,0.2,6.5,3.0700000000000003,0.0,36.0,-0.95,3.58,1.08,1.67,Engineering,Very Good,Good,1.0,0.0,0.0
Charles Moore,Caucasian,male,2.0,USA,29.0,94542,5,2.94,0.24,7.0,2.76,0.0,41.0,4.15,1.61,0.77,1.08,Engineering,Ok,Bad,0.0,0.0,0.0
Zachary Hill,African-American,male,1.0,USA,31.0,94014,5,3.9,0.46,7.0,3.53,2.0,43.0,0.49,1.24,-3.15,-2.71,Engineering,Very Good,Good,1.0,0.0,0.0
Stephen Stimpson,Hispanic,male,1.0,Mexico,29.0,94025,5,2.51,0.28,7.0,3.38,0.0,20.0,-0.6,2.73,1.47,1.0,Engineering,Very Good,Good,1.0,0.0,0.0
Christopher Booker,Asian,male,1.0,USA,33.0,94586,5,3.16,0.14,8.0,2.8,0.0,38.0,-0.83,2.49,1.45,1.3,Quantitative,Very Good,Good,0.0,0.0,0.0
Jose Reece,Asian,male,1.0,USA,33.0,94025,5,3.22,0.3,8.5,3.94,0.0,20.0,0.72,3.28,1.16,1.7,Engineering,Very Good,Good,1.0,0.0,0.0
Ashly Steiner,Caucasian,female,1.0,USA,32.0,94131,5,3.47,0.64,8.5,4.199999999999998,0.0,44.0,-2.05,2.52,2.13,2.19,Engineering,Ok,Good,1.0,0.0,0.0
Joseph Walp,Other,male,2.0,USA,27.0,94611,5,3.62,0.6,5.0,3.77,0.0,52.0,-0.45,2.08,0.05,0.14,Humanities,Very Good,Good,1.0,0.0,0.0
John Vandeusen,Hispanic,male,1.0,USA,28.0,94545,5,3.75,0.32,7.0,4.72,0.0,37.0,1.17,3.74,3.01,2.88,Engineering,Very Good,Good,1.0,0.0,0.0
Dianne Ruff,Caucasian,female,2.0,USA,32.0,94538,5,3.54,0.58,8.0,5.06,0.0,21.0,0.21,2.31,0.76,0.8,Quantitative,Very Good,Good,1.0,0.0,0.0
Betty Popp,Asian,female,1.0,USA,29.0,94030,5,2.74,0.48,7.0,3.71,0.0,34.0,0.73,1.98,-0.8,-0.77,Engineering,Very Good,Good,0.0,0.0,0.0
Paul Mcclellan,Caucasian,male,2.0,USA,35.0,94566,5,3.31,0.58,8.0,4.74,2.0,35.0,-1.3,0.42,-2.87,-3.09,Humanities,Very Good,Good,1.0,0.0,0.0
Richard Mera,Asian,male,2.0,USA,34.0,94611,5,3.22,0.42,6.5,3.33,4.0,52.0,3.04,3.09,2.0,1.92,Engineering,Very Good,Good,1.0,0.0,0.0
Willie Mccoy,Caucasian,male,2.0,USA,45.0,94538,5,3.44,0.46,13.5,5.32,4.0,21.0,3.7,0.59,-2.86,-2.51,Engineering,Ok,Good,1.0,0.0,0.0
Randi Holt,Hispanic,female,2.0,USA,26.0,94019,5,2.66,0.52,5.0,2.0,0.0,46.0,-1.8,1.35,-0.12,0.08,Quantitative,Very Good,Good,1.0,0.0,0.0
Paula Newson,Asian,female,1.0,USA,30.0,94502,5,3.03,0.64,5.5,3.68,0.0,49.0,-2.09,2.72,1.17,0.91,Engineering,Very Good,Bad,1.0,0.0,0.0
Kimberly Hanna,Caucasian,female,2.0,USA,30.0,94603,5,2.31,0.44,6.5,3.0700000000000003,0.0,40.0,-2.34,2.94,1.62,1.29,Engineering,Ok,Good,1.0,0.0,0.0
Juan Roberts,Caucasian,male,0.0,USA,31.0,94611,5,3.54,0.32,10.0,3.75,0.5,52.0,-3.09,2.04,0.55,0.32,Engineering,Very Good,Good,1.0,0.0,0.0
Terry Cruz,Caucasian,male,2.0,USA,28.0,94010,5,3.31,0.52,7.0,4.31,0.0,33.0,2.08,0.53,-2.86,-1.58,Engineering,Ok,Good,1.0,0.0,0.0
Linda Santos,Caucasian,female,2.0,USA,27.0,94542,5,3.08,0.44,5.0,3.29,0.0,41.0,-0.0,1.55,-1.07,-0.83,Engineering,Very Good,Bad,1.0,0.0,0.0
Xavier Payne,Caucasian,male,2.0,USA,28.0,94605,5,2.99,0.52,6.0,3.74,0.0,42.0,1.37,1.13,-2.07,-2.03,Quantitative,Very Good,Good,1.0,0.0,0.0
Amanda Delong,Asian,female,2.0,USA,31.0,94588,5,3.83,0.58,8.0,5.03,0.0,36.0,-1.58,2.7,0.91,0.86,Engineering,None,Good,1.0,0.0,0.0
Charles Hopson,African-American,male,1.0,USA,29.0,94595,5,3.37,0.6,8.0,5.15,0.0,56.0,-0.67,3.13,1.54,-0.07,Sciences,Very Good,Good,0.0,0.0,0.0
Tammy Martin,Other,female,1.0,China,33.0,94114,5,3.26,0.4,9.0,3.35,0.0,47.0,-0.45,2.52,2.3,2.64,Humanities,None,Good,1.0,0.0,0.0
Robert Robin,Asian,male,2.0,USA,29.0,94538,5,3.48,0.42,6.0,3.95,0.0,21.0,-3.51,0.67,-1.72,-0.53,Quantitative,Very Good,Good,1.0,0.0,0.0
Terry Hoeft,Caucasian,male,2.0,Canada,29.0,94114,5,3.81,0.68,6.0,4.66,0.0,47.0,0.11,2.95,0.66,0.51,Engineering,Very Good,Good,1.0,0.0,0.0
Michael Diaz,Other,male,1.0,USA,26.0,94544,5,2.52,0.34,5.0,3.23,0.0,32.0,0.57,1.68,-1.39,-1.0,Quantitative,Very Good,Good,1.0,0.0,0.0
Gerardo Easton,Hispanic,male,2.0,USA,28.0,94022,5,3.0,0.64,5.0,3.62,0.0,13.0,0.35,1.13,-2.96,-3.08,Engineering,Very Good,Good,1.0,0.0,0.0
Raul Pardue,Caucasian,male,2.0,USA,27.0,95002,5,3.58,0.54,3.0,4.01,0.0,14.0,4.87,3.65,2.59,1.81,Engineering,Ok,Good,1.0,0.0,0.0
Mary Lane,African-American,female,2.0,USA,30.0,94709,5,3.19,0.22,4.5,1.7200000000000002,0.0,59.0,-2.03,2.56,-0.06,-0.25,Engineering,Ok,Good,1.0,0.0,0.0
David Jordan,African-American,male,2.0,USA,32.0,94545,5,2.53,0.48,7.0,4.15,0.0,37.0,-1.89,1.69,-0.42,1.06,Engineering,Very Good,Good,0.0,0.0,0.0
Sarah Mitchell,Asian,female,1.0,USA,29.0,94027,5,3.33,0.7,6.0,4.03,0.5,24.0,-2.5,2.3,0.42,-0.24,Quantitative,Very Good,Good,1.0,0.0,0.0
John Smith,Caucasian,male,2.0,USA,29.0,94941,5,2.68,0.4,8.0,3.47,0.5,75.0,-2.89,2.12,0.4,0.75,Sciences,Ok,Good,1.0,0.0,0.0
Eunice Jurgenson,Caucasian,female,2.0,USA,29.0,94707,5,3.57,0.66,5.0,3.38,0.0,60.0,-2.12,3.45,2.93,2.46,Engineering,Very Good,Bad,1.0,0.0,0.0
Danny Kidd,Hispanic,male,1.0,USA,31.0,94403,5,3.97,0.12,7.0,3.89,0.0,26.0,0.8899999999999999,2.99,-0.02,0.35,Sciences,Very Good,Good,1.0,0.0,0.0
Rosemarie Nooe,Caucasian,female,2.0,USA,32.0,94403,5,2.49,0.56,7.0,3.23,0.0,26.0,-1.58,0.67,-2.51,-2.24,Engineering,Very Good,Good,1.0,0.0,0.0
Willette Mattox,Caucasian,female,1.0,USA,30.0,94304,5,3.72,0.56,7.0,4.369999999999999,0.0,19.0,-0.88,3.34,1.56,1.39,Engineering,Very Good,Good,1.0,0.0,0.0
Annie Shaner,Caucasian,female,2.0,USA,27.0,94560,5,3.25,0.48,6.0,3.4,0.0,29.0,-0.2,1.79,-1.1,-0.72,Humanities,Ok,Good,1.0,0.0,0.0
Kenneth Hans,Other,male,1.0,USA,30.0,94027,5,3.05,0.5,6.0,3.78,0.0,24.0,-1.61,2.54,0.87,-0.2,Engineering,Very Good,Good,1.0,0.0,0.0
Alice Teixeira,Caucasian,female,2.0,USA,28.0,94040,5,2.56,0.4,6.5,3.52,0.0,2.0,-0.1,3.31,1.85,0.74,Quantitative,Very Good,Good,1.0,0.0,0.0
Terrell Mitchell,Other,male,0.0,USA,29.0,94085,5,3.81,0.76,6.0,4.08,0.0,9.0,4.11,2.51,0.38,0.26,Engineering,None,Good,1.0,0.0,0.0
David Carroll,Caucasian,male,2.0,Australia,31.0,94040,5,3.42,0.26,9.0,4.02,0.0,1.0,1.43,2.83,1.1,0.98,Engineering,Very Good,Good,1.0,0.0,0.0
Tyler Leiber,Caucasian,male,1.0,USA,33.0,94595,5,3.42,0.46,7.0,3.61,0.0,56.0,-0.47,2.99,0.2,0.59,Engineering,Very Good,Good,1.0,0.0,0.0
Fredrick Fitzwater,Asian,male,2.0,USA,30.0,94403,5,3.06,0.62,8.0,3.85,0.0,26.0,-2.63,2.51,1.85,0.8,Quantitative,Very Good,Good,1.0,0.0,0.0
Romeo Kenney,African-American,male,2.0,USA,26.0,94043,5,3.83,0.62,6.0,4.86,0.0,7.0,0.55,2.02,-1.0,-1.88,Engineering,Ok,Good,1.0,0.0,0.0
Julia Johnson,Caucasian,female,2.0,USA,29.0,94402,5,3.83,0.4,4.5,3.63,0.0,28.0,-1.16,3.28,3.21,2.44,Engineering,Ok,Good,0.0,0.0,0.0
