Names,Race,Gender,Sports,Birth Origin,Age,Zip,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record
Marion Stowell,Asian,male,2.0,USA,36.0,94040,5,3.92,0.37,12.5,5.28,20.54,0.0,2.0,4.5,1.03,3.92,2.71,2.77,10.58,Engineering,Ok,Good,1.0,0.0,0.0
Tammy Jack,Asian,female,2.0,USA,38.0,94560,5,2.51,0.73,8.0,3.96,16.65,0.0,29.0,2.0,-0.79,4.25,4.52,4.45,12.4,Sciences,Ok,Good,1.0,1.0,0.0
Jeff Nealey,Caucasian,male,1.0,USA,29.0,94509,5,3.44,0.69,8.0,4.67,18.8,0.0,71.0,3.0,0.33,2.35,1.24,1.38,8.63,Quantitative,Ok,Good,1.0,0.0,0.0
Ben Rodriguez,African-American,male,1.0,USA,32.0,94539,5,3.58,0.43,10.5,5.57,21.83,0.0,25.0,5.0,1.58,1.82,-0.02,0.35,7.49,Engineering,Very Good,Good,1.0,0.0,0.0
Van Fox,Caucasian,male,2.0,USA,33.0,94070,5,3.51,0.53,10.0,4.65,18.55,0.0,27.0,2.0,-0.74,2.98,0.6,-0.53,6.18,Engineering,Very Good,Good,1.0,0.0,0.0
Seth Perigo,Caucasian,male,1.0,USA,33.0,94933,5,3.04,0.75,8.0,3.68,15.07,0.0,96.0,2.0,-0.9,1.74,0.63,-0.65,5.61,Quantitative,None,Good,1.0,0.0,0.0
Mark Bender,African-American,male,2.0,USA,36.0,95035,5,3.29,0.22,11.0,4.54,18.509999999999998,0.0,18.0,1.0,-2.09,0.92,-2.98,-1.63,5.54,Humanities,Ok,Good,1.0,0.0,0.0
Jean Sanders,Caucasian,female,2.0,Australia,31.0,94085,5,3.35,0.8,9.0,5.11,19.64,2.5,10.0,4.0,0.62,1.6,0.14,0.16,7.0,Humanities,None,Good,1.0,0.0,0.0
Margaret Winski,Asian,female,2.0,USA,30.0,94960,5,3.69,0.14,9.0,3.79,16.45,0.0,76.0,1.0,-1.37,0.0,-4.62,-4.17,1.67,Quantitative,Very Good,Good,1.0,0.0,0.0
Kristen Mcconnell,Caucasian,female,2.0,USA,28.0,94542,5,3.02,0.59,5.0,3.99,17.55,0.0,41.0,1.0,-2.15,0.47,-2.41,-2.51,3.75,Engineering,Very Good,Good,1.0,0.0,0.0
Patrica Engfer,Caucasian,female,2.0,USA,34.0,95002,5,2.42,0.49,8.0,3.47,15.280000000000001,0.0,14.0,4.0,0.83,2.78,1.27,1.33,8.65,Quantitative,Ok,Good,1.0,1.0,0.0
Stanley Ervin,African-American,male,1.0,USA,30.0,94801,5,3.24,0.22,8.0,3.51,15.68,0.0,63.0,2.0,-0.41,0.2,-4.22,-3.52,2.84,Engineering,Very Good,Good,1.0,0.0,0.0
Gloria Mcbride,Hispanic,female,1.0,USA,33.0,94043,5,3.64,0.49,9.0,4.57,18.04,0.0,6.0,1.0,-2.02,2.91,2.51,2.3,9.68,Humanities,Very Good,Good,1.0,0.0,0.0
Darrell Rodgers,Asian,male,2.0,USA,34.0,94544,5,3.51,0.41,13.0,5.17,19.4,0.0,32.0,2.0,-0.65,3.57,1.55,1.29,8.81,Quantitative,None,Good,0.0,1.0,0.0
Andrea Parrish,Caucasian,male,2.0,USA,33.0,94720,5,3.21,0.33,7.5,4.08,17.55,2.5,58.0,3.0,0.34,3.84,3.4,3.09,10.7,Engineering,None,Good,1.0,1.0,0.0
Joe Rall,Caucasian,male,2.0,USA,33.0,94114,5,2.71,0.63,8.5,4.05,16.28,2.0,47.0,3.5,0.83,2.72,-0.01,0.45,7.92,Engineering,Very Good,Good,1.0,0.0,0.0
Ursula Ducking,Caucasian,female,2.0,USA,38.0,94038,5,3.45,0.49,12.0,4.81,17.8,0.0,57.0,0.0,-4.08,1.0,-2.5,-2.39,4.14,Engineering,Very Good,Good,1.0,1.0,0.0
Thomas Stewart,African-American,male,2.0,USA,32.0,94028,5,3.45,0.82,8.5,5.11,19.11,0.0,23.0,3.0,-0.13,1.78,-0.6,0.77,8.34,Humanities,Very Good,Good,1.0,0.0,0.0
Jonathan Tovar,Other,male,2.0,USA,37.0,94569,5,3.39,0.47,10.0,4.8,18.42,2.0,68.0,3.5,0.71,0.22,-3.23,-3.22,2.99,Engineering,Ok,Good,1.0,0.0,0.0
Lawrence Reiter,Caucasian,male,0.0,USA,33.0,94569,5,3.08,0.69,8.5,4.28,17.009999999999998,0.0,68.0,2.0,-0.65,2.6,0.97,0.51,7.64,Quantitative,Very Good,Good,1.0,0.0,0.0
Robert Manning,Other,male,2.0,USA,34.0,94510,5,3.01,0.24,10.0,4.33,17.37,2.5,69.0,3.5,0.86,0.67,-3.3,-2.23,4.74,Quantitative,Very Good,Good,1.0,0.0,0.0
Cathy Emerson,Other,female,2.0,USA,38.0,94304,5,3.35,0.41,12.0,4.33,16.23,2.0,19.0,3.0,-0.4,2.23,0.51,-0.41,6.19,Quantitative,Ok,Good,1.0,1.0,0.0
Daniel Joyce,Caucasian,male,2.0,USA,32.0,94022,5,4.06,0.25,9.0,4.57,18.15,0.0,13.0,6.0,2.65,3.29,0.68,0.43,7.8,Engineering,None,Good,1.0,0.0,0.0
Joseph Heflin,Caucasian,male,2.0,USA,27.0,94085,5,3.43,0.51,5.5,3.88,16.6,0.0,10.0,2.0,-0.89,1.13,-2.39,-2.47,3.99,Quantitative,Ok,Good,1.0,0.0,0.0
Michael Tuggle,Caucasian,male,2.0,USA,32.0,94301,5,3.16,0.31,9.5,4.54,18.35,0.0,17.0,1.0,-1.78,3.98,3.25,2.97,10.83,Engineering,None,Good,1.0,0.0,0.0
Sandra Quiros,African-American,female,2.0,USA,31.0,94545,5,2.87,0.14,5.0,2.57,13.22,0.0,37.0,0.0,-3.73,1.76,-0.53,-1.08,5.54,Engineering,Very Good,Good,1.0,1.0,0.0
Ronnie Harmon,African-American,male,1.0,USA,32.0,94121,5,3.22,0.71,5.0,4.37,17.92,1.5,54.0,2.0,-0.58,2.14,0.04,0.77,8.26,Quantitative,Very Good,Good,1.0,0.0,0.0
Robert Byers,Caucasian,male,1.0,Canada,28.0,94089,5,3.34,0.73,7.0,4.28,16.78,0.0,11.0,4.0,0.8,1.02,-0.47,0.19,7.18,Engineering,Ok,Good,1.0,0.0,0.0
Patricia Jones,Caucasian,female,2.0,Canada,34.0,94027,5,3.59,0.33,9.0,3.37,13.59,0.0,24.0,4.5,1.41,0.13,-2.71,-1.62,5.2,Quantitative,Very Good,Bad,1.0,0.0,0.0
Charlotte Sammons,Other,female,2.0,Australia,30.0,94587,5,3.86,0.49,9.0,5.12,19.689999999999998,0.0,30.0,5.0,1.8,1.48,-0.31,-0.45,6.2,Quantitative,None,Good,1.0,1.0,0.0
Patrick Luce,Hispanic,male,2.0,USA,31.0,94709,5,2.85,0.51,9.0,4.12,16.490000000000002,0.0,59.0,0.0,-2.78,1.22,-1.13,0.11,7.42,Engineering,Ok,Good,1.0,0.0,0.0
Carol Gilkes,African-American,female,2.0,USA,31.0,94089,5,4.24,0.65,9.5,5.91,21.689999999999998,0.0,11.0,2.5,-0.26,1.71,-0.31,0.12,7.3,Engineering,Very Good,Good,0.0,0.0,0.0
Marie Ready,African-American,female,0.0,USA,34.0,94061,5,3.7,0.63,8.5,4.78,18.35,0.0,22.0,9.0,4.87,0.89,-0.77,-0.16,6.75,Sciences,Ok,Good,0.0,0.0,0.0
Josephine Watts,Caucasian,female,0.0,USA,35.0,94019,5,3.69,0.22,10.5,4.57,17.7,3.0,46.0,4.0,1.12,0.31,-1.55,-0.57,6.26,Quantitative,Very Good,Good,1.0,0.0,0.0
Stephen Clendenin,Hispanic,male,1.0,USA,31.0,94043,5,3.49,0.65,5.0,3.88,16.02,0.0,7.0,4.5,1.52,1.42,-2.42,-1.87,5.19,Quantitative,Very Good,Good,1.0,0.0,0.0
Thelma Burger,Asian,female,2.0,Australia,34.0,94947,5,3.5,0.55,11.0,5.68,20.91,0.0,86.0,0.0,-2.3,1.06,-1.42,-0.38,6.79,Engineering,Ok,Good,0.0,0.0,0.0
Jonathan Ellis,Asian,male,2.0,USA,34.0,94403,5,2.58,0.39,11.5,4.3,16.58,0.0,26.0,0.0,-4.68,0.68,-2.77,-2.64,3.68,Quantitative,Very Good,Good,0.0,1.0,0.0
James Dennis,Caucasian,male,2.0,USA,28.0,94560,5,3.06,0.65,7.0,3.62,14.559999999999999,0.0,29.0,3.0,0.01,3.04,1.15,0.54,7.77,Engineering,None,Good,1.0,0.0,0.0
Gary Clossin,Asian,male,2.0,USA,33.0,94019,5,3.01,0.63,9.0,4.28,16.740000000000002,0.0,46.0,5.0,1.8,1.85,-0.44,0.13,7.32,Quantitative,Ok,Good,0.0,1.0,0.0
Michael Richards,Caucasian,male,1.0,USA,34.0,94085,5,3.85,0.39,9.0,4.54,17.65,0.0,9.0,5.0,2.1,3.22,0.85,0.64,7.98,Engineering,Very Good,Good,1.0,0.0,0.0
Christopher Leroux,Caucasian,male,1.0,USA,28.0,94070,5,2.84,0.51,5.5,2.82,12.5,0.0,27.0,4.5,1.25,2.51,0.03,1.03,8.78,Engineering,Very Good,Good,0.0,0.0,0.0
Irene Briggs,Asian,female,2.0,USA,37.0,94085,5,4.04,0.43,16.0,5.83,19.79,0.0,9.0,4.0,0.98,2.8,1.48,1.23,8.5,Engineering,Very Good,Good,0.0,0.0,0.0
Erma Oneal,Asian,female,1.0,USA,26.0,94973,5,2.84,0.61,5.5,3.61,15.21,0.0,87.0,0.0,-3.31,1.34,1.13,0.1,6.43,Quantitative,Very Good,Good,1.0,0.0,0.0
Kurt Torros,Asian,male,2.0,USA,35.0,94040,5,3.0,0.39,9.0,4.14,16.44,0.0,2.0,3.5,0.63,2.02,0.1,0.09,6.99,Engineering,Ok,Bad,0.0,1.0,0.0
Stacey Mullins,Asian,female,2.0,USA,29.0,94089,5,3.57,0.59,9.0,5.16,19.58,0.0,11.0,0.5,-2.41,2.75,1.34,0.7,7.64,Engineering,None,Good,1.0,0.0,0.0
Travis Richmond,Caucasian,male,0.0,USA,33.0,94545,5,3.39,0.45,7.5,3.74,15.39,2.0,37.0,3.0,0.33,1.06,-1.77,-1.37,5.32,Humanities,Very Good,Good,0.0,0.0,0.0
Maurine Nance,Other,female,1.0,USA,32.0,94085,5,3.24,0.49,6.5,3.75,15.51,2.0,9.0,2.5,-0.44,1.83,2.08,2.54,9.9,Quantitative,Very Good,Good,1.0,0.0,0.0
Joshua Ford,African-American,male,1.0,USA,29.0,94131,5,3.13,0.63,9.0,4.3,16.48,0.5,44.0,0.5,-2.42,0.01,-4.36,-2.71,4.18,Quantitative,None,Good,1.0,0.0,0.0
Kristina Betzer,African-American,female,2.0,USA,29.0,94556,5,4.22,0.41,7.5,4.22,16.81,0.0,65.0,4.0,0.03,1.79,-0.76,-1.41,5.11,Quantitative,Very Good,Good,1.0,0.0,0.0
John Rener,Caucasian,male,1.0,USA,33.0,94043,5,4.1,0.53,9.0,4.64,17.28,1.5,5.0,2.0,-1.23,0.68,-3.0,-2.84,3.61,Sciences,Very Good,Good,0.0,0.0,0.0
Curtis Brown,Asian,male,2.0,USA,34.0,94510,5,3.6,0.18,8.0,3.6,14.96,0.0,69.0,3.0,0.37,0.0,-4.52,-3.92,2.17,Quantitative,Ok,Good,1.0,0.0,0.0
James Evans,Caucasian,male,2.0,USA,31.0,94089,5,3.15,0.57,7.5,4.68,18.27,0.0,11.0,4.0,0.32,3.55,0.04,0.44,8.19,Engineering,None,Good,1.0,0.0,0.0
Patricia Cruz,Caucasian,female,1.0,USA,33.0,94707,5,3.3,0.53,7.0,3.98,15.91,3.5,60.0,6.0,2.74,0.25,-2.84,-2.88,3.27,Engineering,Very Good,Bad,1.0,0.0,0.0
Mary Mcneill,Caucasian,female,1.0,USA,28.0,95035,5,3.45,0.69,6.0,4.26,16.87,0.0,18.0,2.0,-1.14,2.31,2.32,2.51,9.93,Engineering,Very Good,Good,1.0,0.0,0.0
Dana Holmes,Caucasian,female,1.0,USA,30.0,94014,5,3.66,0.51,6.0,4.07,16.58,0.0,43.0,2.0,-1.1,1.96,0.94,0.9,7.95,Engineering,Ok,Good,1.0,0.0,0.0
Joseph Carver,Caucasian,male,1.0,Australia,28.0,94566,5,3.7,0.96,5.0,4.41,17.04,0.0,35.0,4.0,0.67,2.69,1.71,2.15,9.79,Engineering,Very Good,Good,1.0,0.0,0.0
Joel Carrera,African-American,male,2.0,USA,33.0,94403,5,2.68,0.37,12.5,3.95,14.879999999999999,0.0,26.0,2.5,-0.64,0.82,-2.18,-2.32,4.12,Engineering,Ok,Good,1.0,0.0,0.0
Benny Villa,Caucasian,male,2.0,USA,35.0,94538,5,3.95,0.43,10.0,5.07,19.04,3.0,21.0,4.5,1.19,1.7,-0.87,-1.6,4.77,Engineering,Ok,Good,0.0,0.0,0.0
Martin Burrowes,Caucasian,male,2.0,USA,35.0,94603,5,3.24,0.37,9.0,4.47,17.61,0.0,40.0,2.5,-0.26,0.9,-3.79,-3.34,3.28,Engineering,Very Good,Good,1.0,0.0,0.0
Morris Orchard,Caucasian,male,1.0,USA,35.0,94603,5,3.4,0.1,10.0,4.3,17.37,0.0,40.0,4.0,0.83,0.81,-2.55,-2.64,3.63,Quantitative,Very Good,Good,1.0,0.0,0.0
Scott Kowalski,Hispanic,male,2.0,USA,30.0,94556,5,3.03,0.59,8.0,3.97,15.440000000000001,0.5,65.0,0.0,-2.65,0.11,-2.72,-2.4,3.91,Engineering,None,Good,1.0,0.0,0.0
Ashley Caraway,African-American,female,2.0,USA,33.0,94618,5,3.08,0.51,10.5,4.85,18.11,0.0,51.0,1.0,-1.54,3.69,3.91,2.39,9.45,Engineering,Very Good,Good,1.0,0.0,0.0
Wilbur Klatt,Asian,male,2.0,USA,36.0,94030,5,3.83,0.41,11.0,4.78,17.75,0.0,34.0,3.5,0.43,3.52,2.16,2.53,10.38,Quantitative,Ok,Bad,1.0,0.0,0.0
Jose Hunt,Caucasian,male,2.0,USA,31.0,94085,5,2.82,0.59,8.0,4.57,18.009999999999998,0.0,9.0,3.0,-0.63,1.35,-0.18,-0.39,6.31,Quantitative,Ok,Good,0.0,1.0,0.0
Michael Martin,Other,male,2.0,China,29.0,94040,5,3.6,0.53,5.0,3.67,15.370000000000001,0.0,3.0,3.5,0.39,1.89,0.03,-0.05,6.87,Humanities,Very Good,Good,1.0,0.0,0.0
William Mcneill,Caucasian,male,2.0,USA,34.0,94605,5,3.49,0.53,9.5,5.12,19.09,0.5,42.0,0.0,-2.83,2.76,1.32,0.15,6.85,Engineering,Very Good,Good,1.0,0.0,0.0
Scott Hiner,Caucasian,male,2.0,USA,33.0,94025,5,3.08,0.69,7.0,3.86,15.15,0.0,20.0,5.5,2.12,3.11,2.34,2.51,10.09,Engineering,Very Good,Good,1.0,0.0,0.0
Laura Iwanowski,Caucasian,female,2.0,USA,37.0,94109,5,3.75,0.2,12.0,4.69,17.44,2.0,48.0,3.0,-0.01,3.07,0.5,0.36,7.64,Quantitative,Very Good,Good,0.0,1.0,0.0
Joseph Brown,Caucasian,male,2.0,USA,28.0,94028,5,3.21,0.8,7.0,4.79,18.25,0.0,23.0,5.0,1.98,1.91,0.42,-0.23,6.35,Quantitative,Ok,Bad,0.0,0.0,0.0
Joshua Frazier,Caucasian,male,2.0,USA,31.0,94087,5,3.85,0.57,8.5,4.47,16.740000000000002,0.0,12.0,3.0,0.07,0.47,-3.3,-2.62,3.97,Quantitative,Very Good,Good,1.0,0.0,0.0
Roland English,Hispanic,male,2.0,USA,36.0,94043,5,2.46,0.18,11.0,3.2,13.1,0.0,5.0,6.0,2.53,2.66,-0.03,0.18,7.59,Engineering,Ok,Good,1.0,0.0,0.0
Mary Jennings,Caucasian,female,1.0,USA,30.0,94301,5,3.25,0.75,6.0,4.68,18.1,0.0,17.0,4.0,0.48,2.51,-0.48,-0.1,7.26,Quantitative,Very Good,Good,1.0,0.0,0.0
Ruth Cohen,Hispanic,female,2.0,USA,32.0,94587,5,3.38,0.2,10.0,4.23,16.63,0.0,30.0,10.0,5.58,1.95,0.54,0.25,7.14,Quantitative,Very Good,Good,1.0,0.0,0.0
Fidel Dalton,African-American,male,2.0,USA,31.0,94043,5,2.98,0.53,9.5,4.14,15.73,0.0,5.0,2.5,-0.86,1.36,-1.63,-2.2,4.09,Quantitative,Ok,Good,1.0,0.0,0.0
William Hummer,Caucasian,male,2.0,USA,28.0,94801,5,2.79,0.49,6.0,3.1,13.31,0.0,63.0,0.0,-2.53,3.1,1.9,2.1,9.7,Quantitative,Very Good,Good,1.0,1.0,0.0
Josephine Bristow,Caucasian,female,2.0,USA,31.0,94566,5,3.48,0.49,7.0,3.47,13.8,0.0,35.0,2.0,-0.72,1.69,-1.53,-1.56,5.19,Humanities,Ok,Good,1.0,0.0,0.0
Warren Allen,Caucasian,male,2.0,USA,30.0,94720,5,3.52,0.53,7.0,4.75,18.490000000000002,0.0,58.0,3.0,0.21,2.09,0.35,-0.23,6.58,Engineering,Ok,Good,1.0,0.0,0.0
Marjorie Likes,Caucasian,female,2.0,USA,31.0,94085,5,3.31,0.51,8.0,4.18,16.19,0.0,8.0,2.0,-0.82,2.36,-0.27,-0.62,6.33,Sciences,Very Good,Good,1.0,0.0,0.0
Sheena Bennion,Asian,female,2.0,USA,32.0,94043,5,2.83,0.2,8.0,3.08,13.35,0.0,6.0,3.0,-0.29,2.0,0.05,-0.77,5.82,Quantitative,Ok,Good,1.0,0.0,0.0
Robert Lawhorne,Caucasian,male,1.0,USA,27.0,94087,5,3.86,0.22,5.0,3.79,16.29,0.0,12.0,6.0,3.15,2.43,1.23,1.4,8.73,Quantitative,None,Good,1.0,0.0,0.0
Justine Allain,Asian,female,1.0,USA,32.0,94025,5,3.46,0.61,7.0,4.71,18.35,0.0,20.0,2.0,-0.93,2.68,0.87,0.76,7.97,Sciences,Very Good,Good,1.0,0.0,0.0
Jackie Tavolario,Caucasian,male,2.0,Australia,33.0,94043,5,2.37,0.63,8.0,3.98,15.68,0.0,5.0,4.5,1.16,2.31,1.14,0.95,8.06,Engineering,Ok,Good,1.0,0.0,0.0
Jeanne Corr,Caucasian,female,2.0,USA,29.0,94588,5,3.58,0.61,7.5,5.01,18.93,0.0,36.0,3.5,0.53,2.05,-0.61,-0.6,6.38,Sciences,Ok,Good,1.0,0.0,0.0
Daniel Norton,Caucasian,male,2.0,USA,33.0,95002,5,4.2,0.43,12.0,4.93,17.490000000000002,0.0,14.0,3.5,0.15,1.72,-1.0,-1.35,5.29,Quantitative,Ok,Good,0.0,0.0,0.0
Jerilyn Webb,African-American,female,2.0,USA,33.0,94603,5,4.15,0.18,11.0,4.58,17.23,1.0,40.0,1.5,-1.07,0.82,-2.72,-3.21,2.92,Quantitative,Ok,Good,1.0,0.0,0.0
Maryann Jones,Other,female,2.0,USA,22.0,94588,5,2.47,0.47,2.0,2.99,14.77,0.0,36.0,1.0,-1.79,0.82,-2.18,-1.61,5.2,Engineering,Very Good,Good,1.0,0.0,0.0
Colleen Dimock,Caucasian,female,1.0,USA,26.0,94040,5,3.18,0.69,4.0,3.49,14.64,0.0,2.0,3.0,-0.45,1.7,-0.54,-0.67,6.15,Quantitative,Very Good,Good,1.0,0.0,0.0
Doris Colbert,Other,female,1.0,USA,33.0,94538,5,3.62,0.69,8.0,5.19,19.15,0.0,21.0,6.0,2.46,1.64,-1.42,-1.47,5.27,Sciences,Ok,Good,1.0,0.0,0.0
Earl Daggett,Caucasian,male,2.0,USA,33.0,94109,5,3.84,0.53,8.0,4.64,17.57,0.0,48.0,0.0,-3.19,3.26,1.46,1.76,9.51,Quantitative,Very Good,Good,1.0,0.0,0.0
Caroline Spina,African-American,female,1.0,USA,31.0,95002,5,3.48,0.57,10.0,3.78,13.72,0.0,14.0,5.0,1.16,1.5,-1.0,-1.22,5.55,Quantitative,Very Good,Good,1.0,0.0,0.0
Carolyn Stewart,Caucasian,female,2.0,USA,32.0,94588,5,3.82,0.49,8.0,4.14,15.66,0.0,36.0,0.0,-3.06,0.75,-3.86,-2.72,4.27,Engineering,Very Good,Good,1.0,0.0,0.0
Thomas Mares,Caucasian,male,2.0,USA,32.0,94040,5,3.93,0.35,6.5,4.41,17.92,0.0,4.0,7.0,3.31,1.87,-0.74,-1.22,5.36,Engineering,Very Good,Good,1.0,0.0,0.0
Joel Adams,Caucasian,male,2.0,USA,25.0,94089,5,3.28,0.65,3.5,2.73,12.120000000000001,0.0,11.0,7.0,3.69,1.24,-2.27,-2.4,4.07,Engineering,Very Good,Good,0.0,0.0,0.0
Larry Schubbe,Caucasian,male,2.0,USA,33.0,94085,5,3.62,0.65,9.5,5.38,19.55,0.0,9.0,1.0,-1.59,3.02,2.05,1.23,8.33,Engineering,Ok,Good,1.0,0.0,0.0
Norma Ho,Caucasian,female,2.0,USA,32.0,94587,5,3.64,0.37,10.0,3.61,13.67,0.0,30.0,4.5,1.37,3.16,2.45,2.02,9.43,Quantitative,Ok,Good,1.0,0.0,0.0
Arturo Hamilton,Caucasian,male,2.0,USA,32.0,94131,5,2.54,0.59,6.0,2.83,12.06,2.0,44.0,3.5,0.77,2.53,0.86,0.17,7.04,Quantitative,Ok,Good,0.0,1.0,0.0
Jared Pitt,Caucasian,male,1.0,USA,31.0,94578,5,3.88,0.57,9.0,4.4,16.08,0.0,39.0,3.0,0.11,3.29,2.83,3.64,11.67,Quantitative,Ok,Good,1.0,0.0,0.0
Sarah Lutes,Caucasian,female,2.0,USA,32.0,94022,5,3.16,0.51,10.0,4.01,14.83,0.0,13.0,7.0,3.52,0.25,-3.78,-4.08,1.94,Engineering,Very Good,Good,0.0,0.0,0.0
Julie Breisch,Caucasian,female,1.0,USA,28.0,94038,5,2.99,0.31,7.0,3.12,13.42,0.0,57.0,3.0,0.42,1.44,-2.73,-3.23,3.1,Engineering,Very Good,Good,1.0,0.0,0.0
Mary Schrunk,Caucasian,female,1.0,USA,27.0,94070,5,3.8,0.67,5.5,4.01,15.75,0.0,27.0,3.0,0.07,0.08,-2.35,-1.15,5.67,Engineering,Ok,Good,1.0,0.0,0.0
Kaitlyn Hughes,Caucasian,female,2.0,USA,28.0,94618,5,3.5,0.53,6.5,3.86,15.129999999999999,0.0,51.0,3.0,0.0,2.12,0.12,0.42,7.7,Quantitative,Very Good,Good,1.0,1.0,0.0
Thomas Sanchez,African-American,male,1.0,USA,31.0,94131,5,3.7,0.67,7.5,4.74,17.75,0.0,44.0,2.0,-0.83,1.21,-0.92,-0.1,7.0,Engineering,Ok,Good,1.0,0.0,0.0
Gregory Loo,Caucasian,male,2.0,USA,30.0,94043,5,2.78,0.49,9.5,4.08,15.68,0.0,5.0,0.5,-2.12,1.54,-0.78,-0.28,6.74,Engineering,Ok,Good,1.0,0.0,0.0
Katherine Reed,African-American,female,0.0,USA,39.0,94114,5,3.09,0.51,10.5,3.71,13.59,3.0,47.0,4.5,1.65,3.82,3.39,3.0,10.65,Engineering,Very Good,Good,0.0,0.0,0.0
David Brown,Caucasian,male,2.0,USA,33.0,94603,5,1.9,0.39,9.5,3.07,12.64,0.0,40.0,6.0,2.86,0.0,-3.77,-4.36,1.27,Sciences,None,Good,0.0,0.0,0.0
Theresa Windish,Other,female,1.0,USA,27.0,94545,5,3.12,0.27,5.5,3.22,14.11,0.0,37.0,0.0,-4.11,1.58,-0.39,-0.74,5.96,Engineering,Very Good,Good,1.0,0.0,0.0
Jason Moore,Caucasian,male,2.0,USA,35.0,94578,5,4.58,0.78,8.0,5.81,20.66,3.5,39.0,5.5,2.41,0.58,-2.46,-2.61,3.64,Engineering,Very Good,Bad,1.0,0.0,0.0
Paul White,Asian,male,1.0,USA,29.0,94509,5,2.14,0.67,6.0,3.87,15.76,0.0,71.0,0.5,-1.96,2.1,0.02,0.73,8.01,Engineering,Ok,Good,1.0,0.0,0.0
Christine Moore,African-American,female,2.0,USA,30.0,94109,5,2.8,0.65,6.0,3.59,14.46,0.5,48.0,0.0,-2.67,2.84,1.38,2.12,9.83,Engineering,Very Good,Good,1.0,0.0,0.0
Doris Maldonado,Caucasian,female,1.0,USA,25.0,94087,5,3.16,0.39,4.0,3.38,14.719999999999999,0.0,12.0,8.0,3.87,2.18,-0.12,-0.43,6.4,Engineering,Very Good,Good,1.0,0.0,0.0
Julie Peck,Caucasian,female,2.0,USA,30.0,94941,5,3.19,0.27,7.0,4.03,16.72,0.0,75.0,0.0,-3.23,1.79,-0.16,-0.87,5.65,Humanities,Very Good,Good,1.0,0.0,0.0
Niki Budd,Hispanic,female,2.0,USA,28.0,94973,5,3.1,0.73,4.0,3.1,12.870000000000001,0.0,87.0,2.5,-0.21,2.67,2.21,2.57,10.18,Quantitative,Very Good,Good,0.0,0.0,0.0
