,Unnamed: 0,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,scores
296,296,Gloria Hahn,0.96739085875,0.34,0.0,0.5,0.0,0.9,3.0,0.7008344616000001,0,1,24,United States,1.4,Engineering,0.3,Club/Intramural,0,0,0.0,0.5,0.0,2.56822532035
46,46,Lisa Shaner,0.77537980575,0.145,1.2,0.5,0.0,0.0,4.0,0.5881028304,3,1,29,Mexico,0.7,Engineering,0.6,None,0,0,0.2,0.5,0.75,2.56348263615
9,9,Anthony Ortiz,0.87160349625,0.355,0.6,0.5,0.0,0.9,1.0,0.18567779280000002,4,0,30,United States,0.7,Quantitative,0.9,None,0,0,0.2,0.5,1.5,2.55728128905
72,72,Michael Cohen,0.7783287605,0.33,1.2,0.75,0.0,0.0,3.0,0.5718232656000001,2,0,27,United States,1.4,Quantitative,0.9,Club/Intramural,0,0,0.0,0.5,0.75,2.5501520261
142,142,Christopher Frilling,0.7415701334999999,0.09,0.6,0.5,0.0,0.9,2.0,0.3064756544,1,0,23,United States,0.7,Quantitative,0.3,None,0,0,0.2,0.5,0.0,2.5480457879
19,19,Robin Golden,0.90594001475,0.23,0.6,0.5,0.0,0.9,4.0,0.13627457680000002,4,1,24,Australia,0.7,Engineering,0.6,Club/Intramural,0,0,0.4,0.5,0.75,2.54221459155
398,398,Thomas Fonseca,0.781849096,0.235,1.2,0.5,0.0,0.0,3.0,0.554970684,0,0,27,United States,1.4,Humanities,0.3,Club/Intramural,0,0,0.2,0.5,0.0,2.53681978
216,216,Rosemarie Baker,0.9084003752500001,0.42,1.2,0.75,0.0,0.0,3.0,0.41932922000000006,0,1,23,Canada,1.4,Humanities,0.6,Club/Intramural,0,0,0.2,0.5,1.5,2.5277295952500003
354,354,Inez Mason,0.84129774025,0.29,1.2,0.0,0.0,0.0,6.0,0.48235898800000004,0,1,22,United States,0.7,Sciences,0.9,Club/Intramural,0,0,0.2,0.5,0.75,2.5236567282499998
313,313,Kurt Deoliveira,0.7246212725,0.325,1.2,0.5,0.0,0.0,2.0,0.594249616,0,0,31,United States,0.7,Engineering,0.6,None,0,0,0.4,0.5,0.75,2.5188708885
286,286,Vern Peterson,0.7977282532500001,0.35,1.2,0.5,0.0,0.0,0.0,0.5121725032,0,0,22,United States,0.7,Engineering,0.6,None,0,0,0.2,0.5,0.75,2.50990075645
151,151,Roxanna Lewis,0.72551383525,0.475,1.2,0.5,0.0,0.0,2.0,0.5838275216000001,0,1,28,United States,0.7,Engineering,0.3,None,0,0,0.2,0.5,0.0,2.5093413568500003
377,377,George Kinard,0.8605962765,0.26,1.2,0.25,0.0,0.0,4.0,0.44744203760000006,0,0,26,United States,0.0,None,0.0,None,-2,-1,0.2,0.5,0.75,2.5080383141
147,147,Melissa Lymon,0.7004018084999999,-0.015,1.2,0.75,0.0,0.0,2.0,0.6030508600000001,1,1,25,China,0.7,Humanities,0.3,None,0,0,0.0,0.5,1.5,2.5034526684999996
169,169,Donald Stanford,0.8563442977500001,0.475,1.2,0.5,0.0,0.0,4.0,0.4466161424,0,0,29,United States,0.7,Sciences,0.6,Club/Intramural,0,0,0.4,0.5,0.75,2.50296044015
176,176,Michael Utecht,1.03233400425,0.475,0.0,0.75,0.8,0.0,2.0,0.6619010016,0,0,28,United States,1.4,Sciences,0.9,None,0,0,0.2,0.5,0.75,2.4942350058500002
464,464,Renea Rankin,0.79374552125,0.095,1.2,0.75,0.0,0.0,5.0,0.49839653200000006,0,1,23,Canada,0.7,Quantitative,0.6,Club/Intramural,0,0,0.4,0.5,0.0,2.4921420532500003
119,119,Joe West,0.7187105570000001,0.085,0.6,0.75,0.8,0.0,5.0,0.36658743680000005,1,0,22,United States,1.4,Humanities,0.9,Club/Intramural,0,0,0.4,0.5,1.5,2.4852979938
337,337,Donald Heflin,0.95869178675,0.305,1.2,0.0,0.0,0.0,1.0,0.3170613464,0,0,24,United States,0.7,Engineering,0.6,NCAA/Professional,0,0,0.0,0.5,0.0,2.47575313315
135,135,Sherry Charpentier,0.83686057925,0.175,0.6,0.75,0.0,0.9,5.0,0.1375354128,1,1,31,United States,0.7,Quantitative,0.9,None,0,0,0.4,0.5,1.5,2.47439599205
403,403,Donna Vermillion,0.80854774175,0.23,0.6,1.0,0.8,0.0,4.0,0.26206664960000003,0,1,33,United States,0.7,Sciences,0.6,None,0,0,0.2,0.5,0.75,2.4706143913500003
177,177,William Billy,0.62456138975,0.475,1.2,0.75,0.0,0.0,4.0,0.6421232136000001,0,0,26,United States,0.7,Quantitative,0.6,None,0,0,0.2,0.5,0.75,2.46668460335
475,475,Samuel Coleman,0.72739715175,0.06,1.2,0.75,0.0,0.0,5.0,0.5384477160000001,0,0,32,United States,0.0,None,0.0,None,0,0,0.4,0.5,0.75,2.46584486775
371,371,Marshall Johnson,0.667179993,0.265,1.2,0.5,0.0,0.0,5.0,0.5960183176,0,0,28,United States,1.4,Engineering,0.6,None,0,0,0.2,0.5,0.75,2.4631983106
27,27,Howard Penland,0.9151539317499999,0.185,1.2,1.0,0.0,0.0,4.0,0.3405393432,3,0,29,United States,0.7,Sciences,0.6,Club/Intramural,0,0,0.2,0.5,0.75,2.45569327495
299,299,Janet Wisman,1.0176360070000001,0.335,1.2,0.75,0.0,0.0,0.0,0.22690338880000002,0,1,25,United States,0.7,Engineering,0.6,Club/Intramural,0,0,0.2,0.5,0.75,2.4445393958
146,146,Jared Rosales,0.7020738059999999,-0.01,0.6,0.0,0.8,0.0,2.0,0.34052915280000007,1,0,27,United States,0.7,Engineering,0.6,Club/Intramural,0,0,0.0,0.5,0.75,2.4426029588
13,13,Emery Whittemore,0.75348859675,0.275,1.2,0.5,0.0,0.0,3.0,0.4881992112,4,0,30,China,0.7,Quantitative,0.6,None,0,0,0.4,0.5,0.0,2.44168780795
117,117,William Storms,0.560280086,0.385,0.6,0.75,0.8,0.0,2.0,0.4810942264,1,0,28,United States,1.4,Sciences,0.3,None,-2,-1,0.4,0.5,1.5,2.4413743124
392,392,James Rotella,0.88300509075,0.24,1.2,0.75,0.0,0.0,1.0,0.3575084104,0,0,24,United States,0.7,Humanities,0.9,Club/Intramural,0,0,0.0,0.5,1.5,2.44051350115
235,235,Francis Walker,0.819981759,0.405,0.6,0.5,0.8,0.0,2.0,0.2102882216,0,0,31,United States,0.7,Sciences,0.6,Club/Intramural,-2,-1,0.2,0.5,0.0,2.4302699806
62,62,Kenneth Quinn,0.87447959375,0.39,1.2,1.0,0.0,0.0,4.0,0.35126003680000006,2,0,21,United States,0.7,Humanities,0.6,None,0,0,0.4,0.5,0.0,2.42573963055
109,109,Martin Applin,0.93288596925,0.11,1.2,0.5,0.0,0.0,4.0,0.2903381304,1,0,26,United States,1.4,Humanities,0.3,Club/Intramural,0,0,0.2,0.5,0.75,2.4232240996499996
64,64,Jose Swinney,0.6761329502500001,0.385,0.6,0.5,0.8,0.0,3.0,0.3424126368,2,0,32,United States,0.7,Sciences,0.3,NCAA/Professional,0,0,0.2,0.5,0.75,2.41854558705
368,368,George Conner,0.82709888925,0.27,1.2,1.0,0.0,0.0,4.0,0.39025242400000004,0,0,28,United States,0.7,Quantitative,0.3,NCAA/Professional,0,0,0.0,0.5,0.75,2.41735131325
