Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Sex,Age,Education,Educational Prestige,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,origin_Australia,origin_Canada,origin_China,origin_India,origin_Mexico,origin_United States,degree_Engineering,degree_Humanities,degree_None,degree_Quantitative,degree_Sciences,sport_Club/Intramural,sport_NCAA/Professional,sport_None,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Other,Job Tenure,Military Tenure,Employee Referrals,Arrest Record,Performance
Alice Presnall,4.413661432,37.5694804,2,3.446663226,5.430875998,0,7.445987084,1.927530129,1,35,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2.127858866,1.65935337,0,0,2
Raymond Small,4.413402,55.83914428,2,2.054911581,4.708085779,0,6.068459888,1.16544317,0,23,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0.938252689,0.96814543,1,0,2
Ruth Iannone,4.410108985,25.72959081,0,3.52685413,4.583804967,0,5.865682634,0.898417141,1,30,1,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,3.487036217,2.285718284,0,0,2
Rick Fish,4.406589792,22.77191075,0,1.931686116,5.019067961,0,7.206730285,0.905242803,0,29,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3.912546837,2.380890927,0,0,2
Joseph Gibbons,4.392448277,40.1651943,0,2.219728553,4.39763595,0,7.813130671,1.101022493,0,25,1,2,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2.40940488,1.575201739,1,0,2
Clair Grammer,4.390451699,8.117042801,1,2.860086454,3.533751046,0,0.477421898,0.252646514,1,32,1,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4.189366322,2.515016027,0,0,2
Gail Cruz,4.383316534,6.635463769,2,0.69717282,3.636621043,0,3.655564862,0.058784272,1,25,2,2,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,5.158430788,3.006448633,1,0,2
Sarah Cowen,4.367441675,54.64993459,1,1.801790703,4.788823038,0,8.407643446,2.08765444,1,30,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1.111014741,0.973004658,0,0,2
Patricia Cornely,4.359207878,11.54376207,2,1.27763282,4.666809868,0,8.837624795,0.901413265,1,29,2,1,0,0,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,4.534158048,2.951711583,1,1,2
Dennis Conway,4.354007811,42.18755336,0,2.440591711,5.335538952,0,10.84054609,0.520508401,0,26,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2.031089702,1.770482939,1,0,2
Christopher Abshire,4.350260118,7.572697791,2,4.280425303,5.156593762,0,11.12508911,1.526838221,0,24,1,2,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4.808825846,2.961643924,0,0,2
Maria Stickley,4.329193178,10.95134602,2,2.019897296,3.916681282,0,3.724479732,0.505517778,1,28,2,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,4.833100987,3.09464402,1,0,2
Mark Melo,4.3285557,43.80198314,2,2.502389375,4.408922725,0,6.506443386,0.615576174,0,28,2,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2.329608594,1.675405944,1,0,2
Roger Carson,4.31448638,10,0,1.898995446,3.136691051,0,4.308262923,-0.382142533,0,23,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,5.721206076,3.19705569,0,0,-1
Marcel Harris,4.308138229,11.72488701,2,2.948537003,4.662017106,0,7.606176516,0.678203506,0,25,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,5.010553981,3.061259543,0,0,2
Jay Wiggin,4.303876766,56.8745435,2,1.948678658,4.102484902,0,7.232582928,0.453825238,0,31,2,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.271222779,0.660891283,0,0,2
Nancy Hidvegi,4.300114322,47.1588471,2,4.144205758,5.349711073,0,7.10585912,1.439731509,1,30,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1.263314463,1.137905475,1,0,2
Daniel Smith,4.296027267,50.33531875,0,3.097036807,3.535990253,0,5.477860533,0.238227523,0,23,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.490035498,0.980412498,0,0,1
Tyler Melton,4.283206477,33.28179716,1,3.071805142,4.808090882,0,7.445001681,1.43265991,0,28,2,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2.682523028,1.926926503,1,0,2
Oscar Morgan,4.281678086,57.44969092,1,1.818956677,3.865491209,0,4.322737034,-0.321659776,0,30,1,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0618686,0.957679365,1,0,2
Kenneth Chapman,4.28028254,45.31371578,0,3.859367499,5.379686321,0,8.911016799,1.42129311,0,33,1,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2.023791209,1.434468375,1,0,2
Kayla Kattner,4.278993236,50.37350662,2,1.943918103,4.224300094,0,7.326123738,0.254627181,1,25,1,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.374324234,1.121373622,1,0,2
Dora Padilla,4.274228246,25.75713873,1,1.439426726,3.798449515,0,4.384882364,0.127754769,1,24,1,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,3.557701426,2.332030377,1,1,2
Carlos Linsley,4.264488268,15.01183606,0,2.952403743,3.61832528,0,0.801763371,-0.508022438,0,33,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,4.269931148,2.75897723,0,0,0
Cassandra Prior,4.258320331,56.50997998,1,1.512732388,4.112371468,0,4.56589798,0.841467628,1,24,1,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0.845067409,1.033341062,0,1,2
Arthur Long,4.257624104,10,1,2.222612742,4.985281914,0,10.67248675,0.576958288,0,23,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,5.819120061,3.383049413,0,0,2
Aaron Gonzales,4.255455788,22.45337428,1,3.56630683,5.386315366,0,6.833474253,1.054806881,0,22,1,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,3.671196986,2.101692853,0,0,2
Ricky Bell,4.239084877,30.97343,2,1.296080858,3.794335401,0,4.18565178,0.947823092,0,23,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2.473291815,1.758610494,0,0,2
Terri Vanzandt,4.237037262,1.709943458,0,1.412017557,4.073744014,0,5.583242315,-0.274022069,1,28,2,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5.921570486,3.463514876,1,0,2
Annie Meddaugh,4.231146816,22.85118038,0,3.771990546,5.510250346,0,7.321319746,0.617444507,1,27,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,3.18574684,2.254973423,0,0,2
Kathleen Parker,4.230966027,10,1,1.801668256,4.288842692,0,7.176257633,1.114325737,1,28,1,1,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,5.768068371,3.159988768,1,0,2
John Grantham,4.221022369,13.43162497,0,1.675215177,3.504507672,0,5.349221008,-0.695490757,0,27,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,3.614889785,2.438425886,0,0,1
Richard Omalley,4.219359632,30.14037223,2,1.431482675,4.449346518,0,8.202144915,0.858818233,0,22,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2.924834133,2.284474313,1,1,2
Joe Dafonte,4.217844888,33.82446455,2,2.024863497,4.975209198,0,9.902639842,1.243821674,0,26,1,1,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2.938179989,1.924101468,1,0,2
Delbert Mendez,4.215493844,18.03566998,0,1.775881341,3.550609296,0,4.134921026,-0.728339131,0,24,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,3.82531125,2.382444378,0,0,-1
Edmund Anguiano,4.210410671,28.47564733,2,1.723309456,4.417051215,0,5.935372763,0.86458606,0,29,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,3.401133217,2.147740358,0,1,2
Benjamin Rice,4.203437213,15.75250948,0,2.541121223,4.349978718,0,4.189397214,-0.377643462,0,25,2,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,4.267772198,2.771234302,0,0,2
Alexis Baldwin,4.200320035,69.83670521,2,1.812083666,4.688902491,0,6.317348029,0.216474314,0,30,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0.063328395,0.614375887,1,0,2
Ronald Park,4.198871916,24.38159652,1,1.829914363,5.090387802,0,9.465985268,0.845971711,0,25,1,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3.966559451,2.384066434,0,0,2
Anna Almeida,4.197561788,10,1,2.488821946,2.866251386,0,0.398376629,-1.394435396,1,24,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,6.282838212,3.568875292,0,1,-2
Peter Seto,4.191430431,29.59216784,2,1.862994026,4.338425893,0,8.209318221,0.58593038,0,24,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3.069630058,2.186204428,1,0,2
Michael Copher,4.185620105,22.98089673,1,3.931119993,4.848259616,0,4.890551675,-0.758742276,0,21,2,3,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,3.360029429,2.053903782,0,0,2
Sharon Hall,4.181629144,10,2,2.491295444,4.730328129,0,8.02579526,0.229435956,1,26,2,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,5.310206507,3.173288249,1,0,2
Leo Teran,4.177362167,20.49328032,1,1.852142506,4.208691088,0,6.81001242,-0.252213623,0,26,1,2,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4.026641794,2.626240644,1,0,2
Steven Kirkland,4.176668359,76.55640848,2,2.260563222,4.682255412,0,4.968634692,1.109692644,0,22,2,3,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2
Eugene Haywood,4.174761299,24.27276057,0,1.987335857,3.76734493,0,3.515724782,0.088061655,0,25,1,0,0,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,3.163206739,2.091297824,0,0,2
Richard Carr,4.174560128,40.23242738,2,2.706780476,4.36999359,0,3.981359537,0.166015581,0,38,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2.187359922,1.617553626,1,0,2
Gordon Wilkerson,4.173388156,49.54592868,1,0.960556868,4.141117387,0,9.316686974,1.12107851,0,23,1,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1.651459465,1.40219363,0,0,2
Walter Steele,4.164831707,33.55982276,0,1.345509233,4.25666726,0,3.141821715,-0.537321262,0,34,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3.003236159,1.980313829,1,0,2
Stacy White,4.160498779,6.734393633,0,3.745512713,3.762666904,0,5.7407766,0.29590651,1,29,1,1,1,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4.678782546,2.943979656,0,0,2
John Morse,4.159415385,24.00727605,0,1.720551822,3.414788499,0,2.70164614,-1.218791472,0,29,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2.632115403,1.82182481,0,0,-1
Liza Morton,4.15864551,18.09991129,2,3.07025728,5.055369568,0,5.397449505,0.751974384,1,32,1,1,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,4.308015248,2.712204202,1,0,2
Jeffery Samson,4.151304381,16.05918619,0,3.086462158,5.821642064,0,8.50114711,1.763471337,0,21,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4.371544927,2.828108843,1,1,2
Barbra Arnett,4.15080474,34.59412736,2,3.656623296,4.90751913,0,7.020332604,-1.06316307,1,26,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2.111515365,1.655589908,0,0,2
Michele Mendoza,4.149391595,46.40004399,1,1.735557354,3.427801498,0,2.302522748,-0.277432627,1,30,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1.117520392,0.925702682,0,0,-1
Dorothy Chavez,4.1487096,42.19759845,0,1.708530285,4.454056396,0,7.525042753,0.702228965,1,29,1,2,0,0,2,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2.314848989,1.674168361,1,0,2
Floyd Rae,4.147728331,27.32991895,2,1.33796354,3.840043485,0,6.077906842,-0.283775831,0,27,2,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2.735700323,1.974122396,1,0,2
Wm Denning,4.145509812,10,2,2.104547856,4.775637516,0,8.107952467,0.981541023,0,22,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,6.062238583,3.701399797,1,0,2
Robert Carter,4.144354668,10,2,3.699723568,4.743992269,0,6.364674806,1.068046321,0,21,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,5.913702693,3.230881816,1,0,2
Kenneth Carter,4.142962197,38.93725349,0,2.99144494,4.480494105,0,5.115252536,0.082374024,0,26,1,0,0,0,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2.227153475,1.664309896,0,0,2
Tiffani Merriam,4.141822763,32.14115023,0,2.602309065,4.068002053,0,3.533816547,-1.026422373,1,25,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3.258346618,1.952438406,0,0,2
Sana Schlagel,4.141027251,31.44056021,0,3.336087328,4.775234424,0,5.389804197,0.480353299,1,29,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2.540905004,1.363919092,0,0,2
Steven Dupas,4.130021136,15.044927,0,1.816569358,3.70260159,0,1.538194626,-0.347937249,0,27,1,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,4.169593789,2.362517791,0,0,2
Ray Miller,4.128535786,0.268494745,2,1.387815004,4.333002462,0,8.255869046,0.978829532,0,22,1,2,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,5.549614174,3.065134531,1,1,2
Fredrick Whalen,4.128161942,12.92656358,0,2.455111084,3.584472262,0,2.076013094,0.337653226,0,32,2,1,0,0,2,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4.353883571,2.285535829,1,0,2
Andrew Mcgwin,4.125933482,10,0,1.176343696,3.5609939,0,5.293975133,-0.546245233,0,35,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,6.358345365,3.52849126,0,1,0
Cheryl Shellhammer,4.122968465,37.37795648,0,2.108011195,4.301734654,0,4.02246887,0.89106723,1,24,1,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2.274127871,1.880954779,0,0,2
Cory Connolly,4.121154342,54.81620714,2,3.680461204,5.382077526,0,6.413707205,0.962783141,0,35,1,1,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1.162892007,0.924299742,1,0,2
John Hernandez,4.120606383,56.6187095,2,3.028063441,5.084216167,0,7.621755218,1.118828607,0,26,2,1,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.803987925,1.032437149,1,0,2
Nichole Miller,4.113545509,9.136445823,0,2.284559779,3.291110035,0,0.868765673,-1.142965117,1,26,1,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4.934118584,2.852243862,0,0,-2
Jeremy Greene,4.108809233,15.32253777,0,2.611023739,4.246987416,0,5.989351805,0.475438211,0,28,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4.551935321,2.949025381,0,0,2
Janet Downard,4.108684814,41.52571413,1,2.559490221,3.545973645,0,0.789589428,0.076081699,1,27,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1.881190001,1.555725199,1,0,2
Marcia Smith,4.108497616,45.74923634,0,1.739336131,3.035990622,0,-0.609118621,-0.06780925,1,27,2,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1.522381163,1.267491377,0,0,1
Tarra Garcia,4.107503851,46.0446156,2,0.693188183,3.517679486,0,3.599942843,0.158385295,1,28,2,2,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1.439400825,0.950635541,1,0,2
George Hanley,4.106239447,35.71017354,0,2.052884172,3.225788048,1,5.302936565,0.292110207,0,31,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2.676820215,1.626551823,0,0,-1
Marilyn Moyers,4.106023795,63.03379924,0,3.201024855,4.436986538,0,4.874960046,0.268528149,1,35,1,1,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0.434887128,0.956274446,1,0,2
Karren Menard,4.102130723,65.15050614,2,0.587546855,3.766646944,0,7.350056137,0.391944425,1,23,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.315703988,1,0,2
Betty Gordan,4.101281384,43.44316982,1,0.890475436,4.443245425,0,8.295656593,1.019195713,1,26,1,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1.263951894,1.007016723,1,0,2
Dee Sloan,4.101036679,38.34093421,0,1.153359672,4.089420229,0,6.752585754,1.267915355,1,23,2,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2.30734973,1.693771455,1,0,2
Miranda Moses,4.098819345,23.39931272,0,2.160955155,4.217559103,0,6.70335778,0.930796201,1,27,1,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,4.108039525,2.577571888,0,0,2
Kevin Dunn,4.094770496,14.7425624,2,2.200938354,3.912332054,0,5.218097176,-0.211640419,0,28,1,3,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,4.4479573,2.831894569,0,0,2
Patrick Epstein,4.091356584,61.76950652,0,2.348007166,3.77813017,0,4.290939437,0.5087808,0,23,1,1,0,1,2,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0.245818196,0.751114691,0,0,2
John Gate,4.09121612,10,2,2.694199189,4.823226514,0,7.907235913,0.532358605,0,23,2,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,5.813507985,3.413569654,1,0,2
Earl Granado,4.091080997,29.640219,0,2.424987246,3.998539978,0,5.907850646,-0.776198066,0,21,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3.394434619,2.055460463,0,0,0
Michael Taylor,4.090414615,61.00861709,2,2.743849445,4.548502161,0,6.594418723,0.036033752,0,33,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.400108833,0.633849222,0,0,2
Donald Ward,4.08859527,52.62600755,2,2.691628453,4.377728078,0,5.183325762,-0.292483788,0,23,2,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1.739053561,1.288212088,0,0,2
Shirley Schreiber,4.085990099,20.13769272,0,2.69243136,3.777743374,0,4.884790184,-0.494585766,1,32,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,3.825461717,2.247757338,0,0,1
Robert Adams,4.085975148,51.99703141,0,2.804314891,3.594834508,0,4.413458326,0.576587467,0,26,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1.139109694,0.954921649,0,0,2
Kevin Wooden,4.084968076,63.73346398,2,1.818796061,3.784800085,0,8.289876955,1.208338774,0,22,1,3,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.095936991,0.612656173,1,0,2
Edna Smith,4.07963571,31.99465805,1,0.464516353,4.037196155,0,6.099427154,0.386230242,1,27,2,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2.365324183,1.720528621,1,0,2
Bryant Chapin,4.078877341,72.19358459,0,2.512877215,4.112420623,0,3.401203297,-1.004544217,0,24,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Terry Whitman,4.073644527,8.660838831,0,2.288997665,3.682251536,0,2.623540707,-1.344444709,0,32,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,4.820904871,2.771889582,0,0,0
Eugenia Reeves,4.072774229,38.75387794,2,2.509792431,4.085489088,0,4.621523593,-0.242323471,1,26,2,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2.496904413,1.578155426,1,0,2
Cathy Rothrock,4.067858765,7.578372192,1,1.940737894,4.591292222,0,6.194777227,-0.508799319,1,25,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4.624700103,2.897441371,1,0,2
Mark Pilkington,4.067497961,14.25594174,0,1.936321657,3.991823623,0,6.162574012,0.859956699,0,23,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,4.186201293,2.883888164,0,0,2
Barbara Harder,4.066337214,10,0,3.505628826,4.752457353,0,10.39942327,1.986297008,1,36,2,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,7.031907676,4.040859924,1,0,2
Johnie Reese,4.064956447,66.62378139,1,1.530515201,3.825757223,0,4.089675249,-0.523131158,0,29,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.105619006,1,0,2
Joy Davidson,4.063390867,73.88268679,1,1.916261541,3.97165969,0,4.894506703,0.130821359,1,39,1,3,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,2
James Jones,4.060264453,16.87641349,2,2.914636378,3.933075349,0,5.295232223,0.341976437,0,30,2,1,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,3.789925605,2.404797716,1,0,2
John Hill,4.060069099,13.41070855,2,3.971846921,5.331076126,0,10.10883651,1.491759562,0,21,1,2,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4.354386036,2.714374721,1,0,2
