,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,scores
364,William Storms,2.241120344,0.12,0.1,0.07500000000000001,0.1,0,2,0.6013677829999999,1,0,28,United States,2,Sciences,0.3333333333333333,None,1,1,1.0,1,1.0,1.876367783
464,Justin Collins,3.8119040930000003,1.9,0.0,0.07500000000000001,0.0,0,4,0.7724194740000001,0,0,22,China,1,Sciences,0.3333333333333333,None,0,0,0.0,1,1.0,1.847419474
266,William Pawlowski,2.549545689,1.24,0.0,0.07500000000000001,0.0,0,3,0.7619231590000001,0,0,22,United States,2,Sciences,0.6666666666666666,None,0,0,1.0,1,1.0,1.836923159
350,Eula Farris,3.774724426,1.5,0.0,0.0,0.0,0,5,0.8285506979999999,0,1,23,United States,1,Quantitative,1.0,Club/Intramural,0,0,0.0,1,1.0,1.828550698
411,Emmanuel Harper,4.128482774,1.66,0.2,0.1,0.0,1,3,0.524771408,0,0,27,United States,1,Sciences,0.3333333333333333,Club/Intramural,0,0,1.0,1,1.0,1.8247714080000002
249,Melinda Hodges,3.98066456,1.2,0.2,0.1,0.1,1,3,0.922883377,0,1,29,United States,2,Humanities,0.6666666666666666,None,0,0,1.0,1,0.5,1.8228833770000001
416,Don Mcfolley,3.4519364,1.66,0.1,0.1,0.0,0,3,0.622092364,0,0,36,United States,1,Humanities,1.0,None,0,0,0.5,1,1.0,1.822092364
262,Brian Vitale,4.042662166,1.24,0.2,0.05,0.1,1,3,0.47165783299999997,0,0,24,United States,1,Engineering,1.0,None,1,1,0.5,1,1.0,1.8216578330000002
257,Maureen Tompkins,3.704080872,1.22,0.1,0.05,0.0,0,4,0.6671821370000001,0,1,27,United States,1,Humanities,0.6666666666666666,NCAA/Professional,0,0,0.5,1,1.0,1.817182137
447,Pauline Judd,3.255424291,1.76,0.0,0.025,0.0,0,1,0.7824331529999999,0,1,23,United States,1,Sciences,0.3333333333333333,None,0,0,0.0,1,1.0,1.8074331529999998
135,Linda Kramer,2.657203468,0.78,0.0,0.025,0.0,0,2,0.780176654,0,1,24,United States,1,Quantitative,0.3333333333333333,Club/Intramural,0,0,1.0,1,1.0,1.8051766539999998
500,Jesica Pastian,2.512499043,1.9,0.1,0.05,0.0,0,5,0.650265103,0,1,31,United States,0,None,0.0,None,0,0,0.5,1,1.0,1.8002651029999999
419,Rosemarie Baker,3.6336015010000002,1.68,0.2,0.07500000000000001,0.0,0,3,0.524161525,0,1,23,Canada,2,Humanities,0.6666666666666666,Club/Intramural,0,0,0.5,1,1.0,1.799161525
353,Edward Mcgee,3.08490426,1.5,0.1,0.1,0.0,0,4,0.598998729,2,0,34,United States,0,None,0.0,None,1,1,0.5,1,1.0,1.798998729
272,Fidel Omoyosi,3.1948677739999995,1.26,0.0,0.0,0.0,0,2,0.798493036,0,0,24,United States,1,Humanities,1.0,NCAA/Professional,0,0,0.5,1,1.0,1.798493036
358,Carissa Schmidt,2.8282657860000002,1.52,0.0,0.05,0.0,1,6,0.745267687,0,1,24,United States,1,Humanities,0.6666666666666666,None,0,0,1.0,1,1.0,1.795267687
228,Keneth Moran,3.455666753,1.12,0.1,0.1,0.0,0,5,0.5888997579999999,0,0,21,Mexico,2,Quantitative,0.6666666666666666,None,0,0,0.0,1,1.0,1.788899758
480,Larry Pompey,3.1184357819999997,1.9,0.1,0.05,0.0,1,1,0.632590808,3,0,28,United States,1,Sciences,0.3333333333333333,NCAA/Professional,0,0,0.5,1,1.0,1.782590808
96,Craig Martinez,3.575478344,0.56,0.1,0.05,0.0,0,3,0.620635216,2,0,28,India,1,Quantitative,0.3333333333333333,None,0,0,0.0,1,1.0,1.770635216
81,Randall Phillips,3.188070769,0.48,0.1,0.07500000000000001,0.0,0,3,0.5773265879999999,0,0,35,United States,1,Sciences,0.6666666666666666,None,0,0,0.5,1,1.0,1.7523265879999999
450,Andrea Robles,4.238973784,1.8,0.2,0.1,0.1,1,3,0.8520081340000001,3,1,29,United States,2,Quantitative,0.6666666666666666,None,0,0,1.0,1,0.5,1.752008134
478,Ralph Johnson,3.183111926,1.9,0.2,0.025,0.0,0,2,0.515808169,0,0,26,United States,1,Sciences,0.3333333333333333,None,0,0,0.5,1,1.0,1.7408081690000001
185,Paul Adams,3.2411621569999998,0.96,0.2,0.0,0.1,0,2,0.440363925,4,0,29,United States,2,Quantitative,0.6666666666666666,Club/Intramural,1,1,0.0,1,1.0,1.740363925
283,Thomas Hazel,3.064213483,1.3,0.0,0.025,0.0,0,3,0.701115467,0,0,23,United States,0,None,0.0,None,0,0,0.5,1,1.0,1.726115467
367,Lance Olson,2.280610186,1.54,0.0,0.07500000000000001,0.1,0,4,0.548514615,0,0,22,United States,1,Sciences,0.6666666666666666,None,0,0,0.5,1,1.0,1.723514615
181,James Rotella,3.532020363,0.96,0.2,0.07500000000000001,0.0,0,1,0.44688551299999996,0,0,24,United States,1,Humanities,1.0,Club/Intramural,0,0,0.0,1,1.0,1.721885513
402,Maurita Prestridge,3.1142314939999998,1.64,0.0,0.1,0.0,0,1,0.605801403,0,1,21,United States,2,Quantitative,0.3333333333333333,None,0,0,0.5,1,1.0,1.7058014030000002
498,Kenneth Delagarza,2.609052031,1.9,0.1,0.05,0.1,0,1,0.45194775200000004,0,0,25,United States,1,Quantitative,0.6666666666666666,None,0,0,1.0,1,1.0,1.7019477520000001
345,Robert Martin,3.311966003,1.48,0.0,0.025,0.0,0,3,0.6755882990000001,0,0,27,United States,1,Quantitative,0.3333333333333333,Club/Intramural,0,0,1.0,1,1.0,1.700588299
417,Paul Forbes,2.79314766,1.66,0.1,0.05,0.0,0,1,0.549548965,0,0,26,United States,2,Humanities,0.3333333333333333,None,1,1,0.5,1,1.0,1.699548965
90,James Lehnen,3.782248585,0.54,0.0,0.025,0.0,0,3,0.669678915,0,0,29,United States,1,Quantitative,0.3333333333333333,None,0,0,0.0,1,1.0,1.694678915
423,Charles Lewis,3.425423068,1.7,0.0,0.025,0.0,0,3,0.666920663,0,0,26,United States,1,Engineering,0.6666666666666666,None,0,0,0.5,1,1.0,1.6919206629999999
253,Roy Daniel,3.6496815739999997,1.2,0.1,0.07500000000000001,0.0,0,2,0.512921982,0,0,29,United States,1,Engineering,0.6666666666666666,NCAA/Professional,0,0,1.0,1,1.0,1.6879219820000002
130,Erin Mohammad,3.851303534,0.76,0.2,0.05,0.0,1,3,0.424772537,0,0,25,United States,1,Quantitative,1.0,None,0,0,1.0,1,1.0,1.674772537
118,Andrew Lee,3.0592112289999998,0.66,0.0,0.025,0.0,0,2,0.648296765,1,0,25,United States,1,Quantitative,0.3333333333333333,NCAA/Professional,1,1,0.5,1,1.0,1.673296765
472,Jacob Ensley,3.439949061,1.9,0.1,0.1,0.0,0,5,0.46982379799999996,4,0,29,United States,1,Quantitative,0.3333333333333333,None,0,0,0.5,1,1.0,1.669823798
184,Paul Caudill,3.163624265,0.96,0.1,0.05,0.0,0,4,0.519168796,0,0,29,United States,2,Humanities,0.3333333333333333,None,0,0,0.0,1,1.0,1.669168796
214,Mary Holding,3.6621945289999998,1.08,0.0,0.05,0.0,0,4,0.607999795,0,1,31,United States,1,Engineering,1.0,NCAA/Professional,0,0,0.0,1,1.0,1.657999795
376,Barbara Webb,3.247103715,1.58,0.0,0.07500000000000001,0.0,0,6,0.581868772,0,1,29,Canada,1,Humanities,0.6666666666666666,NCAA/Professional,0,0,0.0,1,1.0,1.656868772
134,Sylvester Turner,3.850462073,0.78,0.1,0.025,0.0,0,3,1.029528487,1,0,28,United States,1,Sciences,0.3333333333333333,None,1,1,0.5,1,0.5,1.654528487
194,Ulysses Copas,4.011710654,1.02,0.1,0.05,0.1,1,4,0.8974921090000001,0,0,28,China,1,Engineering,0.3333333333333333,None,0,0,0.0,1,0.5,1.647492109
408,Michael Dyer,3.679055563,1.66,0.0,0.025,0.0,0,2,0.619083073,0,0,36,United States,1,Engineering,0.6666666666666666,Club/Intramural,0,0,0.5,1,1.0,1.644083073
129,Roy Hoffman,3.2173590510000003,0.76,0.2,0.025,0.0,0,1,0.41605824700000005,0,0,22,United States,1,Humanities,0.6666666666666666,Club/Intramural,0,0,0.5,1,1.0,1.6410582470000001
244,Jason Mcmahan,2.7852132480000003,1.18,0.0,0.05,0.0,0,5,0.5870897620000001,0,0,23,United States,2,Engineering,0.3333333333333333,None,0,0,0.0,1,1.0,1.637089762
349,Frank James,2.8927075060000003,1.48,0.2,0.07500000000000001,0.0,0,1,0.34588200399999997,0,0,34,United States,1,Humanities,1.0,None,0,0,0.5,1,1.0,1.6208820039999998
382,Justin Brown,3.530645055,1.6,0.1,0.025,0.0,0,3,0.494630808,0,0,34,Canada,1,Quantitative,0.3333333333333333,None,0,1,0.5,1,1.0,1.619630808
481,Christopher Jordan,3.117019441,1.9,0.2,0.07500000000000001,0.0,0,3,0.8370931859999999,0,0,24,United States,1,Quantitative,0.6666666666666666,Club/Intramural,0,0,0.5,1,0.5,1.612093186
346,Valerie Denis,3.743264973,1.48,0.2,0.1,0.0,0,3,0.31184718300000003,0,1,35,China,2,Humanities,1.0,None,0,0,1.0,1,1.0,1.611847183
436,Robert Marks,2.866065915,1.74,0.2,0.05,0.0,0,4,0.358496196,0,0,24,Canada,1,Sciences,1.0,None,0,0,0.0,1,1.0,1.608496196
243,Gary Enochs,3.128147678,1.18,0.1,0.1,0.0,0,5,0.896835803,2,0,37,United States,1,Engineering,0.6666666666666666,None,0,0,0.0,1,0.5,1.5968358029999998
206,Ida Henry,3.458748297,1.06,0.0,0.05,0.0,0,1,0.544567528,1,1,29,United States,1,Engineering,0.3333333333333333,None,0,0,0.5,1,1.0,1.594567528
119,David Smith,4.087106366,0.66,0.2,0.1,0.1,1,5,0.690356573,1,0,23,United States,2,Humanities,0.3333333333333333,Club/Intramural,0,0,0.5,1,0.5,1.590356573
192,Bobbie Walker,3.116672121,1.0,0.0,0.07500000000000001,0.0,0,6,0.514913567,0,1,25,United States,1,Engineering,0.6666666666666666,None,0,0,1.0,1,1.0,1.589913567
305,June Isbell,3.5608326260000003,1.34,0.2,0.1,0.0,0,4,0.287548641,0,1,32,Mexico,1,Sciences,0.3333333333333333,None,0,0,1.0,1,1.0,1.5875486410000001
441,Lester Vassel,3.640745758,1.74,0.2,0.07500000000000001,0.0,0,2,0.809688715,0,0,27,China,2,Quantitative,0.3333333333333333,None,1,0,0.5,1,0.5,1.584688715
292,Adam Cohen,2.230773847,1.3,0.0,0.05,0.0,0,6,0.5325740379999999,0,0,29,United States,1,Quantitative,0.3333333333333333,None,1,0,0.5,1,1.0,1.582574038
236,Pamela Fletcher,3.109523237,1.16,0.0,0.07500000000000001,0.0,0,3,0.5053524770000001,0,1,35,United States,1,Sciences,0.6666666666666666,None,0,0,0.0,1,1.0,1.580352477
501,William Billy,2.498245559,1.9,0.2,0.07500000000000001,0.0,0,4,0.802654017,0,0,26,United States,1,Quantitative,0.6666666666666666,None,0,0,0.5,1,0.5,1.577654017
403,Jennifer Stewart,2.78112805,1.64,0.0,0.1,0.1,0,5,0.866141005,3,1,27,United States,1,Engineering,0.3333333333333333,None,0,0,0.5,1,0.5,1.566141005
86,Earnestine Marini,3.66545317,0.52,0.1,0.1,0.0,0,1,0.36187621,0,1,28,United States,1,Sciences,0.3333333333333333,None,1,0,0.0,1,1.0,1.5618762099999999
303,Betty Perez,2.785391277,1.34,0.1,0.07500000000000001,0.0,0,2,0.382985412,0,1,21,Australia,1,Quantitative,0.6666666666666666,None,0,0,1.0,1,1.0,1.557985412
499,Delphine Mcwhorter,2.589438405,1.9,0.1,0.025,0.0,0,2,0.432107332,0,1,31,United States,2,Engineering,0.6666666666666666,Club/Intramural,0,0,0.5,1,1.0,1.557107332
208,William Jones,3.120131493,1.06,0.0,0.07500000000000001,0.0,0,3,0.479190995,0,0,27,United States,1,Engineering,0.3333333333333333,None,1,0,0.5,1,1.0,1.554190995
357,Thomas Whitten,3.210628938,1.52,0.2,0.1,0.1,0,2,1.1455773759999999,0,0,25,United States,1,Humanities,0.6666666666666666,Club/Intramural,0,0,0.5,1,0.0,1.5455773759999998
188,David Lynch,3.335861343,0.98,0.0,0.05,0.0,0,3,0.4932669,0,0,24,United States,1,Quantitative,0.6666666666666666,None,0,0,0.0,1,1.0,1.5432669
476,Richard Runions,3.214932788,1.9,0.1,0.05,0.0,0,2,0.39121066200000004,0,0,37,United States,1,Sciences,1.0,None,0,0,0.5,1,1.0,1.541210662
375,Liliana Schwarz,3.397115365,1.58,0.0,0.07500000000000001,0.0,0,1,0.462331025,0,1,24,United States,2,Engineering,0.6666666666666666,Club/Intramural,0,0,0.5,1,1.0,1.5373310249999999
331,Sherri Swope,3.0993417489999997,1.42,0.2,0.0,0.0,0,1,0.334051175,0,1,26,United States,1,Engineering,0.3333333333333333,Club/Intramural,0,0,0.5,1,1.0,1.5340511749999999
215,Helen Adams,3.041709122,1.08,0.0,0.05,0.0,1,2,0.481003203,4,1,29,United States,1,Engineering,0.6666666666666666,None,0,0,0.0,1,1.0,1.531003203
128,Georgia Guzman,3.4796578830000002,0.76,0.0,0.0,0.0,0,3,0.528199062,0,1,31,United States,1,Sciences,0.3333333333333333,Club/Intramural,1,1,0.5,0,1.0,1.528199062
372,Bobby Thrift,3.4046459139999996,1.56,0.2,0.07500000000000001,0.0,0,0,0.250823429,0,0,26,United States,1,Humanities,0.6666666666666666,None,0,0,0.5,1,1.0,1.525823429
229,Kurt Barker,3.029807215,1.12,0.0,0.05,0.0,0,6,0.47505102200000004,0,0,29,United States,1,Engineering,0.6666666666666666,None,1,1,0.5,1,1.0,1.525051022
196,Michael Hester,3.5852554569999997,1.02,0.0,0.1,0.0,0,5,0.9210169570000001,0,0,23,United States,0,None,0.0,None,0,0,0.5,1,0.5,1.521016957
157,Vince Verrelli,2.0222771369999997,0.88,0.0,0.07500000000000001,0.0,0,3,0.43773506799999995,0,0,23,United States,1,Sciences,0.3333333333333333,None,0,0,0.5,1,1.0,1.512735068
281,Nickolas Velez,3.786158725,1.28,0.2,0.1,0.1,0,5,0.110190113,0,0,34,United States,2,Humanities,0.6666666666666666,None,0,0,1.0,1,1.0,1.5101901130000002
351,James Patton,3.556981197,1.5,0.0,0.07500000000000001,0.0,0,1,0.921564376,3,0,28,United States,1,Engineering,0.3333333333333333,None,0,0,0.5,1,0.5,1.4965643759999998
211,Marshall Johnson,2.668719972,1.06,0.2,0.05,0.0,0,5,0.745022897,0,0,28,United States,2,Engineering,0.6666666666666666,None,0,0,0.5,1,0.5,1.4950228970000001
286,Kurt Deoliveira,2.89848509,1.3,0.2,0.05,0.0,0,2,0.74281202,0,0,31,United States,1,Engineering,0.6666666666666666,None,0,0,1.0,1,0.5,1.4928120200000001
182,Donald Watson,2.912873453,0.96,0.0,0.025,0.0,0,3,0.966824204,2,0,25,India,1,Quantitative,0.6666666666666666,None,0,0,0.5,1,0.5,1.491824204
344,Maria Bevan,3.358934465,1.46,0.0,0.0,0.1,0,2,0.390323663,0,1,29,United States,1,Quantitative,0.6666666666666666,Club/Intramural,1,1,0.0,1,1.0,1.490323663
414,Erik Miller,2.584723835,1.66,0.2,0.05,0.0,0,1,0.239845712,0,0,23,United States,1,Humanities,0.6666666666666666,NCAA/Professional,0,0,0.5,1,1.0,1.489845712
297,Michael Cohen,3.113315042,1.32,0.2,0.07500000000000001,0.0,0,3,0.7147790820000001,2,0,27,United States,2,Quantitative,1.0,Club/Intramural,0,0,0.0,1,0.5,1.489779082
107,Harvey Hunter,3.2756138110000004,0.6,0.2,0.025,0.0,0,2,0.7588944320000001,0,0,32,United States,1,Quantitative,0.3333333333333333,None,0,0,0.5,1,0.5,1.483894432
489,Roxanna Lewis,2.902055341,1.9,0.2,0.05,0.0,0,2,0.729784402,0,1,28,United States,1,Engineering,0.3333333333333333,None,0,0,0.5,1,0.5,1.479784402
467,John Han,3.692789742,1.9,0.2,0.0,0.1,0,2,0.6764494040000001,0,0,27,United States,1,Engineering,0.3333333333333333,None,0,0,0.0,1,0.5,1.476449404
280,Shawna Jackson,3.1397897219999997,1.28,0.1,0.05,0.0,0,3,0.324063447,0,1,28,United States,1,Humanities,0.6666666666666666,None,0,0,0.5,1,1.0,1.4740634469999998
201,Rosa Anderson,3.547112293,1.04,0.1,0.025,0.0,0,3,0.348671035,3,1,29,United States,2,Humanities,0.6666666666666666,Club/Intramural,0,0,0.5,1,1.0,1.473671035
444,Christina Roberts,3.7833158069999997,1.74,0.1,0.025,0.0,0,5,0.348182913,0,1,30,United States,1,Humanities,0.6666666666666666,None,0,0,0.0,1,1.0,1.473182913
463,Ruth Bass,3.982631237,1.9,0.1,0.1,0.1,1,2,0.6717600990000001,0,1,33,United States,0,None,0.0,None,0,0,0.5,1,0.5,1.471760099
213,Karen Young,2.722902995,1.06,0.0,0.05,0.0,0,2,0.420650067,0,1,37,United States,1,Engineering,0.6666666666666666,Club/Intramural,0,0,0.5,1,1.0,1.470650067
163,Todd Erving,3.71433749,0.92,0.2,0.05,0.1,0,6,0.6203447360000001,4,0,28,Canada,2,Engineering,0.6666666666666666,None,0,0,0.5,1,0.5,1.470344736
313,Gary Perreault,3.1120121210000002,1.38,0.0,0.1,0.0,0,1,0.36831801200000003,0,0,32,United States,1,Humanities,0.6666666666666666,None,0,0,0.0,1,1.0,1.4683180120000001
4,Douglas Tibolla,4.006970873999999,-0.5,0.2,0.1,0.1,1,3,0.557728485,1,0,24,United States,1,Humanities,0.6666666666666666,None,1,1,0.0,1,0.5,1.457728485
