,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Record,LinkedIn Score,Responsible Social Media Use,HireVue Score
32,Amber Daffron,3.292209309,39.49213938,2,2,0,0,2,0.364447435,0,1,30,United States,1,Humanities,1,Club/Intramural,0,0,0,1,0
33,Toni Cobb,2.664931608,18.09139299,2,0,0,0,6,0.530904414,2,1,25,Canada,1,Sciences,3,None,0,0,2,1,0
34,Edward Okelley,3.217059846,90.17140322,2,1,0,0,3,0.383821443,0,0,21,United States,1,Engineering,1,None,0,0,1,1,1
35,Robbie Fulcher,3.130419906,12.37323093,1,0,0,0,2,0.292540251,0,1,25,United States,1,Sciences,2,None,0,0,1,1,2
36,Samuel Mccurdy,3.818225671,21.09872173,1,1,0,0,2,0.548799895,4,0,22,United States,1,Sciences,2,Club/Intramural,0,0,0,1,0
37,Mary Archut,2.082436188,29.67933399,1,4,0,0,1,0.578941682,0,1,25,Canada,1,Sciences,1,None,0,0,2,1,0
38,Tess Brown,3.970400783,17.0945327,0,0,0,0,2,0.30708783,2,1,29,United States,1,Humanities,2,None,0,0,1,1,1
39,Mark White,3.039540036,5.217070957,2,1,0,0,2,0.60837049,1,0,32,United States,0,None,0,None,0,0,0,1,0
40,Desire Humble,2.635180515,20.52202891,2,4,0,0,6,0.569199864,0,1,34,United States,0,None,0,None,0,0,1,1,0
41,Wilmer Kingsley,3.230959875,49.21222301,0,1,0,0,2,0.558158787,0,0,33,China,1,Sciences,2,None,0,0,1,1,2
42,Sally Curry,3.416971303,33.45290669,0,0,0,0,5,0.406858054,0,1,23,Australia,2,Engineering,1,Club/Intramural,0,0,2,1,2
43,Kenneth Collins,3.11270491,28.1449125,0,4,0,0,2,0.411596233,0,0,23,United States,1,Engineering,2,None,0,0,0,1,2
44,Joseph Voss,2.883924724,37.87735869,0,3,0,0,3,0.517001135,0,0,25,United States,2,Engineering,1,NCAA/Professional,0,0,1,1,0
45,Rhonda Nall,2.802574892,60.27957944,2,0,0,0,3,0.522190797,0,1,28,United States,1,Humanities,1,Club/Intramural,0,0,0,1,2
46,David Archuleta,2.8428856,75.56558123,2,1,0,0,2,0.88625799,0,0,25,United States,1,Quantitative,2,None,0,0,0,1,1
47,Mary Standridge,3.342398658,25.69845353,1,0,0,0,2,0.74157136,0,1,22,United States,2,Humanities,2,None,0,0,2,1,1
48,Alfreda Dowdle,2.983203445,47.76437391,0,3,0,0,1,0.784507306,0,1,27,United States,2,Sciences,1,NCAA/Professional,0,0,0,1,1
49,Ronald Craig,2.921983516,106.2975603,2,2,0,0,2,0.518535293,0,0,29,United States,1,Sciences,2,None,0,0,0,1,1
50,Leo Joseph,2.983108173,16.36556236,1,3,0,0,3,0.320219544,0,0,26,United States,1,Sciences,1,None,0,0,1,1,0
51,Cynthia Dunlap,3.420908961,44.61806269,1,3,0,0,3,0.433905334,0,1,28,United States,1,Quantitative,3,None,0,0,0,1,0
52,Elizabeth Wilds,3.416573306,33.80826483,1,2,0,0,1,0.447411897,3,1,24,United States,1,Humanities,1,None,0,0,1,1,1
53,Joaquin Cox,2.686873796,25.71813007,0,2,0,0,4,0.23853407,4,0,23,United States,2,Sciences,3,NCAA/Professional,0,0,1,1,2
54,Mary Woodcock,2.624513208,1.692126759,0,0,0,0,4,0.510417819,0,1,30,United States,1,Humanities,3,None,0,0,0,1,0
55,Richard Colbert,2.730260655,20.32442318,2,0,0,0,5,0.190064738,0,0,23,United States,2,Engineering,2,None,0,0,0,1,1
56,Rita Lee,3.035847056,76.32630933,2,3,0,0,4,0.533321188,3,1,31,United States,1,Engineering,2,Club/Intramural,0,0,1,1,2
57,Robert Damore,2.845207007,53.8059009,2,4,0,0,2,0.595262249,0,0,33,United States,2,Humanities,1,None,0,0,1,1,0
58,Frank Mcnutt,2.194140626,29.44683482,2,4,0,0,2,0.791126573,1,0,27,United States,1,Humanities,1,None,0,0,0,1,1
59,Billy Grogan,2.899048254,14.88721733,2,2,0,0,5,0.279079684,0,0,27,United States,2,Engineering,3,None,0,0,0,1,2
60,Antoinette Jemerson,3.208463878,59.5181624,2,3,0,0,3,0.449873909,0,1,23,China,2,Humanities,1,Club/Intramural,0,0,1,1,0
61,Santiago Mejia,2.754586406,34.74603772,1,4,0,0,4,0.264580189,4,0,29,United States,1,Humanities,3,None,0,0,1,1,1
62,Maria Rose,3.405896791,54.36410046,1,1,0,0,1,0.503960333,2,1,23,United States,1,Engineering,2,None,0,0,2,1,2
63,Kenneth Stamper,2.892030789,31.29703299,0,3,0,0,6,0.796132541,0,0,23,United States,1,Humanities,2,None,0,0,1,1,2
64,Kenneth Wilson,3.918307445,51.05713367,0,3,0,0,0,0.41350351,0,0,22,United States,2,Engineering,2,Club/Intramural,0,0,0,1,2
65,Brett Obrien,2.677895257,54.22207347,2,0,0,0,2,0.657476333,0,0,33,United States,1,Sciences,2,None,0,0,2,1,2
66,Pamela Keith,3.167325199,52.4599502,1,1,0,0,3,1.073091595,0,1,27,Canada,1,Quantitative,2,None,0,0,1,1,2
67,Rosa Bowers,3.132510856,9.381763775,1,1,0,0,2,0.476834045,0,1,23,United States,1,Engineering,1,Club/Intramural,0,0,0,1,1
68,Anthony Reder,3.140437337,10.34367738,0,1,0,0,4,0.912634191,0,0,30,United States,2,Engineering,1,None,0,0,1,1,2
69,Ryan Hamilton,2.8462483,58.27701559,1,3,0,0,6,0.589338696,3,0,23,United States,2,Humanities,1,NCAA/Professional,0,0,0,1,1
70,Patricia Schaefer,3.401063627,54.35813406,0,3,0,0,1,0.650751042,4,1,22,United States,1,Sciences,2,Club/Intramural,0,0,1,1,1
71,Brian Robinson,3.096218806,3.159143244,1,2,0,0,4,0.763731357,3,0,21,United States,1,Engineering,2,None,0,0,2,1,0
72,Amy Mccalla,3.591419093,44.74326526,2,2,0,0,1,0.406833996,3,1,21,United States,1,Quantitative,2,None,0,0,1,1,0
73,Alvin Bertrand,1.931733616,19.81920212,0,4,0,0,1,0.201312185,2,0,23,India,1,Engineering,2,Club/Intramural,0,0,0,1,2
74,Patrick Mcknight,3.793063499,26.63642443,2,3,0,0,1,0.47558392,0,0,34,United States,2,Humanities,1,Club/Intramural,0,0,0,1,2
75,Henriette Gonzales,2.857256943,15.06313151,2,2,0,0,2,0.395724386,0,1,24,United States,2,Sciences,3,None,0,0,0,1,0
76,Reagan Schuman,3.632503022,4.810374722,0,0,0,0,0,0.163542637,0,1,26,United States,1,Engineering,3,None,0,0,1,1,1
77,Elaine Ahumada,3.79094887,55.32159387,0,4,0,0,4,0.197635899,4,1,22,Mexico,1,Sciences,2,Club/Intramural,0,0,2,1,2
78,Mila Sherburne,3.617554129,47.1036216,0,3,0,0,3,0.312518616,0,1,26,China,1,Quantitative,2,Club/Intramural,0,0,1,1,0
79,Antonio Sellers,2.831956808,112.5038959,1,1,0,0,4,0.577503624,2,0,27,China,1,Engineering,1,Club/Intramural,0,0,2,1,1
80,Robert Johnson,2.526845869,56.88117686,1,3,0,0,0,0.293372002,0,0,22,United States,2,Humanities,2,Club/Intramural,0,0,1,1,2
81,Mary Lusk,3.792343657,69.61720547,0,4,0,0,4,0.352669168,0,1,29,United States,1,Humanities,3,Club/Intramural,0,0,0,1,1
82,Andrea Kaywood,3.518593234,13.29768265,1,0,0,0,3,0.812410307,0,1,28,United States,0,None,0,None,0,0,0,1,1
83,Margarita Rasmussen,3.330667455,57.72240821,2,2,0,0,4,0.452230596,0,1,25,United States,1,Sciences,1,Club/Intramural,0,0,0,1,2
84,Augustus Hardt,2.858664476,80.11426113,2,0,0,0,1,0.402107555,0,0,27,United States,1,Humanities,1,None,0,0,2,1,0
85,Mark Jackson,2.543701132,12.5754716,0,4,0,0,3,0.38149728,0,0,26,United States,1,Sciences,2,None,1,1,2,1,1
86,Glenn White,3.695152087,14.00961151,2,1,0,0,3,0.939221722,0,0,21,United States,1,Quantitative,3,None,0,0,1,1,1
87,Zachariah Sienkiewicz,3.269448902,10.15496641,1,4,0,0,6,0.592560081,0,0,27,United States,2,Quantitative,2,Club/Intramural,0,0,0,1,0
88,Michelle Benninger,2.819353882,87.72478817,2,0,0,0,4,0.089098031,0,1,26,United States,1,Engineering,2,NCAA/Professional,0,0,0,1,0
89,Robert Benavidez,3.776459495,73.00697115,1,1,0,0,5,0.709725024,1,0,30,Australia,1,Engineering,1,Club/Intramural,0,0,1,1,2
90,Linda Nelson,3.469347514,10.7289754,1,0,0,0,3,0.81383847,1,1,27,Canada,1,Humanities,2,None,0,0,2,1,2
91,Geneva Farnam,4.138772946,35.14237546,1,0,0,0,2,0.789131865,0,1,25,United States,1,Sciences,2,Club/Intramural,0,0,1,1,2
92,Eddie Ward,3.585816357,54.96102185,1,0,0,0,6,0.25604319,0,0,29,United States,1,Sciences,2,Club/Intramural,0,0,1,1,0
93,Tracy Lamoreaux,3.499505604,26.72821197,1,1,0,0,1,0.43344204,2,1,24,United States,0,None,0,None,0,0,0,1,1
94,Beverly Machado,2.776676435,61.43702,1,0,0,0,6,0.937482876,0,1,26,United States,1,Sciences,2,None,0,0,1,1,0
95,James Corley,2.942563366,46.2640151,2,3,0,0,4,0.12450088,2,0,30,India,1,Engineering,1,None,0,0,1,1,0
96,Priscilla Butler,2.991457567,44.93898103,2,0,0,0,4,0.718254377,0,1,34,United States,1,Quantitative,2,None,0,0,1,1,2
97,Luciano Spade,3.49214802,51.0749936,0,2,0,0,3,0.360061243,0,0,27,Mexico,1,Humanities,3,None,0,0,0,1,2
98,Ralph Smith,3.626459588,56.44133426,1,2,0,0,0,0.657571555,2,0,23,United States,2,Sciences,1,Club/Intramural,0,0,1,1,0
99,Donald Hill,3.396752037,47.73478778,2,4,0,0,4,0.902896555,0,0,25,China,1,Engineering,2,None,0,0,2,1,2
100,Arthur Downey,3.06391829,83.98821932,0,4,0,0,3,0.15056005,0,0,35,United States,1,Sciences,3,Club/Intramural,0,0,0,1,0
101,Leonor Marshall,2.906888752,26.0419952,0,3,0,0,5,0.932830019,1,1,25,United States,1,Engineering,2,Club/Intramural,0,0,0,1,2
102,Julio Stuart,3.04535357,47.57059115,2,4,0,0,4,0.542248353,4,0,27,United States,1,Engineering,2,Club/Intramural,0,0,0,1,0
103,Pamela Rivenburg,3.476716775,26.95164292,2,2,0,0,1,0.228355326,0,1,22,United States,1,Humanities,1,None,0,0,1,1,0
104,Bruce Hoag,2.224672765,38.42258574,2,3,0,0,3,0.310561208,0,0,32,United States,1,Sciences,2,None,0,0,1,1,0
105,Cindy Swinerton,2.780676932,69.61011099,2,0,0,0,1,0.820833508,2,1,26,United States,1,Humanities,2,NCAA/Professional,0,0,0,1,2
106,William Martinez,2.408851303,51.78051647,1,2,0,0,4,0.464277641,0,0,26,United States,1,Engineering,2,None,0,0,1,1,2
107,Vincent Sturdevant,3.276305269,84.40846774,0,1,0,0,4,0.677047726,2,0,29,United States,1,Engineering,2,Club/Intramural,0,0,2,1,0
108,Aaron Bonin,2.905836795,8.624566603,0,3,0,0,5,0.407864462,1,0,30,United States,1,Quantitative,1,None,0,0,2,1,2
109,Charles Sanders,2.463277556,25.76563296,0,0,0,0,2,0.60344159,2,0,21,United States,1,Humanities,3,None,0,0,0,1,1
110,David Griffith,3.682864599,18.15542307,0,2,0,0,1,0.77471339,2,0,22,Australia,1,Quantitative,2,None,0,0,2,1,0
111,James Hansen,2.729836604,9.57272371,2,1,0,0,3,0.811036665,1,0,25,United States,1,Humanities,2,NCAA/Professional,0,0,1,1,2
112,Estelle Chan,2.782147339,15.01692887,0,3,0,0,1,0.196348389,0,1,34,United States,0,None,0,None,0,0,0,1,1
113,Chasity Rubin,2.860900868,59.28185938,2,4,0,0,3,0.754430859,0,1,25,China,1,Sciences,2,None,0,0,0,1,0
114,Alan Basso,3.768126499,11.99538427,1,1,0,0,3,0.69383095,0,0,24,United States,1,Quantitative,2,Club/Intramural,0,0,1,1,0
115,David Luker,3.404892983,5.450931401,0,3,0,0,2,0.644889946,0,0,28,United States,2,Humanities,2,None,0,0,2,1,1
116,James Parton,3.222098879,45.35645354,1,3,0,0,3,-0.068963712,4,0,26,United States,1,Sciences,3,Club/Intramural,0,0,1,1,1
117,James Alvarez,2.769532044,21.58078437,0,4,0,0,2,0.837513898,0,0,23,United States,1,Humanities,1,None,0,0,1,1,2
118,Gabriel Enders,3.505139523,73.20230035,2,2,0,0,1,0.036124406,0,0,27,United States,1,Sciences,2,NCAA/Professional,0,0,0,1,1
119,Jose Jackson,2.629303195,49.97692102,1,2,0,0,3,0.152931252,0,0,27,United States,1,Humanities,2,None,0,0,1,1,1
120,Raquel Alcantara,3.791050038,18.76591749,2,3,0,0,1,0.418588939,0,1,34,United States,2,Sciences,2,None,0,0,2,1,1
121,Brian Sweet,3.270272861,32.44890619,0,4,0,0,3,0.525881573,2,0,30,United States,1,Sciences,3,None,0,0,1,1,0
122,William Gray,3.07932392,50.87490624,2,4,0,0,3,0.208700412,4,0,29,United States,1,Quantitative,1,NCAA/Professional,0,0,0,1,1
123,Andre Roberts,2.570557423,46.42480917,2,0,0,0,4,0.63135975,0,0,23,United States,2,Humanities,2,NCAA/Professional,0,0,2,1,0
124,Charles Hinger,3.078999524,99.31867256,0,2,0,0,3,0.591839791,0,0,24,Australia,1,Engineering,3,None,0,0,1,1,2
125,Kathy Scheulen,2.867871157,27.58130179,1,1,0,0,2,0.414527832,0,1,24,United States,2,Quantitative,1,NCAA/Professional,0,0,0,1,2
126,Anita Herrera,2.827137187,10.40985085,2,1,0,0,5,0.786049018,0,1,27,United States,1,Humanities,1,Club/Intramural,0,0,0,1,1
127,Jessica Aguilar,4.063831543,38.31531611,0,0,0,0,4,0.479737153,0,1,21,United States,1,Sciences,1,None,0,0,1,1,2
128,Fred Morales,3.171968512,15.02141451,1,0,0,0,4,0.521515659,0,0,25,United States,1,Humanities,2,NCAA/Professional,0,0,0,1,1
129,Winifred Isaacs,3.667483577,2.136544355,0,2,0,0,4,0.597042465,1,1,24,United States,2,Sciences,1,None,0,0,0,1,0
130,Jonathan Bowling,2.212835208,53.01731176,2,0,0,0,3,-0.05567381,0,0,25,United States,2,Humanities,3,None,0,0,1,1,2
131,Marcia Martinez,2.893585562,18.19062435,2,4,0,0,3,0.714232165,0,1,23,United States,1,Sciences,2,Club/Intramural,0,0,2,1,2
132,Daniel Harris,3.306381536,48.03989453,2,4,0,0,2,0.29122716,0,0,29,China,1,Sciences,2,None,0,0,1,1,2
133,Thomas Stark,3.257936871,48.35426695,1,3,0,0,5,0.381315327,0,0,29,United States,1,Quantitative,2,None,0,0,1,1,0
134,David Hudson,2.779017279,4.426017043,0,1,0,0,2,0.742570131,0,0,23,China,1,Engineering,2,Club/Intramural,0,0,0,1,2
135,Jeanne Jessup,2.766947009,26.89447937,1,3,0,0,4,0.400232377,0,1,22,United States,1,Engineering,2,None,0,0,2,1,0
136,Pedro Rodriguez,3.251451662,74.76981699,0,2,0,0,6,0.268329697,0,0,26,Australia,2,Humanities,1,None,0,0,2,1,0
137,John Burnside,3.019593088,52.08375705,1,1,0,0,2,0.618509053,0,0,29,United States,2,Quantitative,3,None,0,0,1,1,2
138,Marianela Carvin,3.403178396,49.87676496,1,2,0,0,3,0.721543595,1,1,25,United States,1,Sciences,2,Club/Intramural,0,0,2,1,1
139,Christopher Roberts,2.990898661,35.73724396,1,3,0,0,0,0.667122925,0,1,32,United States,1,Quantitative,1,None,0,0,2,1,1
140,Fred Walton,3.705848551,28.56500169,1,2,0,0,3,0.351331241,2,0,27,United States,1,Humanities,3,None,0,0,1,1,2
141,Nick Nelson,3.096268487,83.00143501,1,2,0,0,6,0.323177593,1,0,39,United States,1,Humanities,2,Club/Intramural,0,0,0,1,1
142,Keith Basso,3.258497038,3.122723472,0,0,0,0,2,0.191413375,0,0,23,United States,1,Quantitative,1,Club/Intramural,0,0,1,1,0
143,Joseph Jones,3.595078393,27.13638277,2,0,0,0,3,0.67078088,0,0,27,United States,2,Quantitative,2,None,0,0,0,1,0
144,Francis Caldwell,3.235484886,30.90066806,0,4,0,0,2,0.369958085,0,0,23,United States,2,Engineering,2,Club/Intramural,0,0,2,1,2
145,Joshua Morris,3.427172986,7.131117749,1,0,0,0,5,0.406397958,1,0,27,United States,1,Engineering,2,Club/Intramural,0,0,0,1,2
146,Nathan Ayala,2.917607033,0.6803165,2,1,0,0,2,0.502150542,0,0,31,United States,1,Quantitative,3,None,0,0,2,1,2
147,Debra Paige,2.92957362,45.50779807,2,2,0,0,3,0.300237951,0,1,21,United States,1,Humanities,1,Club/Intramural,0,0,1,1,2
148,Sean Thompson,3.421788186,20.75253815,2,2,0,0,2,0.636078846,0,0,33,United States,1,Quantitative,3,None,0,0,2,1,0
149,Brian Rogers,4.027308738,99.567614,2,0,0,0,2,0.280379771,0,0,25,United States,2,Engineering,2,None,0,0,0,1,0
150,Wayne Boyd,3.034253623,55.34823633,1,1,0,0,3,0.184503827,1,0,22,United States,0,None,0,None,0,0,0,1,1
151,Wilda Hynes,3.191246565,39.79965659,2,2,0,0,4,0.342450823,3,1,25,United States,1,Humanities,2,None,0,0,2,1,1
152,Linda Pfau,3.593759335,49.62049044,2,2,0,0,3,0.574396932,4,1,26,United States,1,Sciences,2,None,0,0,0,1,0
153,Morgan Chavez,4.087272691,58.50471452,2,2,0,0,2,0.568598703,3,1,32,United States,1,Humanities,3,NCAA/Professional,0,0,2,1,2
154,James Music,2.949978366,17.88040312,1,4,0,0,3,0.458016985,0,0,28,United States,1,Engineering,3,None,0,0,0,1,2
155,John Zapata,3.13073534,7.672283962,2,1,1,0,5,0.271590772,1,0,22,United States,1,Sciences,2,Club/Intramural,0,0,0,1,2
156,Peggy Cross,3.248368768,59.28400752,0,3,0,0,1,0.55756241,2,1,25,United States,1,Engineering,2,None,0,0,1,1,1
157,John Tucci,3.958820862,38.10348528,1,1,0,1,4,0.288148718,0,0,35,China,2,Engineering,1,None,0,0,2,1,0
158,Marta Wilmot,3.81183861,64.52527542,1,1,0,0,5,0.669350287,0,1,23,United States,1,Engineering,1,Club/Intramural,0,0,1,1,1
159,Robert Wolf,2.637277795,37.25178513,0,3,0,0,1,1.051039081,0,0,24,United States,1,Humanities,2,NCAA/Professional,0,0,0,1,0
160,Roy Simon,3.300594855,76.4679094,0,3,0,0,2,0.442815528,0,0,27,India,1,Engineering,2,None,0,0,1,1,1
161,Annie Wells,2.737681297,0.527503909,0,1,0,0,3,0.306078861,0,1,24,Mexico,1,Quantitative,2,None,0,0,0,1,0
162,Janet Wilhoite,2.696420756,76.48540625,2,0,0,0,5,0.657486947,0,1,25,United States,1,Humanities,2,None,0,0,1,1,2
163,James Smith,2.615600235,30.86451455,1,2,0,0,5,0.714074924,0,0,23,United States,0,None,0,None,0,0,1,1,2
164,Jack Panza,2.515558381,43.10876321,1,4,0,0,2,0.975529558,1,0,22,United States,1,Humanities,3,None,0,0,2,1,1
165,Treasa Burgess,3.259103805,61.04625488,0,1,0,0,4,0.455256888,0,1,23,China,1,Sciences,3,Club/Intramural,0,0,0,1,2
166,Andrew King,3.504596718,38.60130815,2,2,0,0,4,0.626300508,0,0,25,Australia,2,Humanities,2,NCAA/Professional,0,0,0,1,1
167,Steven Vanwormer,2.839984069,17.77093433,0,2,0,0,3,0.531589329,0,0,21,United States,2,Quantitative,2,Club/Intramural,0,0,0,1,1
168,Kyle Ponzi,3.052975673,75.11657141,1,2,0,0,3,0.928275198,0,0,33,United States,1,Quantitative,2,None,0,0,1,1,2
169,Ethyl Carlisle,3.055922748,98.58259122,2,0,0,0,4,0.617839781,2,1,28,United States,0,None,0,None,0,0,2,1,2
170,Roscoe Butler,2.678608003,54.64830889,2,4,0,0,3,0.391627508,0,0,23,United States,1,Quantitative,2,Club/Intramural,0,0,0,1,1
171,Marion Lavallee,3.070710286,31.00853079,2,4,0,0,3,0.655386389,0,1,29,United States,1,Humanities,1,None,0,0,1,1,1
172,Barbara Slater,2.923981367,34.77517385,1,2,0,0,2,0.391870181,2,1,24,Canada,1,Sciences,2,None,0,0,2,1,0
173,Tom Michels,2.54575844,21.99912801,1,4,0,0,1,0.465431583,0,0,21,India,1,Quantitative,1,None,0,0,1,1,0
174,Johnnie Elliston,3.99130959,34.52790153,1,0,0,0,1,0.566883554,0,1,24,United States,1,Quantitative,1,Club/Intramural,0,0,1,1,0
175,Christine Bernier,3.047108464,10.09963068,0,1,0,0,4,0.39830414,0,1,30,United States,1,Engineering,2,None,0,0,2,1,2
176,Alejandro Hansford,3.487840497,33.78610815,2,1,0,0,4,0.70476126,0,0,27,United States,1,Sciences,2,Club/Intramural,0,0,2,1,1
177,Sharon Gates,3.429083906,49.30636104,0,1,0,0,4,0.325150306,0,1,25,United States,1,Sciences,2,Club/Intramural,0,0,1,1,1
178,Shelby Angel,2.749179517,58.30747042,1,0,0,0,3,0.694999057,0,1,23,United States,1,Humanities,3,None,0,0,0,1,1
179,James Sedillo,2.104460583,8.932231693,1,4,0,0,3,0.490147884,0,0,28,United States,2,Sciences,2,None,0,0,0,1,0
180,Carl Bailey,3.454061756,23.3479807,1,4,0,0,3,0.987633726,2,0,22,Australia,1,Humanities,2,None,1,1,1,1,0
181,Thomas Warrick,3.69298337,6.946085493,2,2,0,1,2,0.511278214,4,0,25,United States,1,Humanities,1,None,0,0,0,1,0
182,Marjorie Botta,3.298808384,55.27569971,0,2,0,0,5,0.785698436,0,1,32,United States,2,Humanities,2,Club/Intramural,0,0,0,1,0
183,Alexander Durkin,2.53251652,41.83584689,1,2,0,0,2,-0.058136655,0,0,28,China,1,Engineering,2,None,0,0,1,1,1
184,Donald Ellison,3.480818118,7.94938825,2,1,0,0,2,0.4358157,0,0,32,United States,1,Quantitative,1,None,0,0,2,1,1
185,Kimberly Christmas,3.241879977,18.78063077,2,0,0,0,4,0.41640966,0,1,27,United States,2,Quantitative,1,None,0,0,1,1,0
186,Elias Cantu,3.465812365,41.98610458,1,3,0,0,5,0.3169579,0,0,25,United States,2,Humanities,2,None,0,0,1,1,2
187,Ellis Simmonds,3.209051877,29.75776037,1,1,0,0,1,0.595210688,0,0,28,United States,2,Quantitative,2,None,0,0,2,1,0
188,Hellen Langley,3.380381683,14.49346154,0,2,0,0,5,0.900056435,0,1,23,United States,1,Sciences,2,NCAA/Professional,0,0,2,1,2
189,John Bellard,2.96636097,14.60718637,1,1,0,0,5,0.717709593,0,0,31,United States,1,Engineering,2,NCAA/Professional,1,1,0,1,2
190,Arnold Holtzclaw,3.341936345,35.60664315,1,1,0,0,2,0.231950109,1,0,23,United States,1,Quantitative,1,None,0,0,1,1,1
191,Pedro Walker,2.358721723,50.17968539,0,2,0,0,2,0.092697727,0,0,31,United States,1,Humanities,2,None,0,0,0,1,2
192,Steven Sanders,2.343790026,43.66637441,2,1,0,0,6,0.219397356,1,0,28,United States,1,Engineering,1,Club/Intramural,0,0,1,1,1
