,Unnamed: 0,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,scores
364,364,John Rivera,0.81495506875,1.62,0.0,0.5,0.0,0.9,1.0,0.26326642159999997,0,0,27,United States,0.7,Humanities,1.0,None,0,0,0.0,0.5,1.5,3.9
407,407,Archie Hearn,0.8814270434999999,1.35,1.0,0.5,0.0,0.9,4.0,0.38666302,0,0,25,United States,0.7,Engineering,1.0,None,0,0,0.2,0.5,1.5,3.9
439,439,Shirley Garden,0.67442597525,0.8999999999999999,0.0,0.5,0.8,0.0,5.0,0.32552066960000003,0,1,24,United States,0.7,Humanities,1.0,Club/Intramural,0,0,0.0,0.5,1.5,3.8
28,28,Lucille Ivey,0.71509255875,1.6500000000000001,0.0,1.0,0.8,0.0,0.0,0.5624448519999999,3,1,22,India,0.7,Humanities,0.5,None,0,0,0.2,0.5,1.5,3.8
176,176,Michael Utecht,1.03233400425,2.8499999999999996,0.0,0.75,0.8,0.0,2.0,0.6619010016,0,0,28,United States,1.4,Sciences,1.5,None,0,0,0.2,0.5,0.75,3.8
175,175,Kenneth Delagarza,0.65226300775,2.8499999999999996,1.0,0.5,0.8,0.0,1.0,0.3615582016000001,0,0,25,United States,0.7,Quantitative,1.0,None,0,0,0.4,0.5,1.5,3.8
392,392,James Rotella,0.88300509075,1.44,2.0,0.75,0.0,0.0,1.0,0.3575084104,0,0,24,United States,0.7,Humanities,1.5,Club/Intramural,0,0,0.0,0.5,1.5,3.75
266,266,Frank James,0.7231768765000001,2.2199999999999998,2.0,0.75,0.0,0.0,1.0,0.2767056032,0,0,34,United States,0.7,Humanities,1.5,None,0,0,0.2,0.5,1.5,3.75
457,457,Richard Peters,0.86796160875,0.6900000000000001,0.0,0.75,0.0,0.0,1.0,0.5642468968,0,0,23,United States,0.7,Engineering,1.5,None,0,0,0.2,0.5,1.5,3.75
200,200,John Harris,0.52649858775,2.61,2.0,0.75,0.0,0.0,4.0,0.6776891536,0,0,22,United States,0.7,Sciences,1.5,NCAA/Professional,0,0,0.4,0.5,1.5,3.75
211,211,Terry Bair,0.9135946827500001,2.55,2.0,1.0,0.8,0.9,3.0,0.41667109680000003,0,0,25,United States,0.7,Humanities,1.0,None,0,0,0.0,0.5,0.0,3.6999999999999997
135,135,Sherry Charpentier,0.83686057925,1.0499999999999998,1.0,0.75,0.0,0.9,5.0,0.1375354128,1,1,31,United States,0.7,Quantitative,0.5,None,0,0,0.4,0.5,1.5,3.65
58,58,Glen Hall,0.946467588,2.43,0.0,0.5,0.8,0.0,4.0,0.25644632240000004,2,0,33,United States,1.4,Engineering,1.5,None,0,0,0.2,0.5,0.75,3.55
37,37,Frank Karow,0.8945635845000001,0.30000000000000004,2.0,0.75,0.8,0.0,5.0,0.16470981280000002,3,0,35,United States,0.7,Sciences,0.5,None,0,0,0.2,0.5,1.5,3.55
316,316,Nickolas Velez,0.94653968125,1.92,2.0,1.0,0.8,0.0,5.0,0.08815209040000001,0,0,34,United States,0.7,Humanities,1.0,None,0,0,0.2,0.5,0.75,3.55
117,117,William Storms,0.560280086,2.31,1.0,0.75,0.8,0.0,2.0,0.4810942264,1,0,28,United States,1.4,Sciences,0.5,None,-2,-1,0.4,0.5,1.5,3.55
487,487,Henrietta Wiggs,0.5660247485000001,0.12,2.0,0.25,0.8,0.0,3.0,0.174451524,0,1,35,United States,0.7,Humanities,1.0,NCAA/Professional,0,0,0.2,0.5,1.5,3.55
403,403,Donna Vermillion,0.80854774175,1.3800000000000001,1.0,1.0,0.8,0.0,4.0,0.26206664960000003,0,1,33,United States,0.7,Sciences,1.0,None,0,0,0.2,0.5,0.75,3.55
250,250,Barbara Webb,0.81177592875,2.37,1.0,1.0,0.0,0.0,6.0,0.4654950176,0,1,29,Canada,0.7,Humanities,1.0,NCAA/Professional,0,0,0.0,0.5,1.5,3.5
360,360,Keneth Moran,0.86391668825,1.6800000000000002,1.0,1.0,0.0,0.0,5.0,0.47111980639999995,0,0,21,Mexico,1.4,Quantitative,1.0,None,0,0,0.0,0.5,1.5,3.5
304,304,Gregory Horn,0.80440332175,1.98,0.0,0.5,0.0,0.0,4.0,0.8843860696000001,0,0,23,United States,0.7,Sciences,1.5,None,0,0,0.2,0.5,1.5,3.5
292,292,Gary Perreault,0.7780030302500001,2.07,0.0,1.0,0.0,0.0,1.0,0.29465440960000006,0,0,32,United States,0.7,Humanities,1.0,None,0,0,0.0,0.5,1.5,3.5
53,53,Shannon Yeater,1.01203851425,2.8499999999999996,0.0,0.5,0.0,0.0,1.0,0.4522286464,2,1,26,United States,0.7,Quantitative,1.5,Club/Intramural,0,0,0.4,0.5,1.5,3.5
20,20,Carl Kimbrough,0.65187228825,1.3800000000000001,1.0,1.0,0.0,0.0,1.0,0.3404830928,4,0,27,China,0.7,Sciences,1.0,Club/Intramural,0,0,0.2,0.5,1.5,3.5
160,160,Richard Runions,0.803733197,2.8499999999999996,1.0,0.5,0.0,0.0,2.0,0.31296852960000004,0,0,37,United States,0.7,Sciences,1.5,None,0,0,0.2,0.5,1.5,3.5
203,203,Robert Marks,0.71651647875,2.61,2.0,0.5,0.0,0.0,4.0,0.2867969568,0,0,24,Canada,0.7,Sciences,1.5,None,0,0,0.0,0.5,1.5,3.5
295,295,Kelley Lopez,0.72304176575,2.04,0.0,1.0,0.0,0.0,4.0,0.6548174464000001,0,1,22,United States,0.7,Sciences,1.0,Club/Intramural,0,0,0.2,0.5,1.5,3.5
378,378,George Wright,1.0317245240000001,1.56,0.0,0.5,0.0,0.0,5.0,0.49577347600000005,0,0,26,India,0.7,Sciences,1.5,Club/Intramural,0,0,0.2,0.5,1.5,3.5
369,369,Mary Holding,0.9155486322499999,1.62,0.0,0.5,0.0,0.0,4.0,0.48639983600000003,0,1,31,United States,0.7,Engineering,1.5,NCAA/Professional,0,0,0.0,0.5,1.5,3.5
461,461,Tasha Tannenbaum,0.7187933154999999,0.63,0.0,0.5,0.0,0.0,2.0,0.6406960144,0,1,26,United States,0.7,Humanities,1.5,None,0,0,0.4,0.5,1.5,3.5
394,394,Patricia Soto,0.66612763725,1.44,1.0,1.0,0.0,0.0,1.0,0.5723960960000001,0,1,25,United States,0.7,Humanities,1.0,None,0,0,0.2,0.5,1.5,3.5
454,454,Heather Kelly,0.78570587475,0.72,0.0,0.0,0.0,0.9,3.0,-0.056414132,0,1,24,United States,0.7,Quantitative,1.0,None,0,0,0.2,0.5,1.5,3.4
183,183,Andre White,0.81152179725,2.8499999999999996,1.0,0.0,0.0,0.9,4.0,0.7779744328,0,0,34,Mexico,1.4,Sciences,1.0,None,0,0,0.2,0.5,1.5,3.4
192,192,Jay Walker,0.7870237984999999,2.7,2.0,0.5,0.0,0.9,5.0,0.1473239472,0,0,29,United States,0.7,Sciences,0.5,None,0,0,0.2,0.5,1.5,3.4
25,25,Larry Pompey,0.7796089454999999,2.8499999999999996,1.0,0.5,0.0,0.9,1.0,0.5060726464,3,0,28,United States,0.7,Sciences,0.5,NCAA/Professional,0,0,0.2,0.5,1.5,3.4
287,287,William Zuehlke,0.872458038,2.0999999999999996,2.0,0.5,0.0,0.9,2.0,0.014414876,0,0,31,United States,0.7,Engineering,0.5,None,0,0,0.4,0.5,1.5,3.4
270,270,Maria Bevan,0.83973361625,2.19,0.0,0.0,0.8,0.0,2.0,0.3122589304,0,1,29,United States,0.7,Quantitative,1.0,Club/Intramural,-2,-1,0.0,0.5,1.5,3.3
161,161,Cheryl Vallejo,0.69854674775,2.8499999999999996,0.0,0.75,0.8,0.0,5.0,0.1887446496,0,1,24,United States,1.4,Sciences,1.0,Club/Intramural,0,-1,0.0,0.5,0.75,3.3
17,17,Paul Adams,0.8102905392499999,1.44,2.0,0.0,0.8,0.0,2.0,0.35229114,4,0,29,United States,1.4,Quantitative,1.0,Club/Intramural,-2,-1,0.0,0.5,1.5,3.3
385,385,Bobbie Walker,0.77916803025,1.5,0.0,0.75,0.0,0.0,6.0,0.41193085360000004,0,1,25,United States,0.7,Engineering,1.0,None,0,0,0.4,0.5,1.5,3.25
251,251,Liliana Schwarz,0.84927884125,2.37,0.0,0.75,0.0,0.0,1.0,0.36986482000000004,0,1,24,United States,1.4,Engineering,1.0,Club/Intramural,0,0,0.2,0.5,1.5,3.25
252,252,Terence Guadalupe,0.90981317175,2.37,2.0,0.75,0.0,0.0,1.0,-0.0127619768,0,0,22,United States,0.7,Humanities,1.0,None,0,0,0.2,0.5,1.5,3.25
253,253,Bobby Thrift,0.8511614784999999,2.34,2.0,0.75,0.0,0.0,0.0,0.2006587432,0,0,26,United States,0.7,Humanities,1.0,None,0,0,0.2,0.5,1.5,3.25
194,194,Tory Allen,0.6553935765,2.64,0.0,1.0,0.0,0.0,4.0,0.4460264176,0,0,21,United States,0.7,Engineering,1.5,None,0,0,0.0,0.5,0.75,3.25
308,308,Madeleine Brown,0.49747869075,1.9500000000000002,1.0,0.75,0.0,0.0,3.0,0.57065616,0,1,24,United States,0.7,Sciences,1.0,NCAA/Professional,0,0,0.2,0.5,1.5,3.25
300,300,Betty Perez,0.69634781925,2.0100000000000002,1.0,0.75,0.0,0.0,2.0,0.30638832960000006,0,1,21,Australia,0.7,Quantitative,1.0,None,0,0,0.4,0.5,1.5,3.25
339,339,Roy Daniel,0.9124203934999999,1.7999999999999998,1.0,0.75,0.0,0.0,2.0,0.41033758560000005,0,0,29,United States,0.7,Engineering,1.0,NCAA/Professional,0,0,0.4,0.5,1.5,3.25
491,491,Delores Gullatte,0.8523102547499999,-0.06,0.0,0.75,0.0,0.0,3.0,0.2932549328,0,1,32,United States,0.7,Sciences,1.0,None,0,0,0.2,0.5,1.5,3.25
121,121,Jack Martini,1.02968584875,1.7999999999999998,1.0,1.0,0.0,0.0,3.0,0.7190360112,1,0,30,United States,0.7,Engineering,1.5,NCAA/Professional,0,0,0.2,0.5,0.75,3.25
141,141,Tony Baker,0.7645563352500001,0.6000000000000001,2.0,0.75,0.0,0.0,2.0,0.16397294880000002,1,0,24,United States,0.7,Quantitative,1.0,Club/Intramural,0,0,0.2,0.5,1.5,3.25
353,353,Pamela Fletcher,0.77738080925,1.7399999999999998,0.0,0.75,0.0,0.0,3.0,0.24428198160000003,0,1,35,United States,0.7,Sciences,1.0,None,0,0,0.0,0.5,1.5,3.25
482,482,Deborah Jones,0.69018009525,0.24,1.0,0.75,0.0,0.0,3.0,0.18722315040000004,0,1,32,United States,0.7,Sciences,1.0,NCAA/Professional,0,0,0.4,0.5,1.5,3.25
216,216,Rosemarie Baker,0.9084003752500001,2.52,2.0,0.75,0.0,0.0,3.0,0.41932922000000006,0,1,23,Canada,1.4,Humanities,1.0,Club/Intramural,0,0,0.2,0.5,1.5,3.25
338,338,Cynthia Hinojos,0.84187974675,1.7999999999999998,1.0,0.75,0.0,0.0,4.0,0.5793218640000001,0,1,24,United States,0.7,Quantitative,1.0,None,0,0,0.0,0.5,1.5,3.25
328,328,William Pawlowski,0.63738642225,1.8599999999999999,0.0,0.75,0.0,0.0,3.0,0.6095385272000001,0,0,22,United States,1.4,Sciences,1.0,None,0,0,0.4,0.5,1.5,3.25
54,54,Phillip Goers,1.069867153,2.8499999999999996,2.0,0.75,0.0,0.0,1.0,0.4035409376000001,2,0,24,United States,1.4,Engineering,1.0,None,0,0,0.0,0.5,1.5,3.25
167,167,Phoebe Snyder,0.8533868859999999,2.8499999999999996,2.0,0.75,0.0,0.0,6.0,0.5798948112000001,0,1,25,India,0.7,Quantitative,1.0,None,0,0,0.0,0.5,1.5,3.25
455,455,Randall Phillips,0.79701769225,0.72,1.0,0.75,0.0,0.0,3.0,0.46186127039999997,0,0,35,United States,0.7,Sciences,1.0,None,0,0,0.2,0.5,1.5,3.25
19,19,Robin Golden,0.90594001475,1.3800000000000001,1.0,0.5,0.0,0.9,4.0,0.13627457680000002,4,1,24,Australia,0.7,Engineering,1.0,Club/Intramural,0,0,0.4,0.5,0.75,3.15
42,42,Sean Eversole,0.8897087705,0.0,0.0,0.25,0.0,0.9,1.0,0.23185182319999997,3,0,21,Mexico,0.7,Engineering,0.5,None,0,0,0.2,0.5,1.5,3.15
123,123,Lee Lewis,0.80908015475,1.59,2.0,1.0,0.8,0.0,2.0,0.3083752024,1,0,30,United States,0.7,Sciences,0.5,None,0,0,0.0,0.5,0.75,3.05
85,85,Randy Miller,0.768476995,1.3800000000000001,1.0,0.25,0.8,0.0,3.0,0.17319718480000001,2,0,31,United States,0.7,Quantitative,0.5,None,0,0,0.2,0.5,1.5,3.05
148,148,Valarie Collins,0.884596284,-0.42000000000000004,0.0,0.25,0.8,0.0,5.0,0.28470825120000004,1,1,24,United States,0.7,Engineering,0.5,None,0,0,0.2,0.5,1.5,3.05
33,33,Jennifer Stewart,0.6952820125,2.46,0.0,1.0,0.8,0.0,5.0,0.6929128040000001,3,1,27,United States,0.7,Engineering,0.5,None,0,0,0.2,0.5,0.75,3.05
112,112,Amy Igbal,0.76233309775,1.71,0.0,0.5,0.8,0.0,6.0,0.49574125439999994,1,1,21,United States,0.7,Quantitative,1.0,None,0,0,0.4,0.5,0.75,3.05
80,80,Julie Morales,0.9195479797499999,1.7399999999999998,0.0,0.5,0.8,0.0,1.0,0.33514409600000006,2,1,31,United States,0.7,Engineering,1.0,Club/Intramural,-2,-1,0.2,0.5,0.75,3.05
236,236,Herman Henderson,0.62108344475,2.43,2.0,0.0,0.8,0.0,2.0,0.46029992640000006,0,0,24,United States,1.4,Engineering,1.5,Club/Intramural,0,0,0.2,0.5,0.75,3.05
348,348,Shaun Kelly,0.699390326,1.77,2.0,0.75,0.8,0.0,5.0,0.6447779936,0,0,24,United States,0.0,None,0.0,None,0,0,0.2,0.5,1.5,3.05
21,21,Todd Erving,0.9285843725,1.3800000000000001,2.0,0.5,0.8,0.0,6.0,0.49627578880000006,4,0,28,Canada,1.4,Engineering,1.0,None,0,0,0.2,0.5,0.75,3.05
145,145,Michael Feria,0.6275538505,0.27,1.0,1.0,0.0,0.0,3.0,0.2597931344,1,0,31,United States,0.7,Humanities,0.5,Club/Intramural,0,0,0.2,0.5,1.5,3.0
324,324,Fidel Omoyosi,0.7987169434999999,1.8900000000000001,0.0,0.0,0.0,0.0,2.0,0.6387944288,0,0,24,United States,0.7,Humanities,1.5,NCAA/Professional,0,0,0.2,0.5,1.5,3.0
336,336,Maureen Tompkins,0.926020218,1.83,1.0,0.5,0.0,0.0,4.0,0.5337457096000001,0,1,27,United States,0.7,Humanities,1.0,NCAA/Professional,0,0,0.2,0.5,1.5,3.0
150,150,Bennie Larson,0.9957993817499999,2.8499999999999996,0.0,1.0,0.0,0.0,4.0,0.10269410240000001,0,0,28,United States,1.4,Quantitative,0.5,None,-2,-1,0.0,0.5,1.5,3.0
220,220,Erik Miller,0.64618095875,2.4899999999999998,2.0,0.5,0.0,0.0,1.0,0.1918765696,0,0,23,United States,0.7,Humanities,1.0,NCAA/Professional,0,0,0.2,0.5,1.5,3.0
317,317,Shawna Jackson,0.7849474304999999,1.92,1.0,0.5,0.0,0.0,3.0,0.2592507576,0,1,28,United States,0.7,Humanities,1.0,None,0,0,0.2,0.5,1.5,3.0
489,489,Oleta Fulenwider,0.607507936,0.06,1.0,0.5,0.0,0.0,2.0,0.5186925528,0,1,25,United States,0.7,Engineering,1.0,Club/Intramural,0,0,0.4,0.5,1.5,3.0
130,130,William Mccluney,0.653961955,1.23,1.0,1.0,0.0,0.0,1.0,0.501877208,1,0,27,Australia,1.4,Quantitative,0.5,Club/Intramural,0,0,0.4,0.5,1.5,3.0
410,410,Jeremy Dion,0.79694781775,1.29,0.0,0.75,0.0,0.0,4.0,0.1259659256,0,0,27,United States,1.4,Sciences,1.5,None,0,0,0.2,0.5,0.75,3.0
370,370,Karen Young,0.68072574875,1.59,0.0,0.5,0.0,0.0,2.0,0.33652005360000004,0,1,37,United States,0.7,Engineering,1.0,Club/Intramural,0,0,0.2,0.5,1.5,3.0
388,388,David Lynch,0.83396533575,1.47,0.0,0.5,0.0,0.0,3.0,0.39461352000000005,0,0,24,United States,0.7,Quantitative,1.0,None,0,0,0.0,0.5,1.5,3.0
359,359,Kurt Barker,0.75745180375,1.6800000000000002,0.0,0.5,0.0,0.0,6.0,0.1400408176,0,0,29,United States,0.7,Engineering,1.0,None,-2,-1,0.2,0.5,1.5,3.0
171,171,Nicole Turbacuski,0.68437730775,2.8499999999999996,0.0,0.5,0.0,0.0,2.0,0.2559106344,0,1,28,United States,0.7,Quantitative,1.0,None,0,0,0.2,0.5,1.5,3.0
174,174,Charles Tapia,0.58013145825,2.8499999999999996,2.0,0.75,0.0,0.0,0.0,0.2022277712,0,0,24,United States,1.4,Humanities,1.5,None,0,0,0.2,0.5,0.75,3.0
