,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Sex,Age,Education,Educational Prestige,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score,origin_Australia,origin_Canada,origin_China,origin_India,origin_Mexico,origin_United States,degree_Engineering,degree_Humanities,degree_None,degree_Quantitative,degree_Sciences,sport_Club/Intramural,sport_NCAA/Professional,sport_None,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Other,Performance
101,Trevor Phillips,3.2560291331753937,97.24150568123446,1,1,0.0,0.0,5.0,0.22438689256071542,0,41.0,1,2,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4
105,John Kaufman,3.833153774231609,12.363218748921037,2,4,0.0,0.0,5.0,0.7986171918723151,0,27.0,1,2,0.0,0.0,1,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
123,Jackie Reed,3.765002154809575,68.53774039864402,1,3,0.0,0.0,5.0,-0.03602815154839245,1,27.0,2,2,0.0,0.0,1,1.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
124,Robin Golden,3.62376005925884,53.9073976464148,1,2,0.0,1.0,4.0,0.17034322064310725,1,24.0,1,2,0.0,0.0,2,1.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4
129,Herman Henderson,2.484333778893152,18.775547290786857,2,0,1.0,0.0,2.0,0.575374907942281,0,24.0,2,3,0.0,0.0,1,1.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
132,Maria Cahill,3.2789482012082876,16.96852718622251,0,0,0.0,0.0,3.0,0.2960823495743526,1,21.0,2,2,0.0,0.0,0,1.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
135,Esther Phillips,2.2730593497506315,94.70070604135236,2,1,0.0,0.0,2.0,0.3905555974131035,1,24.0,1,2,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
139,Tracy Sachs,3.33844126060211,72.86635766607826,1,0,0.0,0.0,2.0,0.9171293378068222,1,23.0,2,2,0.0,0.0,2,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,4
142,Gloria Hahn,3.8695634349659542,32.37004875282156,0,2,0.0,1.0,3.0,0.876043076752159,1,24.0,2,1,0.0,0.0,0,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
147,Neil Villa,2.6763852339511116,55.750333657459976,0,1,1.0,0.0,5.0,0.06795491664419967,0,25.0,2,1,0.0,0.0,2,1.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
155,Guadalupe Miller,3.37859304681103,17.630936619721272,1,4,0.0,0.0,3.0,0.534272362696707,1,29.0,2,2,0.0,0.0,2,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4
164,Fred Houston,2.888195062563522,39.785022189858836,2,3,0.0,0.0,3.0,0.23036359914087878,0,27.0,1,1,0.0,0.0,0,1.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4
167,Jeanette Dupre,3.46603286128509,22.28166516717338,2,2,0.0,0.0,1.0,0.6751945582083964,1,28.0,1,2,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,4
170,Sylvester Turner,3.850462072720152,61.41814901218501,1,1,0.0,0.0,3.0,1.0295284869110635,0,28.0,1,1,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,4
172,Dennis Allen,2.675702133034292,40.085674971643016,2,3,0.0,0.0,3.0,0.3772081580368747,0,23.0,1,2,0.0,0.0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,4
181,Janis Frazier,3.5064239129779415,71.29829807673984,2,0,1.0,0.0,3.0,0.747633280150007,1,31.0,2,2,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4
190,Joe West,2.874842227962187,37.82922191425081,1,3,1.0,0.0,5.0,0.4582342957654384,0,22.0,2,3,0.0,0.0,2,1.0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,4
192,Cheryl Vallejo,2.7941869911287753,1.4929555661108864,0,3,1.0,0.0,5.0,0.23593081235882257,1,24.0,2,2,0.0,1.0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
194,Lori Neal,3.18044759452179,40.90030678126662,1,3,0.0,0.0,5.0,0.8458851310768642,1,30.0,2,2,0.0,0.0,2,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
200,Pamela Fletcher,3.109523236561551,41.80405737271832,0,3,0.0,0.0,3.0,0.3053524768568051,1,35.0,1,2,0.0,0.0,0,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4
204,Emmanuel Harper,4.128482773771465,17.029556479719982,0,1,0.0,0.0,3.0,0.5247714076121277,0,27.0,1,1,0.0,0.0,1,1.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
215,Harold Merklein,3.3078637113673537,27.666816448668552,0,3,0.0,0.0,0.0,0.4562409743677548,0,29.0,2,2,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
216,Karen Owen,3.6283769197441886,85.71877220115937,1,1,0.0,0.0,2.0,0.4028179329758302,1,28.0,1,2,0.0,0.0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
217,Moises Hill,3.245478764957039,60.68384830989518,2,0,0.0,0.0,1.0,0.7572709345284641,0,28.0,1,2,0.0,0.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4
219,William Edmonson,3.8649573094116008,48.331908858989536,0,3,0.0,0.0,2.0,0.6867383308071002,0,25.0,1,3,1.0,1.0,2,1.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
231,Michael Kincaid,3.577080270376701,35.2728390598671,2,0,0.0,0.0,3.0,0.6421439488170169,0,22.0,1,3,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,4
236,Howard Penland,3.660615726877393,5.674299518350708,2,4,0.0,0.0,4.0,0.4256741794934424,0,29.0,1,2,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,4
244,Inez Mason,3.36519096122239,41.85167459653821,2,0,1.0,0.0,6.0,0.6029487354721887,1,22.0,1,3,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
254,Richard Runions,3.2149327875513194,1.4250608001152152,1,2,0.0,0.0,2.0,0.39121066173063135,0,37.0,1,3,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4
258,Scott Patterson,3.547066391464984,105.9349093084023,1,3,0.0,0.0,3.0,0.7653990754468416,0,26.0,1,1,0.0,0.0,2,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
261,Jay Walker,3.1480951935758426,9.553386175690644,2,2,0.0,1.0,5.0,0.184154934439341,0,29.0,1,1,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4
265,Roy Hoffman,3.217359050751942,62.434352625176416,2,1,0.0,0.0,1.0,0.4160582466967904,0,22.0,1,2,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4
266,Larry Pompey,3.1184357823218263,0.37029884712736916,1,2,0.0,1.0,1.0,0.6325908084015085,0,28.0,1,1,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,4
272,Georgia Guzman,3.4796578827956135,62.44521058426199,2,0,0.0,0.0,3.0,0.12819906168060252,1,31.0,1,1,1.0,1.0,2,1.0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
274,Joseph Caldwell,3.4991121634724855,51.58658783048061,1,2,0.0,0.0,3.0,0.059964140849958714,0,24.0,2,3,0.0,0.0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,4
277,Summer Brady,3.335660263681535,41.52072575619147,0,4,0.0,0.0,1.0,0.6194979274566489,1,25.0,2,2,0.0,0.0,0,1.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
281,Sandy Gregory,2.9733919598008702,60.928816058539205,2,4,0.0,0.0,1.0,0.8993193354840965,0,23.0,2,2,0.0,0.0,0,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
282,Peggy Roach,3.5551756501584286,73.33032595604715,1,1,0.0,0.0,2.0,0.2623741173663134,1,26.0,2,2,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4
286,Richard Sterling,2.879056447288226,54.43846635526465,1,1,0.0,0.0,2.0,0.5560502184713534,0,23.0,2,2,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,4
291,Deon Alverez,3.506846314279611,50.28812796128058,2,3,0.0,0.0,0.0,0.30018529134394845,0,23.0,1,2,0.0,0.0,2,1.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,4
293,Carl Kimbrough,2.6074891526381436,54.01171666812642,1,4,0.0,0.0,1.0,0.42560386584409304,0,27.0,1,2,0.0,0.0,1,1.0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4
296,David Duey,2.952974757853826,0.9552348262609875,1,0,0.0,0.0,4.0,0.7156020121154767,0,25.0,1,3,0.0,0.0,2,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
308,Martin Applin,3.731543876766427,18.858245466331518,2,2,0.0,0.0,4.0,0.3629226626759833,0,26.0,2,1,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,4
328,Barry Mendoza,2.6769624303852932,20.51215536653583,1,2,0.0,0.0,2.0,0.7309555914646052,0,22.0,2,2,0.0,0.0,2,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4
331,Dominic Perry,2.8922104819602334,33.2797791678308,0,0,0.0,0.0,3.0,1.039261049895228,0,26.0,1,2,0.0,0.0,2,1.0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,4
337,Michael Utecht,4.129336017239871,6.367582212054494,0,3,1.0,0.0,2.0,0.8273762523166417,0,28.0,2,3,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4
338,Joyce Phillips,4.0597950339483715,19.139707307489132,1,2,0.0,0.0,2.0,0.6445237798979229,1,30.0,1,2,0.0,0.0,0,1.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4
346,Ryan Jones,2.5884179181594207,17.230439055541943,1,1,1.0,0.0,2.0,0.932436259573469,0,22.0,1,1,0.0,0.0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
347,Brian Hendrickson,3.268020373741733,21.006196575773718,2,1,0.0,1.0,4.0,0.6197456118508686,0,24.0,1,1,0.0,0.0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
353,William Storms,2.2411203435562665,34.101776991260415,1,3,1.0,0.0,2.0,0.6013677828138816,0,28.0,2,1,1.0,1.0,2,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,4
355,Beverly Lyon,2.888526029272654,34.55143321316016,1,4,0.0,0.0,4.0,0.5544625508218214,1,24.0,2,1,1.0,1.0,2,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
360,Dawn Csaszar,3.894736525494774,35.0342405242589,0,2,1.0,0.0,3.0,0.5493703675063926,1,27.0,1,2,0.0,0.0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
365,Glen Burton,4.051628271856093,30.5272539506172,2,0,0.0,0.0,4.0,0.8339059692504258,0,25.0,2,2,0.0,0.0,2,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4
371,Jeremy Dion,3.1877912709848255,56.63868258961443,0,3,0.0,0.0,4.0,0.15745740724559992,0,27.0,2,3,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4
377,Joyce Irvin,2.810909550032761,21.528439878809696,1,1,0.0,0.0,5.0,0.2287690984464238,1,21.0,2,1,0.0,0.0,2,1.0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,4
383,Rosa Anderson,3.5471122925719625,48.090099040636936,1,1,0.0,0.0,3.0,0.3486710348514773,1,29.0,2,2,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,4
389,Delphine Mcwhorter,2.5894384048097003,2.5046953286873475,2,1,0.0,0.0,2.0,0.4321073316454225,1,31.0,2,2,0.0,0.0,1,1.0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
398,Jorge Smith,3.2593839749689857,46.011773215535,0,4,0.0,0.0,0.0,0.3571577339831141,0,29.0,2,3,0.0,0.0,1,1.0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
410,Morgan Guzman,3.6471680250190506,2.182492671100043,0,1,0.0,0.0,4.0,0.590565635348239,1,25.0,1,2,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
413,Kristin Bowker,3.502132837653548,55.2769028865447,1,0,0.0,0.0,3.0,0.14320185054609896,1,23.0,1,1,0.0,0.0,1,1.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
414,James Rotella,3.532020362922282,52.12270567440721,2,3,0.0,0.0,1.0,0.44688551326992837,0,24.0,1,3,0.0,0.0,0,1.0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4
420,Billy Johnson,2.7927384535822792,22.887999961535925,1,2,0.0,0.0,2.0,0.37572441337666074,0,23.0,1,2,0.0,0.0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
441,William Pawlowski,2.5495456886627865,37.70339743405835,0,3,0.0,0.0,3.0,0.7619231588321598,0,22.0,2,2,0.0,0.0,2,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4
453,Sarah Johnson,3.12588814987318,0.9799886918947891,1,0,0.0,0.0,4.0,0.608489155309391,1,26.0,1,3,0.0,0.0,0,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4
457,Juan Davis,3.0707348256270177,12.177637940345514,2,2,0.0,0.0,1.0,-0.01452034844799921,0,21.0,2,2,0.0,0.0,1,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4
458,Rosemarie Baker,3.6336015006557965,16.024262556566605,2,3,0.0,0.0,3.0,0.5241615250504352,1,23.0,2,2,0.0,0.0,1,1.0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4
461,William Burnett,3.2346703409386346,39.40267237068319,0,1,0.0,0.0,3.0,0.8197259785644917,0,24.0,1,1,0.0,0.0,1,1.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,4
462,Evelyn Water,2.923071446412117,48.273210313007226,1,2,0.0,0.0,3.0,0.7862702761539728,1,36.0,2,2,0.0,0.0,1,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,4
464,June Isbell,3.5608326262172354,32.6076552141925,2,4,0.0,0.0,4.0,0.28754864054145546,1,32.0,1,1,0.0,0.0,2,1.0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4
474,Barbara Lopez,3.371532999763136,13.99702391091605,1,1,0.0,0.0,1.0,0.38498154696469916,1,34.0,1,1,0.0,0.0,2,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
486,Valerie Denis,3.7432649734779293,26.291426932153684,2,4,0.0,0.0,3.0,0.3118471832651082,1,35.0,2,3,0.0,0.0,2,1.0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4
495,David Nixon,3.0939771106361276,28.15386698519821,2,2,0.0,0.0,2.0,1.1010419673376386,0,32.0,1,2,0.0,0.0,1,1.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4
497,John Harris,2.1059943512846377,12.89308228964063,2,3,0.0,0.0,4.0,0.847111441723218,0,22.0,1,3,0.0,0.0,2,1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,4
