,Names,GPA,Avg Commute Time,Cultural Fit,Technical Aptitude,Soft Skills,Employee Referral,Years of Experience,Leadership Capability,Race,Sex,Age,Birth Origin,Education,Undergraduate Degree,Educational Prestige,Sports,Criminal Record,Arrest Records,LinkedIn Score,Responsible Social Media Use,HireVue Score
121,Robert Richardson,3.5458194169999997,104,1,4,0,0,2,0.33217928399999996,0,0,23,United States,0,None,0,None,0,0,1,1,0
122,Robert Rogers,3.5425910089999997,29,0,4,0,0,4,0.912050019,0,0,25,United States,1,Quantitative,2,Club/Intramural,0,0,2,1,0
123,Valarie Collins,3.538385136,114,0,1,1,0,5,0.355885314,1,1,24,United States,1,Engineering,1,None,0,0,1,1,2
124,David Boyd,3.537560294,154,1,3,0,0,3,0.44742795399999996,1,0,26,United States,1,Engineering,1,None,0,1,2,1,0
125,Robert Henderson,3.532442385,52,1,3,0,0,3,0.40164506899999997,0,0,28,Canada,1,Humanities,2,NCAA/Professional,0,0,1,1,1
126,James Rotella,3.532020363,52,2,3,0,0,1,0.44688551299999996,0,0,24,United States,1,Humanities,3,Club/Intramural,0,0,0,1,2
127,Justin Brown,3.530645055,20,1,1,0,0,3,0.494630808,0,0,34,Canada,1,Quantitative,1,None,0,1,1,1,2
128,Wade Payne,3.5290444310000004,17,2,4,0,0,6,0.09186403300000001,4,0,27,United States,2,Engineering,2,None,0,0,1,1,1
129,Judy Constance,3.5272733030000003,37,0,0,0,0,1,0.487195018,2,1,24,United States,1,Quantitative,1,None,0,0,1,1,0
130,Archie Hearn,3.5257081739999996,55,1,2,0,1,4,0.483328775,0,0,25,United States,1,Engineering,2,None,0,0,1,1,2
131,Mario Gallegos,3.522877682,62,1,4,0,0,4,0.42035157799999995,0,0,23,United States,1,Humanities,2,Club/Intramural,0,0,2,1,0
132,Roland Otero,3.519158492,39,2,3,0,0,5,0.616287951,0,0,26,United States,1,Humanities,1,None,0,0,0,1,0
133,Molly Brickell,3.514879876,14,0,4,0,1,3,0.244911937,0,1,29,United States,1,Humanities,3,NCAA/Professional,0,0,1,1,2
134,Danny Snyder,3.511176107,49,0,2,0,0,1,0.401635474,0,0,26,United States,0,None,0,None,0,0,1,1,0
135,Robert Owens,3.511147251,91,2,0,0,0,3,0.70298533,0,0,26,Australia,1,Engineering,2,None,0,0,1,1,2
136,Mark Ames,3.510066218,59,0,2,0,1,5,0.31595005800000003,0,0,30,China,1,Humanities,2,Club/Intramural,0,0,2,1,0
137,Deon Alverez,3.5068463139999997,50,2,3,0,0,0,0.300185291,4,0,23,United States,1,Sciences,2,Club/Intramural,0,0,2,1,0
138,Janis Frazier,3.5064239130000003,71,1,0,1,0,3,0.74763328,0,1,31,United States,2,Humanities,2,Club/Intramural,0,0,1,1,1
139,Marie Mendoza,3.506396464,58,1,1,0,0,3,1.051112029,0,1,22,United States,1,Humanities,3,None,0,0,1,1,1
140,Maria Woolridge,3.5030860969999997,5,0,2,0,0,4,0.660718957,0,1,25,United States,1,Humanities,1,None,0,0,1,1,0
141,Latosha Woods,3.5029053310000005,13,1,2,0,0,2,0.36380393299999997,1,1,27,United States,1,Quantitative,1,None,1,1,2,1,1
142,Kristin Bowker,3.502132838,55,0,0,0,0,3,0.143201851,0,1,23,United States,1,Sciences,1,Club/Intramural,0,0,1,1,0
143,Karen John,3.4999105110000004,20,0,4,0,0,1,0.282922428,0,1,27,United States,1,Humanities,2,None,0,0,2,1,0
144,Peter Glander,3.4998246269999997,23,0,2,0,0,2,0.337708665,0,0,22,Mexico,1,Humanities,2,Club/Intramural,0,0,0,1,1
145,Joseph Caldwell,3.499112163,52,1,2,0,0,3,0.059964141,1,0,24,United States,2,Quantitative,3,Club/Intramural,0,0,0,1,0
146,Kenneth Quinn,3.497918375,22,2,4,0,0,4,0.439075046,2,0,21,United States,1,Humanities,2,None,0,0,2,1,0
147,George Farrell,3.493804687,42,0,2,0,0,3,1.076397702,0,0,24,United States,1,Engineering,1,None,0,0,0,1,2
148,Jesus Boulware,3.49068869,19,1,4,0,0,3,0.176385853,0,0,27,Mexico,1,Engineering,2,None,0,0,1,1,1
149,William Zuehlke,3.489832152,30,2,2,0,1,2,0.018018595,0,0,31,United States,1,Engineering,1,None,0,0,2,1,2
150,Anthony Ortiz,3.486413985,29,1,2,0,1,1,0.232097241,4,0,30,United States,1,Quantitative,3,None,0,0,1,1,2
151,Georgia Guzman,3.4796578830000002,62,0,0,0,0,3,0.128199062,0,1,31,United States,1,Sciences,1,Club/Intramural,1,1,1,0,2
152,Celia Delaney,3.4754282080000003,18,0,1,0,0,5,0.320075818,0,1,26,United States,1,Engineering,2,None,0,0,2,1,2
153,Richard Peters,3.471846435,77,0,3,0,0,1,0.7053086209999999,0,0,23,United States,1,Engineering,3,None,0,0,1,1,2
154,Jeanette Dupre,3.4660328610000004,22,0,2,0,0,1,0.675194558,2,1,28,United States,1,Humanities,2,Club/Intramural,0,0,1,1,1
155,Samuel Calisto,3.459787525,42,1,2,0,0,5,0.356900933,0,0,27,United States,0,None,0,None,0,0,1,1,1
156,Ida Henry,3.458748297,47,0,2,0,0,1,0.544567528,1,1,29,United States,1,Engineering,1,None,0,0,1,1,2
157,Jamie Hendricks,3.4574503030000003,42,1,0,0,0,1,-0.26402949,0,0,23,Canada,2,Quantitative,1,Club/Intramural,0,0,1,1,1
158,Keneth Moran,3.455666753,44,1,4,0,0,5,0.5888997579999999,0,0,21,Mexico,2,Quantitative,2,None,0,0,0,1,2
159,Don Mcfolley,3.4519364,17,1,4,0,0,3,0.622092364,0,0,36,United States,1,Humanities,3,None,0,0,1,1,2
160,Patricia Palomares,3.45049625,5,0,3,0,0,3,0.34576056299999997,0,1,23,China,1,Engineering,2,None,0,0,1,1,0
161,Judith Smith,3.445617795,23,1,3,0,0,0,0.5191782420000001,0,1,24,United States,0,None,0,None,0,0,0,1,1
162,George Kinard,3.442385106,48,2,1,0,0,4,0.559302547,0,0,26,United States,0,None,0,None,1,1,1,1,1
163,Jacob Ensley,3.439949061,5,1,4,0,0,5,0.46982379799999996,4,0,29,United States,1,Quantitative,1,None,0,0,1,1,2
164,Marshall Smith,3.435171687,70,2,1,0,0,3,0.371989911,0,0,28,United States,0,None,0,None,0,0,0,1,1
165,John Grissom,3.4339999999999997,54,0,2,1,0,4,0.653,0,0,35,United States,1,Humanities,1,NCAA/Professional,1,1,1,0,1
166,Dexter Taormina,3.429425205,39,0,0,0,0,3,1.0611570609999998,0,0,24,United States,1,Engineering,1,None,0,0,1,1,2
167,Charles Lewis,3.425423068,15,0,1,0,0,3,0.666920663,0,0,26,United States,1,Engineering,2,None,0,0,1,1,2
168,Donald Stanford,3.4253771910000004,5,2,2,0,0,4,0.558270178,0,0,29,United States,1,Sciences,2,Club/Intramural,0,0,2,1,1
169,Karen Kerr,3.421895357,92,0,2,0,0,4,0.411733684,0,1,30,United States,1,Humanities,2,NCAA/Professional,0,0,0,1,2
170,James Boggess,3.419434882,74,2,3,1,0,3,0.27544628600000004,0,0,25,India,1,Quantitative,2,None,0,0,0,1,2
171,Larry Davila,3.41754468,38,2,3,0,0,4,0.394705915,2,0,32,United States,1,Humanities,2,Club/Intramural,0,0,0,1,0
172,Donald Hegarty,3.415203074,36,0,1,0,0,5,0.47119092799999995,0,0,24,United States,1,Humanities,1,Club/Intramural,0,0,0,1,0
173,Phoebe Snyder,3.4135475439999996,5,2,3,0,0,6,0.7248685140000001,0,1,25,India,1,Quantitative,2,None,0,0,0,1,2
174,John Terhune,3.411861177,20,2,1,0,0,3,-0.069777647,0,0,22,United States,1,Quantitative,1,Club/Intramural,0,0,1,1,2
175,Delores Gullatte,3.4092410189999995,102,0,3,0,0,3,0.366568666,0,1,32,United States,1,Sciences,2,None,0,0,1,1,2
176,Amanda Roeber,3.4061497789999997,64,2,2,0,0,2,0.288920491,0,1,25,United States,1,Engineering,1,None,0,0,1,1,1
177,Bobby Thrift,3.4046459139999996,22,2,3,0,0,0,0.250823429,0,0,26,United States,1,Humanities,2,None,0,0,1,1,2
178,Naomi Boteilho,3.403887615,33,1,3,0,0,4,0.230977579,0,1,30,United States,1,Sciences,2,None,0,0,1,1,1
179,Diana Hook,3.397484449,35,0,1,0,0,5,0.090528039,0,1,31,United States,2,Engineering,2,NCAA/Professional,0,0,2,1,0
180,Liliana Schwarz,3.397115365,21,0,3,0,0,1,0.462331025,0,1,24,United States,2,Engineering,2,Club/Intramural,0,0,1,1,2
181,Michael Booker,3.394632987,38,2,3,0,0,2,0.742245122,0,0,26,United States,2,Sciences,3,Club/Intramural,0,0,1,1,0
182,Joe Sheppard,3.3871563210000004,16,1,1,0,0,4,0.6879618540000001,0,0,29,Canada,2,Quantitative,1,None,0,0,0,1,1
183,Guadalupe Miller,3.378593047,18,1,4,0,0,3,0.5342723629999999,0,1,29,Australia,2,Sciences,2,None,0,0,2,1,0
184,Barbara Lopez,3.3715330000000003,14,1,1,0,0,1,0.38498154700000004,0,1,34,United States,1,Sciences,1,Club/Intramural,0,0,2,1,1
185,Cynthia Hinojos,3.367518987,40,1,3,0,0,4,0.72415233,0,1,24,United States,1,Quantitative,2,None,0,0,0,1,2
186,Inez Mason,3.365190961,42,0,0,0,0,6,0.602948735,0,1,22,United States,1,Sciences,3,Club/Intramural,0,0,1,1,1
187,Stewart Brown,3.361794065,17,1,1,0,0,3,0.573886185,0,0,21,United States,1,Engineering,2,NCAA/Professional,0,0,1,1,1
188,Maria Bevan,3.358934465,27,0,0,1,0,2,0.390323663,0,1,29,United States,1,Quantitative,2,Club/Intramural,1,1,0,1,2
189,James Godwin,3.358517057,46,2,2,0,0,2,0.10117426199999999,0,0,22,Australia,2,Quantitative,1,NCAA/Professional,0,0,0,1,0
190,Patricia Via,3.355374753,72,1,3,0,0,3,0.536662979,3,1,24,United States,1,Quantitative,1,Club/Intramural,0,0,2,1,0
191,Marshall Laxen,3.3539262739999995,14,0,2,0,0,0,0.618344903,0,0,27,United States,2,Humanities,1,NCAA/Professional,0,0,1,1,0
192,Susan Rogers,3.3513377739999997,54,0,1,0,1,6,0.17228914399999998,1,1,21,United States,1,Quantitative,2,NCAA/Professional,0,0,2,1,1
193,Sherry Charpentier,3.347442317,65,1,3,0,1,5,0.17191926600000002,1,1,31,United States,1,Quantitative,1,None,0,0,2,1,2
194,Benjamin Jensen,3.3442898860000003,85,0,0,0,0,1,0.461881231,0,0,30,United States,2,Humanities,3,None,0,0,1,1,2
195,Tracy Sachs,3.3384412610000003,73,1,0,0,0,2,0.917129338,1,1,23,United States,2,Sciences,2,None,0,1,2,1,2
196,David Lynch,3.335861343,51,0,2,0,0,3,0.4932669,0,0,24,United States,1,Quantitative,2,None,0,0,0,1,2
197,Summer Brady,3.335660264,42,0,4,0,0,1,0.6194979270000001,0,1,25,United States,2,Engineering,2,Club/Intramural,0,0,0,1,1
198,Lance Milligan,3.3335832930000002,30,1,2,0,0,2,0.765044753,0,0,23,United States,0,None,0,None,0,0,1,1,2
